category	hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	uniprot_flag	go_flag	hpa_flag	surfy_flag	cspa_flag	n_db_votes	sonnet_full_flag	adc_source	therapeutic	adc_antigen	target_function	viral_agent	viral_protein	viral_entry_mode
ADC	HGNC:11331	SSTR2	P30874	ENSG00000180616	6752	1	0	0	1	0	2	1	ADCdb		Somatostatin receptor type 2 (SSTR2)	Receptor for somatostatin-14 and -28. This receptor is coupled via pertussis toxin sensitive G proteins to inhibition of adenylyl cyclase. In addition it stimulates phosphotyrosine phosphatase and PLC via pertussis toxin insensitive as well as sensitive G proteins. Inhibits calcium entry by suppressing voltage-dependent calcium channels. Acts as the functionally dominant somatostatin receptor in pancreatic alpha- and beta-cells where it mediates the inhibitory effect of somatostatin-14 on hormone secretion. Inhibits cell growth through enhancement of MAPK1 and MAPK2 phosphorylation and subsequent up-regulation of CDKN1B. Stimulates neuronal migration and axon outgrowth and may participate in neuron development and maturation during brain development. Mediates negative regulation of insulin receptor signaling through PTPN6. Inactivates SSTR3 receptor function following heterodimerization.			
ADC	HGNC:11344	ST14	Q9Y5Y6	ENSG00000149418	6768	1	0	0	0	0	1	1	ADCdb		Suppressor of tumorigenicity 14 protein (ST14)	Degrades extracellular matrix. Proposed to play a role in breast cancer invasion and metastasis. Exhibits trypsin-like activity as defined by cleavage of synthetic substrates with Arg or Lys as the P1 site. Involved in the terminal differentiation of keratinocytes through prostasin (PRSS8) activation and filaggrin (FLG) processing.			
ADC	HGNC:11378	STEAP1	Q9UHE8	ENSG00000164647	26872	1	0	0	0	0	1	1	TheraSAbDab	Vandortuzumab; VANDORTUZUMAB VEDOTIN	Metalloreductase STEAP1 (STEAP1)	Metalloreductase that has the ability to reduce both Fe(3+) to Fe(2+) and Cu(2+) to Cu(1+). Uses NAD(+) as acceptor.			
ADC	HGNC:11529	EPCAM	P16422	ENSG00000119888	4072	1	1	1	1	1	5	1	TheraSAbDab	Oportuzumab; OPORTUZUMAB MONATOX; TUCOTUZUMAB CELMOLEUKIN; CITATUZUMAB BOGATOX	Epithelial cell adhesion molecule (EPCAM)	May act as a physical homophilic interaction molecule between intestinal epithelial cells (IECs) and intraepithelial lymphocytes (IELs) at the mucosal epithelium for providing immunological barrier as a first line of defense against mucosal infection. Plays a role in embryonic stem cells proliferation and differentiation. Up-regulates the expression of FABP5, MYC and cyclins A and E.			
ADC	HGNC:11530	TACSTD2	P09758	ENSG00000184292	4070	1	1	1	1	1	5	1	TheraSAbDab	Datopotamab; Sacituzumab; Tizetatug; SACITUZUMAB GOVITECAN; DATOPOTAMAB DERUXTECAN	Tumor-associated calcium signal transducer 2 (TACSTD2); Inactive tyrosine-protein kinase 7 (PTK7)				
ADC	HGNC:11763	TFRC	P02786	ENSG00000072274	7037	1	1	0	0	1	3	1	TheraSAbDab	Delpacibart	Transferrin receptor protein 1 (TFRC)	Cellular uptake of iron occurs via receptor-mediated endocytosis of ligand-occupied transferrin receptor into specialized endosomes. Endosomal acidification leads to iron release. The apotransferrin-receptor complex is then recycled to the cell surface with a return to neutral pH and the concomitant loss of affinity of apotransferrin for its receptor. Transferrin receptor is necessary for development of erythrocytes and the nervous system. A second ligand, the hedi.y hemochromatosis protein HFE, competes for binding with transferrin for an overlapping C-terminal binding site. Positively regulates T and B cell proliferation through iron uptake. Acts as a lipid sensor that regulates mitochondrial fusion by regulating activation of the JNK pathway. When die.y levels of stearate (C18:0) are low, promotes activation of the JNK pathway, resulting in HUWE1-mediated ubiquitination and subsequent degradation of the mitofusin MFN2 and inhibition of mitochondrial fusion. When die.y levels of stearate (C18:0) are high, TFRC stearoylation inhibits activation of the JNK pathway and thus degradation of the mitofusin MFN2.			
ADC	HGNC:11766	TGFB1	P01137	ENSG00000105329	7040	0	1	1	0	1	3	1	ADCdb		Transforming growth factor beta-1 proprotein (TGFB1)	Transforming growth factor beta-1 proprotein: Precursor of the Latency-associated peptide (LAP) and Transforming growth factor beta-1 (TGF-beta-1) chains, which constitute the regulatory and active subunit of TGF-beta-1, respectively.			
ADC	HGNC:11772	TGFBR1	P36897	ENSG00000106799	7046	1	1	1	1	0	4	1	ADCdb		TGF-beta receptor type-1 (TGFBR1)	Transmembrane serine/threonine kinase forming with the TGF- beta type II serine/threonine kinase receptor, TGFBR2, the non- promiscuous receptor for the TGF-beta cytokines TGFB1, TGFB2 and TGFB3. Transduces the TGFB1, TGFB2 and TGFB3 signal from the cell surface to the cytoplasm and is thus regulating a plethora of physiological and pathological processes including cell cycle arrest in epithelial and hematopoietic cells, control of mesenchymal cell proliferation and differentiation, wound healing, extracellular matrix production, immunosuppression and carcinogenesis. The formation of the receptor complex composed of 2 TGFBR1 and 2 TGFBR2 molecules symmetrically bound to the cytokine dimer results in the phosphorylation and the activation of TGFBR1 by the constitutively active TGFBR2. Activated TGFBR1 phosphorylates SMAD2 which dissociates from the receptor and interacts with SMAD4. The SMAD2-SMAD4 complex is subsequently translocated to the nucleus where it modulates the transcription of the TGF-beta-regulated genes. This constitutes the canonical SMAD-dependent TGF-beta signaling cascade. Also involved in non-canonical, SMAD-independent TGF-beta signaling pathways. For instance, TGFBR1 induces TRAF6 autoubiquitination which in turn results in MAP3K7 ubiquitination and activation to trigger apoptosis. Also regulates epithelial to mesenchymal transition through a SMAD-independent signaling pathway through PARD6A phosphorylation and activation.			
ADC	HGNC:11853	TM4SF1	P30408	ENSG00000169908	4071	1	0	0	1	0	2	1	ADCdb		Transmembrane 4 L6 family member 1 (TM4SF1)				
ADC	HGNC:11867	TMEFF2	Q9UIK5	ENSG00000144339	23671	1	0	0	1	0	2	1	ADCdb		Tomoregulin-2 (TMEFF2)	May be a survival factor for hippocampal and mesencephalic neurons. The shedded form up-regulates cancer cell proliferation, probably by promoting ERK1/2 phosphorylation.			
ADC	HGNC:11892	TNF	P01375	ENSG00000232810	7124	1	1	0	0	0	2	1	ADCdb		Tumor necrosis factor (TNF)	Cytokine that binds to TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. It is mainly secreted by macrophages and can induce cell death of certain tumor cell lines. It is potent pyrogen causing fever by direct action or by stimulation of interleukin-1 secretion and is implicated in the induction of cachexia, Under certain conditions it can stimulate cell proliferation and induce cell differentiation. Impairs regulatory T- cells (Treg) function in individuals with rheumatoid arthritis via FOXP3 dephosphorylation. Up-regulates the expression of protein phosphatase 1 (PP1), which dephosphorylates the key &#039;Ser-418&#039; residue of FOXP3, thereby inactivating FOXP3 and rendering Treg cells functionally defective. Key mediator of cell death in the anticancer action of BCG-stimulated neutrophils in combination with DIABLO/SMAC mimetic in the RT4v6 bladder cancer cell line. Induces insulin resistance in adipocytes via inhibition of insulin-induced IRS1 tyrosine phosphorylation and insulin-induced glucose uptake. Induces GKAP42 protein degradation in adipocytes which is partially responsible for TNF-induced insulin resistance. Plays a role in angiogenesis by inducing VEGF production synergistically with IL1B and IL6.			
ADC	HGNC:11905	TNFRSF10B	O14763	ENSG00000120889	8795	1	1	0	0	0	2	1	ADCdb		Tumor necrosis factor receptor superfamily member 10B (TNFRSF10B)	Receptor for the cytotoxic ligand TNFSF10/TRAIL. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. Promotes the activation of NF-kappa-B. Essential for ER stress-induced apoptosis.			
ADC	HGNC:11913	TNFRSF17	Q02223	ENSG00000048462	608	1	0	0	1	1	3	1	TheraSAbDab	Belantamab; Pamlectabart; BELANTAMAB MAFODOTIN	Tumor necrosis factor receptor superfamily member 17 (TNFRSF17)	Receptor for TNFSF13B/BLyS/BAFF and TNFSF13/APRIL. Promotes B-cell survival and plays a role in the regulation of humoral immunity. Activates NF-kappa-B and JNK.			
ADC	HGNC:11916	TNFRSF1A	P19438	ENSG00000067182	7132	1	1	0	1	1	4	1	ADCdb		Tumor necrosis factor receptor superfamily member 1A (TNFRSF1A)	Receptor for TNFSF2/TNF-alpha and homotrimeric TNFSF1/lymphotoxin-alpha. The adapter molecule FADD recruits caspase-8 to the activated receptor. The resulting death-inducing signaling complex (DISC) performs caspase-8 proteolytic activation which initiates the subsequent cascade of caspases (aspartate-specific cysteine proteases) mediating apoptosis. Contributes to the induction of non-cytocidal TNF effects including anti-viral state and activation of the acid sphingomyelinase.			
ADC	HGNC:11917	TNFRSF1B	P20333	ENSG00000028137	7133	1	0	0	1	0	2	1	ADCdb		TNF receptor superfamily member 1B (TNFRSF1B)	Receptor with high affinity for TNFSF2/TNF-alpha and; approximately 5-fold lower affinity for homotrimeric; TNFSF1/lymphotoxin-alpha. The TRAF1/TRAF2 complex recruits the; apoptotic suppressors BIRC2 and BIRC3 to TNFRSF1B/TNFR2. This receptor; mediates most of the metabolic effects of TNF-alpha. Isoform 2 blocks; TNF-alpha-induced apoptosis, which suggests that it regulates TNF-alpha; function by antagonizing its biological activity.			
ADC	HGNC:11919	CD40	P25942	ENSG00000101017	958	1	1	1	1	1	5	1	ADCdb		Tumor necrosis factor receptor superfamily member 5 (CD40)	Receptor for TNFSF5/CD40LG. Transduces TRAF6- and MAP3K8-mediated signals that activate ERK in macrophages and B cells, leading to induction of immunoglobulin secretion.			
ADC	HGNC:11923	TNFRSF8	P28908	ENSG00000120949	943	1	0	1	1	1	4	1	TheraSAbDab	Brentuximab; BRENTUXIMAB VEDOTIN	Tumor necrosis factor receptor superfamily member 8 (TNFRSF8)	Receptor for TNFSF8/CD30L. May play a role in the regulation of cellular growth and transformation of activated lymphoblasts. Regulates gene expression through activation of NF-kappa- B.			
ADC	HGNC:11925	TNFSF10	P50591	ENSG00000121858	8743	1	0	0	0	0	1	1	ADCdb		Tumor necrosis factor ligand superfamily member 10 (TNFSF10)	Cytokine that binds to TNFRSF10A/TRAILR1, TNFRSF10B/TRAILR2, TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4 and possibly also to TNFRSF11B/OPG. Induces apoptosis. Its activity may be modulated by binding to the decoy receptors TNFRSF10C/TRAILR3, TNFRSF10D/TRAILR4 and TNFRSF11B/OPG that cannot induce apoptosis.			
ADC	HGNC:11937	CD70	P32970	ENSG00000125726	970	1	0	0	1	0	2	1	TheraSAbDab	Vorsetuzumab; VORSETUZUMAB MAFODOTIN	CD70 antigen (CD70)	Cytokine which is the ligand for CD27. The CD70-CD27 pathway plays an important role in the generation and maintenance of T cell immunity, in particular during antiviral responses. Upon CD27 binding, induces the proliferation of costimulated T-cells and enhances the generation of cytolytic T-cells.			
ADC	HGNC:12004	TPBG	Q13641	ENSG00000146242	7162	1	1	0	1	1	4	1	ADCdb	ANATUMOMAB MAFENATOX; NAPTUMOMAB ESTAFENATOX	Trophoblast glycoprotein (TPBG); Trophoblast glycoprotein (TPBG); Hepatocyte growth factor receptor (MET)	May function as an inhibitor of Wnt/beta-catenin signaling by indirectly interacting with LRP6 and blocking Wnt3a-dependent LRP6 internalization.			
ADC	HGNC:13258	CLEC4C	Q8WTT0	ENSG00000198178	170482	1	1	0	0	0	2	1	ADCdb		C-type lectin domain family 4 member C (CLEC4C)	Lectin-type cell surface receptor which may play a role in antigen capturing by dendritic cells. Specifically recognizes non-sialylated galactose- terminated biantennary glycans containing the trisaccharide epitope Gal(beta1-3/4)GlcNAc(beta1-2)Man. Binds to serum IgG. Efficiently .gets ligand into antigen-processing and peptide-loading compartments for presentation to T-cells. May mediate potent inhibition of induction of IFN-alpha/beta expression in plasmacytoid dendritic cells. May act as a signaling receptor that activates protein-tyrosine kinases and mobilizes intracellular calcium.			
ADC	HGNC:13299	LGR4	Q9BXB1	ENSG00000205213	55366	1	0	0	1	0	2	1	ADCdb		Leucine-rich repeat-containing G-protein coupled receptor 4 (LGR4)	Receptor for R-spondins that potentiates the canonical Wnt signaling pathway and is involved in the formation of various organs. Upon binding to R-spondins (RSPO1, RSPO2, RSPO3 or RSPO4), associates with phosphorylated LRP6 and frizzled receptors that are activated by extracellular Wnt receptors, triggering the canonical Wnt signaling pathway to increase expression of .get genes. In contrast to classical G-protein coupled receptors, does not activate heterotrimeric G-proteins to transduce the signal. Its function as activator of the Wnt signaling pathway is required for the development of various organs, including liver, kidney, intestine, bone, reproductive tract and eye. May also act as a receptor for norrin (NDP), such results however require additional confirmation in vivo. Required during spermatogenesis to activate the Wnt signaling pathway in peritubular myoid cells. Required for the maintenance of intestinal stem cells and Paneth cell differentiation in postnatal intestinal crypts. Acts as a regulator of bone formation and remodeling. Involved in kidney development; required for maintaining the ureteric bud in an undifferentiated state. Involved in the development of the anterior segment of the eye. Required during erythropoiesis. Also acts as a negative regulator of innate immunity by inhibiting TLR2/TLR4 associated pattern-recognition and pro-inflammatory cytokine production. Plays an important role in regulating the circadian rhythms of plasma lipids, partially through regulating the rhythmic expression of MTTP. Required for proper development of GnRH neurons (gonadotropin-releasing hormone expressing neurons) that control the release of reproductive hormones from the pitui.y gland.			
ADC	HGNC:13310	GPRC5D	Q9NZD1	ENSG00000111291	55507	1	0	0	1	0	2	1	ADCdb		G-protein coupled receptor family C group 5 member D (GPRC5D)				
ADC	HGNC:1338	C5AR1	P21730	ENSG00000197405	728	1	1	0	1	0	3	1	ADCdb		C5a anaphylatoxin chemotactic receptor 1 (C5AR1)	Receptor for the chemotactic and inflammatory peptide anaphylatoxin C5a. The ligand interacts with at least two sites on the receptor: a high- affinity site on the extracellular N-terminus, and a second site in the transmembrane region which activates downstream signaling events. Receptor activation stimulates chemotaxis, granule enzyme release, intracellular calcium release and superoxide anion production.			
ADC	HGNC:1383	CA9	Q16790	ENSG00000107159	768	1	0	1	0	0	2	1	ADCdb		Carbonic anhydrase 9 (CA9)	Catalyzes the interconversion between carbon dioxide and water and the dissociated ions of carbonic acid (i.e. bicarbonate and hydrogen ions).			
ADC	HGNC:13941	SLC44A4	Q53GD3	ENSG00000204385	80736	1	1	0	1	0	3	1	ADCdb		Choline transporter-like protein 4 (SLC44A4)	Choline transporter that plays a role in the choline- acetylcholine system and is required to the efferent innervation of hair cells in the olivocochlear bundle for the maintenance of physiological function of outer hair cells and the protection of hair cells from acoustic injury. Also described as a thiamine pyrophosphate transporter in colon, may mediate the absorption of microbiota- generated thiamine pyrophosphate and contribute to host thiamine (vitamin B1) homeostasis.			
ADC	HGNC:14558	CLEC7A	Q9BXN2	ENSG00000172243	64581	1	1	0	1	0	3	1	ADCdb		C-type lectin domain family 7 member A (CLEC7A)	Lectin that functions as pattern recognizing receptor (PRR) specific for beta-1,3-linked and beta-1,6-linked glucans, which constitute cell wall constituents from pathogenic bacteria and fungi. Necessary for the TLR2-mediated inflammatory response and activation of NF-kappa-B: upon beta-glucan binding, recruits SYK via its ITAM motif and promotes a signaling cascade that activates some CARD domain-BCL10-MALT1 (CBM) signalosomes, leading to the activation of NF-kappa-B and MAP kinase p38 (MAPK11, MAPK12, MAPK13 and/or MAPK14) pathways which stimulate expression of genes encoding pro-inflammatory cytokines and chemokines. Enhances cytokine production in macrophages and dendritic cells. Mediates production of reactive oxygen species in the cell. Mediates phagocytosis of C.albicans conidia. Binds T-cells in a way that does not involve their surface glycans and plays a role in T-cell activation. Stimulates T-cell proliferation. Induces phosphorylation of SCIMP after binding beta-glucans.			
ADC	HGNC:15532	JAM3	Q9BX67	ENSG00000166086	83700	1	0	0	1	1	3	1	ADCdb		Junctional adhesion molecule C (JAM3)	Junctional adhesion protein that mediates heterotypic cell- cell interactions with its cognate receptor JAM2 to regulate different cellular processes. Plays a role in homing and mobilization of hematopoietic stem and progenitor cells within the bone marrow. At the surface of bone marrow stromal cells, it contributes to the retention of the hematopoietic stem and progenitor cells expressing JAM3. Plays a central role in leukocytes extravasation by facilitating transmigration through the endothelium. Plays a role in spermatogenesis where JAM2 and JAM3, which are respectively expressed by Sertoli and germ cells, mediate an interaction between both cell types and play an essential role in the anchorage of germ cells onto Sertoli cells and the assembly of cell polarity complexes during spermatid differentiation. Also functions as a counter- receptor for ITGAM, mediating leukocyte-platelet interactions and is involved in the regulation of transepithelial migration of polymorphonuclear neutrophils (PMN). Plays a role in angiogenesis. Plays a role in the regulation of cell migration (Probable). During myogenesis, it is involved in myocyte fusion. [Soluble form of JAM-C]: Promotes chemotaxis of vascular endothelial cells and stimulates angiogenesis.			
ADC	HGNC:15582	MUC16	Q8WXI7	ENSG00000181143	94025	1	1	0	1	1	4	1	TheraSAbDab	Sofituzumab; SOFITUZUMAB VEDOTIN	Mucin-16 (MUC16)	Thought to provide a protective, lubricating barrier against particles and infectious agents at mucosal surfaces.			
ADC	HGNC:15955	SEZ6	Q53EL9	ENSG00000063015	124925	1	0	0	1	0	2	1	ADCdb		Seizure protein 6 homolog (SEZ6)	May play a role in cell-cell recognition and in neuronal membrane signaling. Seems to be important for the achievement of the necessary balance between dendrite elongation and branching during the elaboration of a complex dendritic arbor. Involved in the development of appropriate excitatory synaptic connectivity.			
ADC	HGNC:1603	CCR2	P41597	ENSG00000121807	729230	1	1	1	1	0	4	1	TheraSAbDab	Plozalizumab	C-C chemokine receptor type 2 (CCR2)	Key functional receptor for CCL2 but can also bind CCL7 and CCL12. Its binding with CCL2 on monocytes and macrophages mediates chemotaxis and migration induction through the activation of the PI3K cascade, the small G protein Rac and lamellipodium protrusion (Probable). Also acts as a receptor for the beta-defensin DEFB106A/DEFB106B. Regulates the expression of T-cell inflammatory cytokines and T-cell differentiation, promoting the differentiation of T-cells into T-helper 17 cells (Th17) during inflammation. Facilitates the export of mature thymocytes by enhancing directional movement of thymocytes to sphingosine-1-phosphate stimulation and up-regulation of S1P1R expression; signals through the JAK-STAT pathway to regulate FOXO1 activity leading to an increased expression of S1P1R. Plays an important role in mediating peripheral nerve injury-induced neuropathic pain. Increases NMDA-mediated synaptic transmission in both dopamine D1 and D2 receptor-containing neurons, which may be caused by MAPK/ERK-dependent phosphorylation of GRIN2B/NMDAR2B. Mediates the recruitment of macrophages and monocytes to the injury site following brain injury.			
ADC	HGNC:1605	CCR4	P51679	ENSG00000183813	1233	1	1	1	1	1	5	1	ADCdb		C-C chemokine receptor type 4 (CCR4)	High affinity receptor for the C-C type chemokines CCL17/TARC, CCL22/MDC and CKLF isoform 1/CKLF1. The activity of this receptor is mediated by G(i) proteins which activate a phosphatidylinositol-calcium second messenger system. Can function as a chemoattractant homing receptor on circulating memory lymphocytes and as a coreceptor for some primary HIV-2 isolates. In the CNS, could mediate hippocampal-neuron survival.			
ADC	HGNC:1608	CCR7	P32248	ENSG00000126353	1236	1	1	0	1	1	4	1	ADCdb		C-C chemokine receptor type 7 (CCR7)	Receptor for the MIP-3-beta chemokine. Probable mediator of EBV effects on B-lymphocytes or of normal lymphocyte functions.			
ADC	HGNC:1631	CD163	Q86VB7	ENSG00000177575	9332	1	1	1	1	1	5	1	ADCdb		Scavenger receptor cysteine-rich type 1 protein M130 (CD163)	Acute phase-regulated receptor involved in clearance and endocytosis of hemoglobin/haptoglobin complexes by macrophages and may thereby protect tissues from free hemoglobin-mediated oxidative damage. May play a role in the uptake and recycling of iron, via endocytosis of hemoglobin/haptoglobin and subsequent breakdown of heme. Binds hemoglobin/haptoglobin complexes in a calcium-dependent and pH- dependent manner. Exhibits a higher affinity for complexes of hemoglobin and multimeric haptoglobin of HP*1F phenotype than for complexes of hemoglobin and dimeric haptoglobin of HP*1S phenotype. Induces a cascade of intracellular signals that involves tyrosine kinase-dependent calcium mobilization, inositol triphosphate production and secretion of IL6 and CSF1. Isoform 3 exhibits the higher capacity for ligand endocytosis and the more pronounced surface expression when expressed in cells.; After shedding, the soluble form (sCD163) may play an anti- inflammatory role, and may be a valuable diagnostic parameter for monitoring macrophage activation in inflammatory conditions.			
