gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	category	subcategory	facet	surface_call_reason	induction_trigger	low_endogenous_expression	state_dependence
ADGRD1	HGNC:19893	Q6QNK2	ENSG00000111452	283383.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
ADGRE1	HGNC:3336	Q14246	ENSG00000174837	2015.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
ADGRE2	HGNC:3337	Q9UHX3	ENSG00000127507	30817.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRE3	HGNC:23647	Q9BY15	ENSG00000131355	84658.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRE5	HGNC:1711	P48960	ENSG00000123146	976.0	canonical	all	none	classical_surface_receptor	none	0	moderate
ADGRF1	HGNC:18990	Q5T601	ENSG00000153292	266977.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRF5	HGNC:19030	Q8IZF2	ENSG00000069122	221395.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRG1	HGNC:4512	Q9Y653	ENSG00000205336	9289.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRG3	HGNC:13728	Q86Y34	ENSG00000182885	222487.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ADGRG4	HGNC:18992	Q8IZF6	ENSG00000156920	139378.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
ADGRG5	HGNC:19010	Q8IZF4	ENSG00000159618	221188.0	canonical	all	none	classical_surface_receptor	none	1	moderate
ADGRG6	HGNC:13841	Q86SQ4	ENSG00000112414	57211.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRL1	HGNC:20973	O94910	ENSG00000072071	22859.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
ADGRL2	HGNC:18582	O95490	ENSG00000117114	23266.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRL3	HGNC:20974	Q9HAR2	ENSG00000150471	23284.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADGRL4	HGNC:20822	Q9HBW9	ENSG00000162618	64123.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
ADIPOR1	HGNC:24040	Q96A54	ENSG00000159346	51094.0	canonical	all	none	multipass_with_exposed_loops	none	0	moderate
ADIPOR2	HGNC:24041	Q86V24	ENSG00000006831	79602.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
ADORA1	HGNC:262	P30542	ENSG00000163485	134.0	canonical	all	none	classical_surface_receptor	stress_hypoxia	0	moderate
ADORA2A	HGNC:263	P29274	ENSG00000128271	135.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ADORA2B	HGNC:264	P29275	ENSG00000170425	136.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADORA3	HGNC:268	P0DMS8	ENSG00000282608	140.0	canonical	all	none	classical_surface_receptor	oncogenic	0	high
ADRA1A	HGNC:277	P35348	ENSG00000120907	148.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ADRA1B	HGNC:278	P35368	ENSG00000170214	147.0	canonical	all	none	classical_surface_receptor	other	0	moderate
ADRA1D	HGNC:280	P25100	ENSG00000171873	146.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADRA2A	HGNC:281	P08913	ENSG00000150594	150.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ADRA2B	HGNC:282	P18089	ENSG00000274286	151.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ADRB1	HGNC:285	P08588	ENSG00000043591	153.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ADRB2	HGNC:286	P07550	ENSG00000169252	154.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ADRB3	HGNC:288	P13945	ENSG00000188778	155.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AGER	HGNC:320	Q15109	ENSG00000204305	177.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AGRN	HGNC:329	O00468	ENSG00000188157	375790.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
AGTR1	HGNC:336	P30556	ENSG00000144891	185.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AGTR2	HGNC:338	P50052	ENSG00000180772	186.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
AJAP1	HGNC:30801	Q9UKB5	ENSG00000196581	55966.0	canonical	all	none	classical_surface_receptor	oncogenic	0	high
ALCAM	HGNC:400	Q13740	ENSG00000170017	214.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ALK	HGNC:427	Q9UM73	ENSG00000171094	238.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
ALPG	HGNC:441	P10696	ENSG00000163286	251.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
ALPL	HGNC:438	P05186	ENSG00000162551	249.0	canonical	all	none	gpi_anchored	oncogenic	0	moderate
ALPP	HGNC:439	P05187	ENSG00000163283	250.0	canonical	all	none	gpi_anchored	oncogenic	0	high
AMIGO2	HGNC:24073	Q86SJ2	ENSG00000139211	347902.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
AMIGO3	HGNC:24075	Q86WK7	ENSG00000176020	386724.0	canonical	all	none	classical_surface_receptor	other	0	moderate
ANKH	HGNC:15492	Q9HCJ1	ENSG00000154122	56172.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ANO1	HGNC:21625	Q5XXA6	ENSG00000131620	55107.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ANO6	HGNC:25240	Q4KMQ2	ENSG00000177119	196527.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ANOS1	HGNC:6211	P23352	ENSG00000011201	3730.0	canonical	all	induced	cell_state_induced	oncogenic	1	high
ANPEP	HGNC:500	P15144	ENSG00000166825	290.0	canonical	all	none	classical_surface_receptor	none	0	low
ANTXR1	HGNC:21014	Q9H6X2	ENSG00000169604	84168.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ANTXR2	HGNC:21732	P58335	ENSG00000163297	118429.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AOC3	HGNC:550	Q16853	ENSG00000131471	8639.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
APCDD1	HGNC:15718	Q8J025	ENSG00000154856	147495.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
APLNR	HGNC:339	P35414	ENSG00000134817	187.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
APLP2	HGNC:598	Q06481	ENSG00000084234	334.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
APOH	HGNC:616	P02749	ENSG00000091583	350.0	canonical	all	none	stable_surface_attachment	stress_hypoxia	0	high
APOL1	HGNC:618	O14791	ENSG00000100342	8542.0	canonical	all	induced	cell_state_induced	immune	1	high
APP	HGNC:620	P05067	ENSG00000142192	351.0	canonical	all	none	dual_localization	oncogenic	0	moderate
AQP1	HGNC:633	P29972	ENSG00000240583	358.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
AQP3	HGNC:636	Q92482	ENSG00000165272	360.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
AQP4	HGNC:637	P55087	ENSG00000171885	361.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
AQP5	HGNC:638	P55064	ENSG00000161798	362.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
AQP7	HGNC:640	O14520	ENSG00000165269	364.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
AQP9	HGNC:643	O43315	ENSG00000103569	366.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
AREG	HGNC:651	P15514	ENSG00000109321	374.0	canonical	all	none	dual_localization	oncogenic	0	high
ARMH4	HGNC:19846	Q86TY3	ENSG00000139971	145407.0	canonical	all	none	dual_localization	none	1	moderate
ART1	HGNC:723	P52961	ENSG00000129744	417.0	canonical	all	none	gpi_anchored	oncogenic	1	moderate
ASAH2	HGNC:18860	Q9NR71	ENSG00000188611	56624.0	canonical	all	none	extracellular_face_protein	immune	0	moderate
ASGR1	HGNC:742	P07306	ENSG00000141505	432.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ASGR2	HGNC:743	P07307	ENSG00000161944	433.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
ASIC1	HGNC:100	P78348	ENSG00000110881	41.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ASIC2	HGNC:99	Q16515	ENSG00000108684	40.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ASIC3	HGNC:101	Q9UHC3	ENSG00000213199	9311.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ASTL	HGNC:31704	Q6HA08	ENSG00000188886	431705.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
ATP10D	HGNC:13549	Q9P241	ENSG00000145246	57205.0	canonical	all	none	dual_localization	none	1	moderate
ATP11A	HGNC:13552	P98196	ENSG00000068650	23250.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ATP11C	HGNC:13554	Q8NB49	ENSG00000101974	286410.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ATP12A	HGNC:13816	P54707	ENSG00000075673	479.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ATP1A1	HGNC:799	P05023	ENSG00000163399	476.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ATP1A2	HGNC:800	P50993	ENSG00000018625	477.0	canonical	all	none	multipass_with_exposed_loops	none	0	moderate
ATP1A3	HGNC:801	P13637	ENSG00000105409	478.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ATP1B1	HGNC:804	P05026	ENSG00000143153	481.0	canonical	all	none	classical_surface_receptor	none	0	moderate
ATP1B3	HGNC:806	P54709	ENSG00000069849	483.0	canonical	all	none	stable_complex_partner	oncogenic	0	moderate
ATP2B1	HGNC:814	P20020	ENSG00000070961	490.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ATP2B3	HGNC:816	Q16720	ENSG00000067842	492.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
ATP2B4	HGNC:817	P23634	ENSG00000058668	493.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
ATRN	HGNC:885	O75882	ENSG00000088812	8455.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
ATRNL1	HGNC:29063	Q5VV63	ENSG00000107518	26033.0	canonical	all	none	classical_surface_receptor	other	1	moderate
AVPR1A	HGNC:895	P37288	ENSG00000166148	552.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AVPR1B	HGNC:896	P47901	ENSG00000198049	553.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AVPR2	HGNC:897	P30518	ENSG00000126895	554.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
AXL	HGNC:905	P30530	ENSG00000167601	558.0	canonical	all	none	classical_surface_receptor	none	0	moderate
B2M	HGNC:914	P61769	ENSG00000166710	567.0	canonical	all	none	stable_complex_partner	oncogenic	0	moderate
BACE2	HGNC:934	Q9Y5Z0	ENSG00000182240	25825.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BAMBI	HGNC:30251	Q13145	ENSG00000095739	25805.0	canonical	all	induced	cell_state_induced	oncogenic	1	high
BCAM	HGNC:6722	P50895	ENSG00000187244	4059.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BCAN	HGNC:23059	Q96GW7	ENSG00000132692	63827.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
BDKRB2	HGNC:1030	P30411	ENSG00000168398	624.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BGN	HGNC:1044	P21810	ENSG00000182492	633.0	canonical	all	none	stable_surface_attachment	oncogenic	0	high
BMPR1A	HGNC:1076	P36894	ENSG00000107779	657.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BMPR1B	HGNC:1077	O00238	ENSG00000138696	658.0	canonical	all	none	classical_surface_receptor	none	0	moderate
BMPR2	HGNC:1078	Q13873	ENSG00000204217	659.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BOC	HGNC:17173	Q9BWV1	ENSG00000144857	91653.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BPIFA1	HGNC:15749	Q9NP55	ENSG00000198183	51297.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
BRS3	HGNC:1113	P32247	ENSG00000102239	680.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
BSG	HGNC:1116	P35613	ENSG00000172270	682.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BSND	HGNC:16512	Q8WZ55	ENSG00000162399	7809.0	canonical	all	none	stable_complex_partner	immune	1	moderate
BST1	HGNC:1118	Q10588	ENSG00000109743	683.0	canonical	all	none	gpi_anchored	oncogenic	0	moderate
BST2	HGNC:1119	Q10589	ENSG00000130303	684.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
BTC	HGNC:1121	P35070	ENSG00000174808	685.0	canonical	all	none	dual_localization	oncogenic	0	high
BTLA	HGNC:21087	Q7Z6A9	ENSG00000186265	151888.0	canonical	all	none	classical_surface_receptor	none	0	moderate
BTN1A1	HGNC:1135	Q13410	ENSG00000124557	696.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
BTN2A1	HGNC:1136	Q7KYR7	ENSG00000112763	11120.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BTN2A2	HGNC:1137	Q8WVV5	ENSG00000124508	10385.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
BTN3A1	HGNC:1138	O00481	ENSG00000026950	11119.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BTN3A2	HGNC:1139	P78410	ENSG00000186470	11118.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
BTN3A3	HGNC:1140	O00478	ENSG00000111801	10384.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
C1QL3	HGNC:19359	Q5VWW1	ENSG00000165985	389941.0	canonical	all	none	stable_surface_attachment	immune	0	high
C3	HGNC:1318	P01024	ENSG00000125730	718.0	canonical	all	induced	cell_state_induced	immune	0	high
C3AR1	HGNC:1319	Q16581	ENSG00000171860	719.0	canonical	all	none	classical_surface_receptor	none	0	moderate
C5AR1	HGNC:1338	P21730	ENSG00000197405	728.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
C5AR2	HGNC:4527	Q9P296	ENSG00000134830	27202.0	canonical	all	induced	cell_state_induced	immune	0	high
CA12	HGNC:1371	O43570	ENSG00000074410	771.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CA14	HGNC:1372	Q9ULX7	ENSG00000118298	23632.0	canonical	all	none	extracellular_face_protein	oncogenic	0	moderate
CA4	HGNC:1375	P22748	ENSG00000167434	762.0	canonical	all	none	gpi_anchored	oncogenic	1	moderate
CA9	HGNC:1383	Q16790	ENSG00000107159	768.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
CACNA1A	HGNC:1388	O00555	ENSG00000141837	773.0	canonical	all	none	multipass_with_exposed_loops	stress_hypoxia	0	moderate
CACNA1B	HGNC:1389	Q00975	ENSG00000148408	774.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
CACNA1C	HGNC:1390	Q13936	ENSG00000151067	775.0	canonical	all	none	multipass_with_exposed_loops	immune	0	moderate
CACNA1D	HGNC:1391	Q01668	ENSG00000157388	776.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
CACNA1E	HGNC:1392	Q15878	ENSG00000198216	777.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	1	moderate
CACNA1G	HGNC:1394	O43497	ENSG00000006283	8913.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
CACNA1H	HGNC:1395	O95180	ENSG00000196557	8912.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
CACNA1I	HGNC:1396	Q9P0X4	ENSG00000100346	8911.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
CACNA2D1	HGNC:1399	P54289	ENSG00000153956	781.0	canonical	all	none	gpi_anchored	oncogenic	0	moderate
CACNA2D2	HGNC:1400	Q9NY47	ENSG00000007402	9254.0	canonical	all	none	extracellular_face_protein	oncogenic	0	moderate
CACNA2D3	HGNC:15460	Q8IZS8	ENSG00000157445	55799.0	canonical	all	none	gpi_anchored	none	0	moderate
CACNG2	HGNC:1406	Q9Y698	ENSG00000166862	10369.0	canonical	all	none	multipass_with_exposed_loops	other	0	moderate
CACNG8	HGNC:13628	Q8WXS5	ENSG00000142408	59283.0	canonical	all	none	stable_complex_partner	other	1	moderate
CADM1	HGNC:5951	Q9BY67	ENSG00000182985	23705.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CADM2	HGNC:29849	Q8N3J6	ENSG00000175161	253559.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CADM4	HGNC:30825	Q8NFZ8	ENSG00000105767	199731.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
CALCR	HGNC:1440	P30988	ENSG00000004948	799.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CALCRL	HGNC:16709	Q16602	ENSG00000064989	10203.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CALHM1	HGNC:23494	Q8IU99	ENSG00000185933	255022.0	canonical	all	none	multipass_with_exposed_loops	other	1	moderate
CALHM2	HGNC:23493	Q9HA72	ENSG00000138172	51063.0	canonical	all	none	multipass_with_exposed_loops	other	0	moderate
CASR	HGNC:1514	P41180	ENSG00000036828	846.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
CAV1	HGNC:1527	Q03135	ENSG00000105974	857.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
CCDC25	HGNC:25591	Q86WR0	ENSG00000147419	55246.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
CCKAR	HGNC:1570	P32238	ENSG00000163394	886.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
CCKBR	HGNC:1571	P32239	ENSG00000110148	887.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
CCR1	HGNC:1602	P32246	ENSG00000163823	1230.0	canonical	all	none	classical_surface_receptor	none	0	moderate
CCR10	HGNC:4474	P46092	ENSG00000184451	2826.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CCR2	HGNC:1603	P41597	ENSG00000121807	729230.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CCR3	HGNC:1604	P51677	ENSG00000183625	1232.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
CCR4	HGNC:1605	P51679	ENSG00000183813	1233.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CCR5	HGNC:1606	P51681	ENSG00000160791	1234.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
CCR6	HGNC:1607	P51684	ENSG00000112486	1235.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CCR7	HGNC:1608	P32248	ENSG00000126353	1236.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CCR8	HGNC:1609	P51685	ENSG00000179934	1237.0	canonical	all	induced	cell_state_induced	oncogenic	0	high
CCR9	HGNC:1610	P51686	ENSG00000173585	10803.0	canonical	all	induced	cell_state_induced	oncogenic	1	high
CCRL2	HGNC:1612	O00421	ENSG00000121797	9034.0	canonical	all	induced	cell_state_induced	oncogenic	0	moderate
CD101	HGNC:5949	Q93033	ENSG00000134256	9398.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
CD109	HGNC:21685	Q6YHK3	ENSG00000156535	135228.0	canonical	all	none	gpi_anchored	oncogenic	0	high
CD14	HGNC:1628	P08571	ENSG00000170458	929.0	canonical	all	none	gpi_anchored	immune	0	moderate
CD151	HGNC:1630	P48509	ENSG00000177697	977.0	canonical	all	none	multipass_with_exposed_loops	oncogenic	0	moderate
CD160	HGNC:17013	O95971	ENSG00000117281	11126.0	canonical	all	none	gpi_anchored	oncogenic	1	high
CD163	HGNC:1631	Q86VB7	ENSG00000177575	9332.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD164	HGNC:1632	Q04900	ENSG00000135535	8763.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD177	HGNC:30072	Q8N6Q3	ENSG00000204936	57126.0	canonical	all	none	gpi_anchored	immune	0	moderate
CD1B	HGNC:1635	P29016	ENSG00000158485	910.0	canonical	all	none	classical_surface_receptor	infection	1	moderate
CD1C	HGNC:1636	P29017	ENSG00000158481	911.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD1D	HGNC:1637	P15813	ENSG00000158473	912.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD2	HGNC:1639	P06729	ENSG00000116824	914.0	canonical	all	none	classical_surface_receptor	immune	0	moderate
CD200	HGNC:7203	P41217	ENSG00000091972	4345.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD200R1	HGNC:24235	Q8TD46	ENSG00000163606	131450.0	canonical	all	none	classical_surface_receptor	oncogenic	1	moderate
CD209	HGNC:1641	Q9NNX6	ENSG00000090659	30835.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD22	HGNC:1643	P20273	ENSG00000012124	933.0	canonical	all	none	classical_surface_receptor	oncogenic	0	moderate
CD226	HGNC:16961	Q15762	ENSG00000150637	10666.0	canonical	all	none	classical_surface_receptor	none	0	moderate
