gene_symbol	tier	surface_verdict_bucket	papers_found	papers_selected	papers_with_ec	n_filters_evidence	n_det_features	evidence_grade
ANKRD30BL	no	no	66.0	0	0	10	4	weak
ANKRD35	no	no	94.0	0	0	10	6	weak
ANXA7	no	no	268.0	13	10	11	5	weak
ANXA8L1	no	no	150.0	4	3	12	4	weak
AP2M1	no	no	235.0	27	23	12	5	weak
APBA1	no	no	243.0	9	7	11	2	weak
APC	no	no	355.0	1	1	11	5	weak
APOL6	no	no	173.0	10	5	11	2	weak
APOM	no	no	237.0	19	15	12	4	conflicting
AQP12A	no	no	165.0	5	3	10	3	weak
ARAP1	no	no	205.0	7	6	12	5	weak
ARC	no	no	332.0	6	4	9	2	weak
ARF5	no	no	232.0	16	13	12	4	weak
ARHGAP18	no	no	198.0	12	11	10	5	weak
ARHGAP36	no	no	109.0	3	2	13	5	weak
ARHGAP45	no	no	318.0	2	1	11	5	weak
ARHGEF18	no	no	216.0	16	14	10	5	weak
ARID3A	no	no	367.0	4	3	10	2	weak
ARK2C	no	no	112.0	0	0	10	5	weak
ARL13A	no	no	118.0	11	7	14	4	weak
ARL15	no	no	156.0	10	8	12	4	weak
ARMCX5	no	no	88.0	0	0	10	4	weak
ARRDC1	no	no	204.0	12	9	11	4	weak
ARRDC4	no	no	167.0	10	8	12	4	weak
ARRDC5	no	no	70.0	4	3	9	4	weak
ARSD	no	no	323.0	1	0	10	4	weak
ARSJ	no	no	236.0	1	1	10	4	weak
ART5	no	no	152.0	4	1	12	5	weak
ASIP	no	no	355.0	2	0	12	4	weak
ASPHD1	no	no	129.0	0	0	10	4	weak
ASPHD2	no	no	95.0	0	0	10	4	weak
ATAD1	no	no	232.0	12	9	11	5	weak
ATP13A1	no	no	146.0	9	7	9	6	weak
ATP13A3	no	no	181.0	8	5	10	6	weak
ATP13A5	no	no	107.0	4	1	12	5	weak
ATP1B4	no	no	151.0	5	4	13	6	weak
ATP6V1A	no	no	201.0	27	22	11	2	weak
ATP6V1B2	no	no	235.0	22	16	12	4	weak
ATP6V1E1	no	no	278.0	13	10	11	5	weak
ATP7B	no	no	310.0	19	12	16	5	weak
ATP8A2	no	no	370.0	4	3	14	5	weak
AURKA	no	no	314.0	11	8	10	4	weak
AVEN	no	no	219.0	0	0	11	3	weak
AVPI1	no	no	119.0	2	0	10	3	weak
AZGP1	no	no	295.0	18	16	13	4	weak
B4GALNT2	no	no	324.0	2	0	11	5	weak
BAG6	no	no	291.0	2	2	14	2	weak
BAIAP2	no	no	233.0	19	17	13	6	weak
BAIAP3	no	no	176.0	3	0	11	2	weak
BCHE	no	no	309.0	3	1	13	5	weak
BIN2	no	no	241.0	4	4	13	6	weak
BLCAP	no	no		1	0	11	3	weak
BLTP1	no	no	219.0	4	1	10	4	weak
BLTP2	no	no	225.0	9	6	10	4	weak
BLVRB	no	no	228.0	5	4	11	3	weak
BMP10	no	no	232.0	20	18	14	5	weak
BMP8A	no	no	202.0	3	3	11	3	supportive_but_indirect
BMPER	no	no	298.0	5	5	11	4	weak
BMX	no	no	249.0	5	4	11	4	weak
BPI	no	no	330.0	1	1	12	4	weak
BPIFA3	no	no	57.0	5	3	11	5	weak
BPIFB2	no	no	154.0	10	6	11	5	weak
BPIFB6	no	no	70.0	3	2	11	4	weak
BPIFC	no	no	84.0	1	0	13	5	weak
BRINP2	no	no	125.0	0	0	11	5	weak
BRK1	no	no	181.0	4	3	13	4	weak
BTD	no	no	251.0	4	0	12	5	weak
C11orf24	no	no	64.0	1	1	12	4	weak
C16orf89	no	no	104.0	2	1	11	4	weak
C17orf99	no	no	138.0	4	4	12	3	weak
C1QL1	no	no	286.0	13	9	17	4	weak
C1QL4	no	no	101.0	5	4	13	5	weak
C1QTNF12	no	no	169.0	6	6	12	5	weak
C1QTNF2	no	no	146.0	3	2	12	5	weak
C1QTNF3	no	no	235.0	11	8	12	6	weak
C1QTNF6	no	no	221.0	12	11	13	6	weak
C1QTNF7	no	no	142.0	3	3	11	6	weak
C1QTNF8	no	no	98.0	7	5	14	4	weak
C1QTNF9	no	no	178.0	12	10	14	3	weak
C1QTNF9B	no	no	139.0	2	1	13	5	weak
C1R	no	no	251.0	13	11	14	3	weak
C1RL	no	no	216.0	5	3	13	4	weak
C1S	no	no	260.0	20	20	14	3	weak
C1orf115	no	no	105.0	2	2	9	2	weak
C1orf116	no	no	182.0	2	1	12	4	weak
C1orf54	no	no	97.0	1	1	10	3	weak
C2CD2L	no	no	126.0	9	8	11	5	weak
C2CD4A	no	no	138.0	2	1	12	2	weak
C2CD4B	no	no	153.0	2	2	10	2	weak
C2CD5	no	no	117.0	5	5	10	4	weak
C2orf74	no	no	73.0	2	1	12	3	weak
C4A	no	no	343.0	9	7	15	4	weak
C5	no	no	306.0	29	22	13	3	weak
C5orf46	no	no	116.0	2	1	11	4	weak
C6	no	no	349.0	0	0	11	4	weak
C6orf120	no	no	89.0	3	1	12	3	weak
C6orf89	no	no	272.0	4	3	12	4	weak
C7	no	no	350.0	0	0	11	4	weak
C8A	no	no	288.0	8	7	13	4	weak
C9orf85	no	no	54.0	0	0	10	2	weak
CABP7	no	no	196.0	3	3	11	4	weak
CASD1	no	no	211.0	10	7	13	4	weak
CATIP	no	no	135.0	0	0	10	4	weak
CATSPERZ	no	no	99.0	10	8	10	2	weak
CAVIN2	no	no	277.0	20	15	15	5	weak
CAVIN3	no	no	232.0	14	12	15	5	weak
CAVIN4	no	no	187.0	15	14	16	5	weak
CBLN3	no	no	106.0	7	5	15	5	weak
CBX3	no	no	232.0	6	4	11	2	weak
CCBE1	no	no	211.0	17	11	13	4	weak
CCDC107	no	no	72.0	0	0	10	4	weak
CCDC124	no	no	137.0	0	0	10	3	weak
CCDC136	no	no	151.0	1	0	10	5	weak
CCDC144A	no	no	183.0	1	0	12	3	weak
CCDC154	no	no	57.0	1	1	10	3	weak
CCDC167	no	no	74.0	1	1	11	3	weak
CCDC24	no	no	68.0	0	0	10	4	weak
CCDC3	no	no	153.0	6	6	13	5	weak
CCDC54	no	no	154.0	3	3	13	2	weak
CCDC69	no	no	106.0	2	2	11	4	weak
CCDC81	no	no	73.0	0	0	10	4	weak
CCDC85C	no	no	126.0	7	6	14	5	weak
CCDC97	no	no	97.0	0	0	10	3	weak
CCL21	no	no	374.0	4	2	14	3	weak
CCL27	no	no	358.0	3	1	13	3	weak
CCL5	no	no	344.0	21	16	14	4	weak
CCN5	no	no	217.0	14	10	14	5	weak
CCN6	no	no	323.0	4	1	15	5	weak
CCNY	no	no	196.0	6	6	14	2	weak
CCNYL1	no	no	116.0	1	0	11	5	weak
CCNYL1B	no	no	1.0	0	0	10	3	weak
CCPG1	no	no	201.0	5	3	10	5	weak
CCT5	no	no	189.0	3	2	10	2	weak
CCT7	no	no	229.0	8	7	10	2	weak
CD1E	no	no	369.0	14	10	18	5	weak
CDC37	no	no	217.0	4	4	11	2	weak
CDC42EP1	no	no	190.0	4	3	11	5	weak
CDIPT	no	no	336.0	0	0	10	5	weak
CDK14	no	no	211.0	3	1	11	5	weak
CDK16	no	no	186.0	4	0	14	5	weak
CDRT15	no	no	38.0	0	0	10	3	weak
CDV3	no	no	276.0	0	0	10	4	weak
CELA1	no	no	193.0	4	4	13	4	weak
CEND1	no	no	155.0	3	3	10	3	weak
CENPF	no	no	286.0	0	0	9	2	weak
CFAP126	no	no	141.0	1	0	12	3	weak
CFAP299	no	no	83.0	0	0	10	4	weak
CFAP65	no	no	144.0	5	5	12	5	weak
CFB	no	no	325.0	11	11	14	5	weak
CFHR5	no	no	215.0	29	22	12	3	weak
CFLAR	no	no	309.0	19	11	11	6	weak
CGAS	no	no	370.0	13	12	12	5	weak
CGB1	no	no	215.0	2	1	11	4	weak
CGB2	no	no	97.0	1	1	11	3	weak
CGN	no	no	264.0	15	15	14	5	weak
CHIA	no	no	317.0	3	1	11	4	weak
CHIC2	no	no	221.0	3	2	14	4	weak
CHID1	no	no	143.0	5	5	13	5	weak
CHLSN	no	no	125.0	1	0	12	3	weak
CHMP2B	no	no	315.0	13	12	11	2	weak
CHMP5	no	no	343.0	2	2	10	2	weak
CHODL	no	no	181.0	7	6	14	6	weak
CHP2	no	no	189.0	8	3	12	4	weak
CHRDL1	no	no	324.0	3	3	11	5	weak
CIB1	no	no	308.0	10	5	11	5	weak
CIB3	no	no	161.0	9	6	11	5	weak
CIMIP2C	no	no	48.0	2	0	12	3	weak
CIMIP6	no	no	42.0	1	0	12	4	weak
CIP2A	no	no	280.0	6	5	11	6	weak
CIRBP	no	no	254.0	16	9	13	2	weak
CLDND2	no	no	43.0	1	1	13	4	weak
CLEC18B	no	no	66.0	1	0	12	4	weak
CLEC18C	no	no	109.0	1	0	13	4	weak
CLEC19A	no	no	52.0	1	1	12	5	weak
CLEC3B	no	no	368.0	4	4	12	4	weak
CLMB	no	no	163.0	3	2	14	4	weak
CLPSL2	no	no	37.0	1	0	12	5	weak
CLU	no	no	309.0	22	20	15	5	weak
CMA1	no	no	318.0	17	16	13	5	weak
CMTM3	no	no	180.0	13	13	13	5	weak
CNFN	no	no	146.0	3	1	12	5	weak
CNKSR1	no	no	278.0	6	4	12	5	weak
CNKSR3	no	no	194.0	1	1	12	4	weak
CNPY4	no	no	107.0	5	5	11	4	weak
CNST	no	no	157.0	2	2	10	5	weak
COBLL1	no	no	193.0	2	2	10	5	weak
COL18A1	no	no	341.0	4	2	14	5	weak
COL26A1	no	no	245.0	3	2	12	6	weak
COL5A3	no	no	242.0	5	3	11	4	weak
COL6A5	no	no	215.0	7	6	15	5	weak
COLEC10	no	no	276.0	10	8	12	4	weak
COMT	no	no	281.0	1	1	10	5	weak
CP	no	no	373.0	1	0	10	4	weak
CPA4	no	no	239.0	2	2	11	5	weak
CPN2	no	no	243.0	1	1	13	4	weak
CPNE7	no	no	160.0	4	3	13	5	weak
CPNE9	no	no	103.0	2	1	10	6	weak
CPPED1	no	no	142.0	1	1	13	4	weak
CPQ	no	no	264.0	2	2	12	4	weak
CPXM1	no	no	215.0	2	1	13	4	weak
CPXM2	no	no	175.0	3	2	12	4	weak
CRACR2A	no	no	155.0	10	9	11	6	weak
CRCP	no	no	329.0	0	0	10	4	weak
CREB3	no	no	239.0	6	6	12	5	weak
CREG2	no	no	98.0	2	2	10	5	weak
CRELD1	no	no	152.0	7	6	12	5	weak
CRELD2	no	no	176.0	13	13	12	5	weak
CRLF1	no	no	266.0	11	9	13	4	weak
CRLF3	no	no	165.0	8	4	11	2	weak
CSE1L	no	no	364.0	0	0	10	2	weak
CSNK1G2	no	no	174.0	3	0	12	4	weak
CT47A12	no	no	89.0	0	0	10	3	weak
CT47A2	no	no	15.0	0	0	10	3	weak
CT47A4	no	no	18.0	0	0	10	3	weak
CT47A7	no	no	16.0	0	0	10	3	weak
CT47A9	no	no	16.0	0	0	10	3	weak
CTNNA1	no	no	263.0	26	20	14	5	weak
CTNNB1	no	no	385.0	20	16	14	4	weak
CTNND1	no	no	343.0	19	17	14	5	weak
CTNND2	no	no	184.0	7	4	11	5	weak
CTTN	no	no	286.0	18	13	11	5	weak
CTXN2	no	no	74.0	0	0	10	4	weak
CUTA	no	no	266.0	0	0	10	5	weak
CXCL9	no	no	346.0	20	18	12	4	weak
CYB561D1	no	no	87.0	2	1	12	5	weak
CYB5D2	no	no	140.0	3	2	12	5	weak
CYB5R3	no	no	235.0	12	10	10	2	weak
CYP19A1	no	no	353.0	20	15	12	5	weak
CYP2D6	no	no	337.0	2	1	10	4	weak
CYP2E1	no	no	328.0	12	10	11	4	weak
CYP46A1	no	no	234.0	10	9	10	4	weak
CYSRT1	no	no	80.0	1	0	12	3	weak
CYTH1	no	no	218.0	14	12	13	5	weak
CYYR1	no	no	135.0	4	3	15	4	weak
DAB2	no	no	246.0	20	19	15	5	weak
DAGLB	no	no	188.0	12	10	13	6	weak
DAO	no	no	307.0	4	3	13	4	weak
DAPP1	no	no	173.0	7	4	11	5	weak
DARS2	no	no	217.0	2	2	12	2	weak
DBH	no	no	289.0	6	5	11	5	weak
DBI	no	no	320.0	9	9	12	2	weak
DBNL	no	no	248.0	4	3	9	5	weak
DDT	no	no	316.0	9	6	14	5	weak
DDTL	no	no	86.0	0	0	10	4	weak
DDX4	no	no	267.0	1	1	11	5	weak
DEFA1	no	no	339.0	4	4	13	3	weak
DEFA1B	no	no	332.0	5	4	11	3	weak
DEFA3	no	no	248.0	10	8	11	3	weak
DEFA6	no	no	228.0	12	12	13	3	weak
DEFB104A	no	no	243.0	19	16	11	3	weak
DEFB105A	no	no	201.0	5	2	11	3	weak
DEFB105B	no	no	196.0	3	2	12	3	weak
DEFB107B	no	no	83.0	2	0	10	3	weak
DEFB108B	no	no	73.0	3	0	11	3	weak
DEFB109B	no	no	115.0	11	5	12	3	weak
DEFB114	no	no	134.0	5	4	11	2	weak
DEFB116	no	no	41.0	3	2	11	3	weak
DEFB119	no	no	110.0	6	6	11	5	weak
DEFB121	no	no	58.0	4	4	11	3	weak
DEFB124	no	no	64.0	5	0	12	4	weak
DEFB130B	no	no	7.0	1	1	13	3	weak
DEFB131B	no	no	7.0	0	0	10	3	weak
DEK	no	no	258.0	4	3	14	3	weak
DHRS7B	no	no	141.0	4	3	9	5	weak
DHRSX	no	no	114.0	2	2	12	3	weak
DIPK2A	no	no	232.0	6	4	10	5	weak
DIPK2B	no	no	132.0	4	1	11	5	weak
DIRAS3	no	no	187.0	4	2	12	2	weak
DISP3	no	no	149.0	3	1	11	5	weak
DKKL1	no	no	194.0	9	8	10	3	weak
DLEU7	no	no	133.0	0	0	10	4	weak
DLG1	no	no	265.0	20	17	14	2	weak
DLG2	no	no	241.0	6	4	13	5	weak
DLG4	no	no	296.0	24	17	12	5	weak
DMP1	no	no	277.0	15	13	17	4	weak
DMPK	no	no	319.0	1	0	9	6	weak
DNAJC1	no	no	173.0	2	2	12	4	weak
DNASE1L3	no	no	345.0	8	7	13	5	weak
DNASE2B	no	no	250.0	2	1	10	5	weak
DOC2A	no	no	189.0	7	6	13	5	weak
DOK3	no	no	228.0	3	1	11	5	weak
DPCD	no	no	174.0	2	2	12	3	weak
DPP7	no	no	381.0	4	2	11	5	weak
DPP9	no	no	222.0	10	10	10	2	weak
DRAXIN	no	no	281.0	4	0	13	3	weak
DSP	no	no	355.0	6	5	10	5	weak
DSTYK	no	no	184.0	3	2	11	5	weak
DUT	no	no	277.0	3	0	10	2	weak
DVL1	no	no	250.0	15	13	12	6	weak
EEF1A1	no	no	325.0	9	4	10	3	weak
EEF1AKMT4-ECE2	no	no	70.0	1	0	11	3	weak
EEPD1	no	no	156.0	4	4	13	3	supportive_but_indirect
EFCAB7	no	no	111.0	2	2	12	5	weak
EGFL7	no	no	275.0	20	17	14	4	weak
EGFL8	no	no	204.0	4	4	12	4	weak
EHBP1L1	no	no	160.0	6	2	12	4	weak
EHD1	no	no	372.0	11	10	11	5	weak
EHD2	no	no	207.0	20	18	13	6	weak
EHD3	no	no	210.0	12	10	11	6	weak
EIF3A	no	no	296.0	1	1	9	2	weak
EIF4A1	no	no	280.0	13	9	11	5	weak
ELAVL1	no	no	360.0	8	7	10	5	weak
EMC10	no	no	157.0	14	14	13	4	weak
EMILIN1	no	no	275.0	8	8	15	5	weak
EN1	no	no	268.0	1	1	11	2	weak
ENDOD1	no	no	170.0	1	0	11	3	weak
ENHO	no	no	196.0	7	6	15	4	weak
ENTPD5	no	no	239.0	12	9	13	4	weak
ENTREP3	no	no	107.0	2	1	15	5	weak
EPB41	no	no	365.0	15	11	12	5	weak
EPB41L3	no	no	242.0	11	11	12	5	weak
EPDR1	no	no	181.0	11	11	12	5	weak
EPHX1	no	no	283.0	2	2	10	4	weak
EPHX3	no	no	165.0	1	1	10	4	weak
EPM2A	no	no	324.0	0	0	11	2	weak
EPS8L1	no	no	186.0	5	5	11	5	weak
EPS8L3	no	no	138.0	3	2	11	5	weak
ERBIN	no	no	243.0	11	8	14	5	weak
ERC1	no	no	231.0	14	12	12	5	weak
ERFE	no	no	215.0	21	20	15	4	weak
ERLIN2	no	no	190.0	15	10	13	5	weak
ERO1A	no	no	204.0	19	13	13	4	weak
ERP29	no	no	187.0	7	5	12	5	weak
ERP44	no	no	156.0	15	13	12	4	weak
ERVH48-1	no	no	112.0	10	10	12	2	weak
ESR2	no	no		8	7	12	6	weak
ESYT2	no	no	172.0	16	13	13	5	weak
ESYT3	no	no	146.0	16	14	13	6	weak
EVA1A	no	no	170.0	9	8	11	4	weak
EVC	no	no	227.0	3	2	15	4	weak
EXOC3L1	no	no	125.0	2	1	10	4	weak
EXTL3	no	no	185.0	7	4	13	5	weak
EZR	no	no	330.0	17	15	15	5	weak
F2	no	no	381.0	3	1	14	4	weak
FAM149A	no	no	88.0	0	0	10	2	weak
FAM153A	no	no	69.0	0	0	10	2	weak
FAM180A	no	no	91.0	0	0	10	4	weak
FAM186A	no	no	69.0	0	0	10	2	weak
FAM193A	no	no	101.0	1	0	10	5	weak
FAM209A	no	no	45.0	2	1	12	3	weak
FAM209B	no	no	43.0	1	1	12	3	weak
FAM20A	no	no	198.0	7	7	14	5	weak
FAM222A	no	no	100.0	1	1	12	4	weak
FAM237B	no	no	48.0	5	5	13	4	weak
FAM3A	no	no	343.0	1	1	11	5	weak
FAM3B	no	no	337.0	3	0	13	5	weak
FAM3C	no	no	240.0	21	20	16	4	weak
FAM3D	no	no	188.0	7	7	13	4	weak
FAM53A	no	no	80.0	0	0	10	4	weak
FAM72C	no	no	64.0	0	0	10	3	weak
FAM78A	no	no	91.0	0	0	10	4	weak
FASN	no	no	318.0	16	14	11	4	weak
FBRSL1	no	no	140.0	1	1	9	4	weak
FCER1G	no	no	282.0	19	17	13	3	weak
FCGBP	no	no	238.0	13	11	15	3	weak
FCN2	no	no	284.0	7	6	11	4	weak
FCN3	no	no	217.0	17	16	14	5	weak
FCRLA	no	no	198.0	14	11	14	5	weak
FCRLB	no	no	179.0	9	6	12	5	weak
FERMT2	no	no	237.0	22	16	11	5	weak
FEZ1	no	no	199.0	2	0	11	2	weak
FGA	no	no	338.0	8	8	14	4	weak
FGB	no	no	317.0	10	8	13	4	weak
FGF3	no	no	272.0	5	3	14	4	weak
FGF8	no	no	289.0	16	15	13	5	weak
FGFBP1	no	no	203.0	26	23	13	4	weak
FGL1	no	no	261.0	24	21	13	4	weak
FGR	no	no	283.0	6	3	12	4	weak
FIBIN	no	no	150.0	2	1	13	3	weak
FKRP	no	no	212.0	17	16	13	5	weak
FLACC1	no	no	125.0	1	0	12	5	weak
FLII	no	no	311.0	1	1	10	2	weak
FLOT1	no	no	291.0	21	19	14	6	weak
FLOT2	no	no	299.0	14	11	13	4	weak
FMOD	no	no	366.0	2	1	12	4	weak
FNDC11	no	no	56.0	0	0	10	2	weak
FOXR2	no	no	164.0	0	0	10	2	weak
FREM3	no	no	120.0	4	3	16	3	weak
FRMD7	no	no	241.0	2	1	10	5	weak
FRMPD2	no	no	92.0	3	0	13	5	weak
FSD1L	no	no	246.0	1	1	12	6	weak
FSTL5	no	no	160.0	2	0	13	5	weak
FUT3	no	no	344.0	9	9	13	3	weak
FUT4	no	no	316.0	14	14	12	5	weak
GAA	no	no	319.0	6	3	13	4	weak
GAP43	no	no	341.0	11	9	11	5	weak
GAPDH	no	no	389.0	0	0	9	5	weak
GAPVD1	no	no	178.0	10	9	11	5	weak
GBA1	no	no	284.0	13	12	16	4	weak
GBA2	no	no	317.0	3	2	10	4	weak
GCSAM	no	no	230.0	7	5	13	4	weak
GFOD1	no	no	137.0	0	0	10	6	weak
GFOD2	no	no	86.0	0	0	10	6	weak
GFY	no	no	129.0	3	0	10	4	weak
GGTA1	no	no	250.0	8	4	10	2	weak
GGTLC2	no	no	102.0	3	1	10	2	weak
GHDC	no	no	139.0	1	1	11	4	weak
GLMP	no	no	233.0	11	11	12	4	weak
GMFB	no	no	228.0	2	2	12	2	weak
GMFG	no	no	177.0	6	6	13	4	weak
GNAI2	no	no	321.0	15	13	14	5	weak
GNAL	no	no	248.0	4	4	12	5	weak
GNAQ	no	no	299.0	13	9	13	3	weak
GNAS	no	no	343.0	3	1	11	4	weak
GNB1	no	no	361.0	5	3	10	5	weak
GNB2	no	no	238.0	8	2	11	5	weak
GNB3	no	no	243.0	5	2	12	5	weak
GNB4	no	no	214.0	6	5	10	4	weak
GNG2	no	no	221.0	5	1	12	4	weak
GOLGA7B	no	no	86.0	3	3	13	4	weak
GOT2	no	no	284.0	3	3	11	2	weak
GPHB5	no	no	338.0	2	2	12	4	weak
GPLD1	no	no	296.0	15	12	15	4	weak
GPR108	no	no	134.0	6	4	11	5	weak
GPR137	no	no	118.0	12	7	10	6	weak
GPR137C	no	no	175.0	1	0	10	5	weak
GPR155	no	no	151.0	5	3	15	6	weak
GPR15LG	no	no	140.0	19	18	14	3	weak
GPR180	no	no	287.0	3	1	14	5	weak
GPRIN1	no	no	297.0	0	0	11	4	weak
GPRIN2	no	no	168.0	1	0	13	4	weak
GRAMD1A	no	no	292.0	7	5	11	5	weak
GRAMD1B	no	no	309.0	12	11	11	5	weak
GRAMD1C	no	no	255.0	10	8	13	4	weak
GREP1	no	no	91.0	1	0	11	2	weak
GRINA	no	no	205.0	7	4	11	4	weak
GSN	no	no	320.0	15	12	14	5	weak
GUCA2A	no	no	242.0	0	0	11	4	weak
GZMB	no	no	361.0	14	12	12	3	weak
H2BC12	no	no	221.0	1	0	10	2	weak
H2BC4	no	no	237.0	0	0	9	2	weak
H4C3	no	no	264.0	0	0	9	2	weak
HABP2	no	no	276.0	10	9	13	5	weak
HARBI1	no	no	131.0	0	0	10	3	weak
HARS1	no	no	302.0	0	0	10	2	weak
HAS1	no	no	363.0	15	10	15	4	weak
HCK	no	no	267.0	9	9	11	5	weak
HDAC3	no	no	317.0	4	3	10	2	weak
HEXD	no	no	219.0	1	1	11	4	weak
HGSNAT	no	no	173.0	12	11	10	4	weak
HHIPL2	no	no	92.0	0	0	11	4	weak
HIGD1B	no	no	128.0	1	1	10	4	weak
HIP1R	no	no	214.0	16	10	11	6	weak
HLA-DMA	no	no	298.0	10	8	17	6	weak
HLA-DOA	no	no	205.0	13	9	15	6	weak
HM13	no	no	361.0	9	8	11	6	weak
HMGB3	no	no	207.0	2	1	14	2	weak
HNRNPU	no	no	307.0	3	1	10	5	weak
HSH2D	no	no	221.0	1	1	9	5	weak
HSPB1	no	no	296.0	11	8	11	5	weak
HSPE1	no	no	287.0	2	0	10	3	weak
HTRA2	no	no	254.0	5	4	15	6	weak
HTRA3	no	no	243.0	12	8	14	6	weak
HTRA4	no	no	166.0	14	13	13	5	weak
IER3	no	no	260.0	1	0	11	3	weak
IFFO2	no	no	94.0	1	0	9	5	weak
IFNE	no	no	227.0	13	13	13	4	weak
IFNL4	no	no	209.0	9	9	12	3	weak
IGFBP2	no	no	302.0	17	16	14	4	weak
IGFBP3	no	no	316.0	16	15	17	5	weak
IGFBPL1	no	no	157.0	7	3	14	4	weak
IGFL3	no	no	66.0	3	2	14	3	weak
IGIP	no	no	74.0	2	2	12	3	weak
IGSF10	no	no	212.0	7	6	15	5	weak
IL16	no	no	335.0	10	9	15	5	weak
IL17C	no	no	311.0	15	14	14	4	weak
IL17REL	no	no	120.0	1	0	13	3	weak
IL1RN	no	no	319.0	6	6	15	5	weak
IL24	no	no	272.0	14	9	12	5	weak
IL37	no	no	331.0	10	8	14	4	weak
IL4I1	no	no	290.0	17	14	15	6	weak
INHBE	no	no	334.0	5	4	13	4	weak
INPP5A	no	no	188.0	6	6	12	3	weak
INS-IGF2	no	no	202.0	2	2	11	2	weak
INSL4	no	no	174.0	3	3	11	3	weak
INSL6	no	no	258.0	2	1	10	3	weak
IPCEF1	no	no	131.0	4	2	11	5	weak
IQCE	no	no	121.0	1	1	12	5	weak
IQGAP2	no	no	236.0	8	5	13	5	weak
IRGC	no	no	209.0	2	0	11	4	weak
IRS1	no	no	321.0	10	7	10	4	weak
ITLN1	no	no	291.0	12	9	12	4	weak
ITLN2	no	no	217.0	4	4	13	4	weak
ITPRID2	no	no	306.0	1	1	11	5	weak
ITPRIP	no	no	337.0	3	2	13	4	weak
ITPRIPL2	no	no	170.0	1	0	12	4	weak
JAK3	no	no	323.0	7	5	11	5	weak
JMJD6	no	no	318.0	0	0	9	2	weak
JOSD1	no	no	170.0	3	2	11	2	weak
JPT2	no	no	277.0	3	1	11	3	weak
