gene_symbol	uniprot_acc	hgnc_id	model	prompt_variant	replicate	predicted_verdict	predicted_reason	is_match	ground_truth_verdict	ground_truth_reason
BDKRB1	P46663	HGNC:1029	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
BDKRB1	P46663	HGNC:1029	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	yes	multipass_with_exposed_loops
BDKRB1	P46663	HGNC:1029	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
BRAF	P15056	HGNC:1097	claude-haiku-4-5	naive	1	no	cytoplasmic	1	no	cytoplasmic
BRAF	P15056	HGNC:1097	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	cytoplasmic
BRAF	P15056	HGNC:1097	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	cytoplasmic
BST2	Q10589	HGNC:1119	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	gpi_anchored
BST2	Q10589	HGNC:1119	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	gpi_anchored
BST2	Q10589	HGNC:1119	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
BTK	Q06187	HGNC:1133	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	1	no	cytoplasmic
BTK	Q06187	HGNC:1133	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	cytoplasmic
BTK	Q06187	HGNC:1133	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	cytoplasmic
C3	P01024	HGNC:1318	claude-haiku-4-5	naive	1	no	secreted_only	0	contextual	stable_surface_attachment
C3	P01024	HGNC:1318	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	contextual	stable_surface_attachment
C3	P01024	HGNC:1318	claude-haiku-4-5	naive	3	contextual	dual_localization	1	contextual	stable_surface_attachment
CA9	Q16790	HGNC:1383	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CA9	Q16790	HGNC:1383	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	yes	classical_surface_receptor
CA9	Q16790	HGNC:1383	claude-haiku-4-5	naive	3	contextual	cell_state_induced	1	yes	classical_surface_receptor
CALR	P27797	HGNC:1455	claude-haiku-4-5	naive	1	contextual	cell_state_induced	1	contextual	cell_state_induced
CALR	P27797	HGNC:1455	claude-haiku-4-5	naive	2	no	endomembrane_resident	0	contextual	cell_state_induced
CALR	P27797	HGNC:1455	claude-haiku-4-5	naive	3	contextual	cell_state_induced	1	contextual	cell_state_induced
CCR8	P51685	HGNC:1609	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
CCR8	P51685	HGNC:1609	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
CCR8	P51685	HGNC:1609	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
CD19	P15391	HGNC:1633	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD19	P15391	HGNC:1633	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD19	P15391	HGNC:1633	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD24	P25063	HGNC:1645	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	yes	gpi_anchored
CD24	P25063	HGNC:1645	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
CD24	P25063	HGNC:1645	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
CD276	Q5ZPR3	HGNC:19137	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD276	Q5ZPR3	HGNC:19137	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD276	Q5ZPR3	HGNC:19137	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD63	P08962	HGNC:1692	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	1	contextual	lysosomal_exocytosis
CD63	P08962	HGNC:1692	claude-haiku-4-5	naive	2	contextual	lysosomal_exocytosis	1	contextual	lysosomal_exocytosis
CD63	P08962	HGNC:1692	claude-haiku-4-5	naive	3	contextual	lysosomal_exocytosis	1	contextual	lysosomal_exocytosis
CD68	P34810	HGNC:1693	claude-haiku-4-5	naive	1	contextual	cell_state_induced	1	contextual	dual_localization
CD68	P34810	HGNC:1693	claude-haiku-4-5	naive	2	contextual	lysosomal_exocytosis	1	contextual	dual_localization
CD68	P34810	HGNC:1693	claude-haiku-4-5	naive	3	contextual	lysosomal_exocytosis	1	contextual	dual_localization
CD74	P04233	HGNC:1697	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD74	P04233	HGNC:1697	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CD74	P04233	HGNC:1697	claude-haiku-4-5	naive	3	contextual	dual_localization	1	yes	classical_surface_receptor
CEACAM5	P06731	HGNC:1817	claude-haiku-4-5	naive	1	contextual	cell_state_induced	1	yes	gpi_anchored
CEACAM5	P06731	HGNC:1817	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
CEACAM5	P06731	HGNC:1817	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
CEACAM6	P40199	HGNC:1818	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	yes	gpi_anchored
CEACAM6	P40199	HGNC:1818	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
CEACAM6	P40199	HGNC:1818	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	gpi_anchored
CLDN18	P56856	HGNC:2039	claude-haiku-4-5	naive	1	no	endomembrane_resident	0	yes	multipass_with_exposed_loops
CLDN18	P56856	HGNC:2039	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	yes	multipass_with_exposed_loops
CLDN18	P56856	HGNC:2039	claude-haiku-4-5	naive	3	contextual	cell_state_induced	1	yes	multipass_with_exposed_loops
CLDN6	P56747	HGNC:2048	claude-haiku-4-5	naive	1	no	endomembrane_resident	0	yes	multipass_with_exposed_loops
CLDN6	P56747	HGNC:2048	claude-haiku-4-5	naive	2	contextual	tissue_restricted_surface	1	yes	multipass_with_exposed_loops
CLDN6	P56747	HGNC:2048	claude-haiku-4-5	naive	3	contextual	cell_state_induced	1	yes	multipass_with_exposed_loops
CRISP1	P54107	HGNC:304	claude-haiku-4-5	naive	1	yes	stable_complex_partner	1	contextual	stable_surface_attachment
CRISP1	P54107	HGNC:304	claude-haiku-4-5	naive	2	yes	stable_complex_partner	1	contextual	stable_surface_attachment
CRISP1	P54107	HGNC:304	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	contextual	stable_surface_attachment
CSPG4	Q6UVK1	HGNC:2466	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CSPG4	Q6UVK1	HGNC:2466	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
CSPG4	Q6UVK1	HGNC:2466	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
DLK1	P80370	HGNC:2907	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
DLK1	P80370	HGNC:2907	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
DLK1	P80370	HGNC:2907	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	1	yes	classical_surface_receptor
DLL3	Q9NYJ7	HGNC:2909	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	contextual	cell_state_induced
DLL3	Q9NYJ7	HGNC:2909	claude-haiku-4-5	naive	2	no	endomembrane_resident	0	contextual	cell_state_induced
DLL3	Q9NYJ7	HGNC:2909	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	1	contextual	cell_state_induced
DPEP1	P16444	HGNC:3002	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	gpi_anchored
DPEP1	P16444	HGNC:3002	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	gpi_anchored
DPEP1	P16444	HGNC:3002	claude-haiku-4-5	naive	3	contextual	lysosomal_exocytosis	1	yes	gpi_anchored
DSG3	P32926	HGNC:3050	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
DSG3	P32926	HGNC:3050	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
DSG3	P32926	HGNC:3050	claude-haiku-4-5	naive	3	no	other	0	yes	classical_surface_receptor
DSG4	Q86SJ6	HGNC:21307	claude-haiku-4-5	naive	1	contextual	cell_state_induced	1	yes	classical_surface_receptor
DSG4	Q86SJ6	HGNC:21307	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
DSG4	Q86SJ6	HGNC:21307	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EFNA4	P52798	HGNC:3224	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	yes	gpi_anchored
EFNA4	P52798	HGNC:3224	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
EFNA4	P52798	HGNC:3224	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
EPCAM	P16422	HGNC:11529	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EPCAM	P16422	HGNC:11529	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EPCAM	P16422	HGNC:11529	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EPHB4	P54760	HGNC:3395	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EPHB4	P54760	HGNC:3395	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EPHB4	P54760	HGNC:3395	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
EREG	O14944	HGNC:3443	claude-haiku-4-5	naive	1	contextual	dual_localization	1	contextual	dual_localization
EREG	O14944	HGNC:3443	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	contextual	dual_localization
EREG	O14944	HGNC:3443	claude-haiku-4-5	naive	3	contextual	dual_localization	1	contextual	dual_localization
F2	P00734	HGNC:3535	claude-haiku-4-5	naive	1	contextual	cell_state_induced	0	no	secreted_only
F2	P00734	HGNC:3535	claude-haiku-4-5	naive	2	no	secreted_only	1	no	secreted_only
F2	P00734	HGNC:3535	claude-haiku-4-5	naive	3	no	secreted_only	1	no	secreted_only
FLT3	P36888	HGNC:3765	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
FLT3	P36888	HGNC:3765	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
FLT3	P36888	HGNC:3765	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
FN1	P02751	HGNC:3778	claude-haiku-4-5	naive	1	contextual	stable_surface_attachment	1	contextual	stable_surface_attachment
FN1	P02751	HGNC:3778	claude-haiku-4-5	naive	2	contextual	dual_localization	1	contextual	stable_surface_attachment
FN1	P02751	HGNC:3778	claude-haiku-4-5	naive	3	contextual	dual_localization	1	contextual	stable_surface_attachment
FOLH1	Q04609	HGNC:3788	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
FOLH1	Q04609	HGNC:3788	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
FOLH1	Q04609	HGNC:3788	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
FOLR1	P15328	HGNC:3791	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	yes	gpi_anchored
FOLR1	P15328	HGNC:3791	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
FOLR1	P15328	HGNC:3791	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
FZD10	Q9ULW2	HGNC:4039	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
FZD10	Q9ULW2	HGNC:4039	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
FZD10	Q9ULW2	HGNC:4039	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
FZD7	O75084	HGNC:4045	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
FZD7	O75084	HGNC:4045	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	yes	multipass_with_exposed_loops
FZD7	O75084	HGNC:4045	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GALNT1	Q10472	HGNC:4123	claude-haiku-4-5	naive	1	no	endomembrane_resident	1	no	endomembrane_resident
GALNT1	Q10472	HGNC:4123	claude-haiku-4-5	naive	2	no	endomembrane_resident	1	no	endomembrane_resident
GALNT1	Q10472	HGNC:4123	claude-haiku-4-5	naive	3	no	endomembrane_resident	1	no	endomembrane_resident
GCGR	P47871	HGNC:4192	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	multipass_with_exposed_loops
GCGR	P47871	HGNC:4192	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GCGR	P47871	HGNC:4192	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	multipass_with_exposed_loops
GFRA1	P56159	HGNC:4243	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	yes	gpi_anchored
GFRA1	P56159	HGNC:4243	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
GFRA1	P56159	HGNC:4243	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
GIPR	P48546	HGNC:4271	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GIPR	P48546	HGNC:4271	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GIPR	P48546	HGNC:4271	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GNAQ	P50148	HGNC:4390	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
GNAQ	P50148	HGNC:4390	claude-haiku-4-5	naive	2	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
GNAQ	P50148	HGNC:4390	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	inner_leaflet_anchored
GNB1	P62873	HGNC:4396	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
GNB1	P62873	HGNC:4396	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	inner_leaflet_anchored
GNB1	P62873	HGNC:4396	claude-haiku-4-5	naive	3	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
GPBAR1	Q8TDU6	HGNC:19680	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GPBAR1	Q8TDU6	HGNC:19680	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GPBAR1	Q8TDU6	HGNC:19680	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	multipass_with_exposed_loops
GPC2	Q8N158	HGNC:4450	claude-haiku-4-5	naive	1	yes	gpi_anchored	1	yes	gpi_anchored
GPC2	Q8N158	HGNC:4450	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
GPC2	Q8N158	HGNC:4450	claude-haiku-4-5	naive	3	yes	gpi_anchored	1	yes	gpi_anchored
GPC3	P51654	HGNC:4451	claude-haiku-4-5	naive	1	contextual	cell_state_induced	1	yes	gpi_anchored
GPC3	P51654	HGNC:4451	claude-haiku-4-5	naive	2	yes	gpi_anchored	1	yes	gpi_anchored
GPC3	P51654	HGNC:4451	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	1	yes	gpi_anchored
GPNMB	Q14956	HGNC:4462	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	1	yes	classical_surface_receptor
GPNMB	Q14956	HGNC:4462	claude-haiku-4-5	naive	2	contextual	lysosomal_exocytosis	1	yes	classical_surface_receptor
GPNMB	Q14956	HGNC:4462	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
GPRC5D	Q9NZD1	HGNC:13310	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GPRC5D	Q9NZD1	HGNC:13310	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GPRC5D	Q9NZD1	HGNC:13310	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
GRM4	Q14833	HGNC:4596	claude-haiku-4-5	naive	1	contextual	tissue_restricted_surface	1	yes	multipass_with_exposed_loops
GRM4	Q14833	HGNC:4596	claude-haiku-4-5	naive	2	no	endomembrane_resident	0	yes	multipass_with_exposed_loops
GRM4	Q14833	HGNC:4596	claude-haiku-4-5	naive	3	no	other	0	yes	multipass_with_exposed_loops
GUCY2C	P25092	HGNC:4688	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
GUCY2C	P25092	HGNC:4688	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
GUCY2C	P25092	HGNC:4688	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
GYPA	P02724	HGNC:4702	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	1	yes	classical_surface_receptor
GYPA	P02724	HGNC:4702	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	1	yes	classical_surface_receptor
GYPA	P02724	HGNC:4702	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	classical_surface_receptor
HCK	P08631	HGNC:4840	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
HCK	P08631	HGNC:4840	claude-haiku-4-5	naive	2	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
HCK	P08631	HGNC:4840	claude-haiku-4-5	naive	3	no	inner_leaflet_anchored	1	no	inner_leaflet_anchored
HDAC6	Q9UBN7	HGNC:14064	claude-haiku-4-5	naive	1	no	cytoplasmic	1	no	cytoplasmic
HDAC6	Q9UBN7	HGNC:14064	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	cytoplasmic
HDAC6	Q9UBN7	HGNC:14064	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	cytoplasmic
HMGB1	P09429	HGNC:4983	claude-haiku-4-5	naive	1	no	secreted_only	0	contextual	cell_state_induced
HMGB1	P09429	HGNC:4983	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	contextual	cell_state_induced
HMGB1	P09429	HGNC:4983	claude-haiku-4-5	naive	3	contextual	cell_state_induced	1	contextual	cell_state_induced
HNRNPK	P61978	HGNC:5044	claude-haiku-4-5	naive	1	no	cytoplasmic	1	no	nuclear
HNRNPK	P61978	HGNC:5044	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	nuclear
HNRNPK	P61978	HGNC:5044	claude-haiku-4-5	naive	3	no	nuclear	1	no	nuclear
HRH2	P25021	HGNC:5183	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
HRH2	P25021	HGNC:5183	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
HRH2	P25021	HGNC:5183	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	1	yes	multipass_with_exposed_loops
HSPA1A	P0DMV8	HGNC:5232	claude-haiku-4-5	naive	1	no	cytoplasmic	0	contextual	cell_state_induced
HSPA1A	P0DMV8	HGNC:5232	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	contextual	cell_state_induced
HSPA1A	P0DMV8	HGNC:5232	claude-haiku-4-5	naive	3	contextual	cell_state_induced	1	contextual	cell_state_induced
HSPA5	P11021	HGNC:5238	claude-haiku-4-5	naive	1	contextual	cell_state_induced	1	contextual	cell_state_induced
HSPA5	P11021	HGNC:5238	claude-haiku-4-5	naive	2	contextual	cell_state_induced	1	contextual	cell_state_induced
HSPA5	P11021	HGNC:5238	claude-haiku-4-5	naive	3	no	endomembrane_resident	0	contextual	cell_state_induced
HSPD1	P10809	HGNC:5261	claude-haiku-4-5	naive	1	no	mitochondrial_internal	0	contextual	cell_state_induced
HSPD1	P10809	HGNC:5261	claude-haiku-4-5	naive	2	no	mitochondrial_internal	0	contextual	cell_state_induced
HSPD1	P10809	HGNC:5261	claude-haiku-4-5	naive	3	no	mitochondrial_internal	0	contextual	cell_state_induced
HTR2C	P28335	HGNC:5295	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	1	yes	multipass_with_exposed_loops
HTR2C	P28335	HGNC:5295	claude-haiku-4-5	naive	2	contextual	tissue_restricted_surface	1	yes	multipass_with_exposed_loops
HTR2C	P28335	HGNC:5295	claude-haiku-4-5	naive	3	no	endomembrane_resident	0	yes	multipass_with_exposed_loops
IGF1	P05019	HGNC:5464	claude-haiku-4-5	naive	1	contextual	stable_surface_attachment	0	no	secreted_only
IGF1	P05019	HGNC:5464	claude-haiku-4-5	naive	2	contextual	dual_localization	0	no	secreted_only
IGF1	P05019	HGNC:5464	claude-haiku-4-5	naive	3	contextual	stable_surface_attachment	0	no	secreted_only
IKBKB	O14920	HGNC:5960	claude-haiku-4-5	naive	1	no	cytoplasmic	1	no	cytoplasmic
IKBKB	O14920	HGNC:5960	claude-haiku-4-5	naive	2	no	cytoplasmic	1	no	cytoplasmic
IKBKB	O14920	HGNC:5960	claude-haiku-4-5	naive	3	no	cytoplasmic	1	no	cytoplasmic
IL6	P05231	HGNC:6018	claude-haiku-4-5	naive	1	contextual	dual_localization	0	no	secreted_only
IL6	P05231	HGNC:6018	claude-haiku-4-5	naive	2	contextual	dual_localization	0	no	secreted_only
