gene_symbol	model	prompt_variant	predicted_verdict	predicted_reason	predicted_confidence	n_reps	majority_agreement	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_db_votes	has_deep_dive
CLDN18	claude-haiku-4-5	naive	contextual	cell_state_induced	medium	3	0.667	5175	2194	0	0	0	0.016145	25.749	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	1	1	0	1	0	1	3	1
CLDN6	claude-haiku-4-5	naive	contextual	tissue_restricted_surface	high	3	0.667	5175	1604	0	0	0	0.013195	21.508	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
CRISP1	claude-haiku-4-5	naive	yes	stable_complex_partner	high	3	1.0	5175	909	0	0	0	0.00972	11.895	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1	0	0	0	0	0	0	0
CSPG4	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5178	1406	0	0	0	0.012208	15.895	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
DLK1	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5175	2219	0	0	0	0.01627	24.325	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
DLL3	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	0.667	5172	2026	0	0	0	0.015302	22.495	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	contextual	disagreement_rich_positive	1	1	0	1	0	1	3	0
DPEP1	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5175	1838	0	0	0	0.014365	19.622	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1	1	0	1	1	1	4	0
DSG3	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	0.667	5172	2213	0	0	0	0.016237	22.933	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
DSG4	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5172	1904	0	0	0	0.014692	19.863	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
EFNA4	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5196	991	0	0	0	0.010151	14.388	P52798	HGNC:3224	1945	ENSG00000243364	yes	disagreement_rich_positive	1	0	0	1	1	0	2	0
EPCAM	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5175	863	0	0	0	0.00949	10.048	P16422	HGNC:11529	4072	ENSG00000119888	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
EPHB4	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5196	1111	0	0	0	0.010751	11.743	P54760	HGNC:3395	2050	ENSG00000196411	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
EREG	claude-haiku-4-5	naive	contextual	dual_localization	medium	3	1.0	5193	1666	0	0	0	0.013523	18.122	O14944	HGNC:3443	2069	ENSG00000124882	contextual	disagreement_rich_positive	1	1	0	1	0	0	2	0
F2	claude-haiku-4-5	naive	no	secreted_only	high	3	0.667	5169	2300	0	0	0	0.016669	28.381	P00734	HGNC:3535	2147	ENSG00000180210	no	secreted_negative	1	0	1	0	1	0	2	0
FLT3	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5196	1192	0	0	0	0.011156	11.983	P36888	HGNC:3765	2322	ENSG00000122025	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
FN1	claude-haiku-4-5	naive	contextual	stable_surface_attachment	high	3	1.0	5172	1241	0	0	0	0.011377	14.497	P02751	HGNC:3778	2335	ENSG00000115414	contextual	secreted_negative	1	0	0	0	1	0	1	1
FOLH1	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5175	1792	0	0	0	0.014135	18.608	Q04609	HGNC:3788	2346	ENSG00000086205	yes	validated_positive	1	1	1	1	0	0	3	0
FOLR1	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5196	1152	0	0	0	0.010956	14.139	P15328	HGNC:3791	2348	ENSG00000110195	yes	validated_positive	1	1	1	1	1	0	4	0
FZD10	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	1619	0	0	0	0.013291	17.787	Q9ULW2	HGNC:4039	11211	ENSG00000111432	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
FZD7	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	1391	0	0	0	0.012151	15.94	O75084	HGNC:4045	8324	ENSG00000155760	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
GALNT1	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	1.0	5196	2252	0	0	0	0.016456	22.562	Q10472	HGNC:4123	2589	ENSG00000141429	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
GCGR	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5196	1606	0	0	0	0.013226	16.584	P47871	HGNC:4192	2642	ENSG00000215644	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GFRA1	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5199	1959	0	0	0	0.014994	20.436	P56159	HGNC:4243	2674	ENSG00000151892	yes	disagreement_rich_positive	1	0	1	1	1	0	3	0
GIPR	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5193	1955	0	0	0	0.014968	19.921	P48546	HGNC:4271	2696	ENSG00000010310	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GNAQ	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	1.0	5193	2004	0	0	0	0.015213	22.05	P50148	HGNC:4390	2776	ENSG00000156052	no	wrong_side_negative	1	0	1	0	0	1	2	0
GNB1	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	1.0	5196	2621	0	0	0	0.018301	25.612	P62873	HGNC:4396	2782	ENSG00000078369	no	wrong_side_negative	1	0	1	0	0	1	2	0
GPBAR1	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	646	0	0	0	0.008426	7.728	Q8TDU6	HGNC:19680	151306	ENSG00000179921	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
GPC2	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5172	1985	0	0	0	0.015097	20.939	Q8N158	HGNC:4450	221914	ENSG00000213420	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
GPC3	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	1.0	5172	756	0	0	0	0.008952	9.184	P51654	HGNC:4451	2719	ENSG00000147257	yes	gpi_anchored_positive	1	0	1	1	0	1	3	0
GPNMB	claude-haiku-4-5	naive	contextual	lysosomal_exocytosis	high	3	1.0	5199	1712	0	0	0	0.013759	18.86	Q14956	HGNC:4462	10457	ENSG00000136235	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
GPRC5D	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5199	1669	0	0	0	0.013544	16.844	Q9NZD1	HGNC:13310	55507	ENSG00000111291	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
GRM4	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	0.667	5172	1226	0	0	0	0.011302	15.794	Q14833	HGNC:4596	2914	ENSG00000124493	yes	gpcr_extracellular_pocket	0	1	0	1	0	0	2	0
GUCY2C	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5199	1651	0	0	0	0.013454	18.024	P25092	HGNC:4688	2984	ENSG00000070019	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
GYPA	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5172	1494	0	0	0	0.012642	17.185	P02724	HGNC:4702	2993	ENSG00000170180	yes	disagreement_rich_positive	1	1	0	1	0	1	3	0
HCK	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	1.0	5193	1662	0	0	0	0.013503	17.916	P08631	HGNC:4840	3055	ENSG00000101336	no	wrong_side_negative	1	0	1	0	0	1	2	0
HDAC6	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5196	1275	0	0	0	0.011571	14.906	Q9UBN7	HGNC:14064	10013	ENSG00000094631	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
HMGB1	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	0.667	5178	1474	0	0	0	0.012548	18.009	P09429	HGNC:4983	3146	ENSG00000189403	contextual	induced_borderline	1	0	1	0	0	0	1	1
HNRNPK	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5181	1818	0	0	0	0.014271	20.354	P61978	HGNC:5044	3190	ENSG00000165119	no	nuclear_negative	1	0	0	0	1	0	1	0
HRH2	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	1648	0	0	0	0.013436	16.649	P25021	HGNC:5183	3274	ENSG00000113749	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
HSPA1A	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	0.667	5178	1974	0	0	0	0.015048	24.658	P0DMV8	HGNC:5232	3303	ENSG00000204389	contextual	induced_borderline	1	0	0	0	0	0	0	0
HSPA5	claude-haiku-4-5	naive	contextual	cell_state_induced	high	3	0.667	5196	1973	0	0	0	0.015061	20.96	P11021	HGNC:5238	3309	ENSG00000044574	contextual	induced_borderline	1	1	0	0	0	0	1	1
HSPD1	claude-haiku-4-5	naive	no	mitochondrial_internal	high	3	1.0	5178	1480	0	0	0	0.012578	17.759	P10809	HGNC:5261	3329	ENSG00000144381	contextual	dual_localization_borderline	0	0	1	0	0	0	1	0
HTR2C	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	0.667	5196	1851	0	0	0	0.014451	20.864	P28335	HGNC:5295	3358	ENSG00000147246	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
IGF1	claude-haiku-4-5	naive	contextual	stable_surface_attachment	medium	3	1.0	5193	1150	0	0	0	0.010943	14.017	P05019	HGNC:5464	3479	ENSG00000017427	no	secreted_negative	0	0	1	0	0	0	1	0
IKBKB	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5199	1150	0	0	0	0.010949	12.993	O14920	HGNC:5960	3551	ENSG00000104365	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
IL6	claude-haiku-4-5	naive	contextual	dual_localization	high	3	1.0	5190	1299	0	0	0	0.011685	15.31	P05231	HGNC:6018	3569	ENSG00000136244	no	secreted_negative	0	0	1	0	0	0	1	0
ITPR1	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	1.0	5196	1576	0	0	0	0.013076	18.67	Q14643	HGNC:6180	3708	ENSG00000150995	no	wrong_compartment_negative	1	0	0	0	1	0	1	0
ITPR3	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	1.0	5196	1439	0	0	0	0.012391	15.636	Q14573	HGNC:6182	3710	ENSG00000096433	no	wrong_compartment_negative	1	1	0	0	1	0	2	0
IZUMO1	claude-haiku-4-5	naive	contextual	tissue_restricted_surface	high	3	1.0	5178	1270	0	0	0	0.011528	14.976	Q8IYV9	HGNC:28539	284359	ENSG00000182264	contextual	induced_borderline	1	1	0	1	0	0	2	0
IZUMO4	claude-haiku-4-5	naive	contextual	tissue_restricted_surface	medium	3	1.0	5178	1723	0	0	0	0.013793	19.71	Q1ZYL8	HGNC:26950	113177	ENSG00000099840	no	induced_borderline	0	0	0	0	0	0	0	1
JAK1	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5193	942	0	0	0	0.009903	10.562	P23458	HGNC:6190	3716	ENSG00000162434	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
JAK2	claude-haiku-4-5	naive	contextual	cell_state_induced	medium	3	0.667	5193	1197	0	0	0	0.011178	14.165	O60674	HGNC:6192	3717	ENSG00000096968	no	approved_drug_intracellular_negative	0	0	1	0	0	0	1	0
JAK3	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5193	971	0	0	0	0.010048	11.533	P52333	HGNC:6193	3718	ENSG00000105639	no	approved_drug_intracellular_negative	1	0	1	0	0	1	2	0
KLK2	claude-haiku-4-5	naive	contextual	tissue_restricted_surface	medium	3	0.667	5196	1675	0	0	0	0.013571	21.196	P20151	HGNC:6363	3817	ENSG00000167751	contextual	disagreement_rich_positive	1	0	0	0	0	0	0	1
KRAS	claude-haiku-4-5	naive	contextual	dual_localization	medium	3	1.0	5193	1156	0	0	0	0.010973	14.719	P01116	HGNC:6407	3845	ENSG00000133703	no	wrong_side_negative	0	0	1	0	0	0	1	0
LAMP1	claude-haiku-4-5	naive	contextual	lysosomal_exocytosis	high	3	1.0	5193	1900	0	0	0	0.014693	19.887	P11279	HGNC:6499	3916	ENSG00000185896	contextual	induced_borderline	1	0	0	1	1	0	2	0
LAMP2	claude-haiku-4-5	naive	contextual	lysosomal_exocytosis	medium	3	1.0	5172	2654	0	0	0	0.018442	28.476	P13473	HGNC:6501	3920	ENSG00000005893	contextual	induced_borderline	1	0	0	1	1	1	3	0
LAMP3	claude-haiku-4-5	naive	contextual	lysosomal_exocytosis	high	3	1.0	5172	2129	0	0	0	0.015817	22.888	Q9UQV4	HGNC:14582	27074	ENSG00000078081	contextual	lysosomal_exocytosis_borderline	1	1	0	1	1	0	3	0
LGR5	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	2265	0	0	0	0.016521	26.184	O75473	HGNC:4504	8549	ENSG00000139292	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
LRRC32	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5178	1897	0	0	0	0.014663	20.659	Q14392	HGNC:4161	2615	ENSG00000137507	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
LRRK2	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5178	2185	0	0	0	0.016103	23.109	Q5S007	HGNC:18618	120892	ENSG00000188906	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
LY6K	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5175	963	0	0	0	0.00999	10.196	Q17RY6	HGNC:24225	54742	ENSG00000160886	contextual	gpi_anchored_positive	1	0	0	1	1	0	2	0
LYN	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	0.667	5193	2064	0	0	0	0.015513	20.96	P07948	HGNC:6735	4067	ENSG00000254087	no	wrong_side_borderline	1	0	1	0	0	1	2	1
LYPD1	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5178	1783	0	0	0	0.014093	18.547	Q8N2G4	HGNC:28431	116372	ENSG00000150551	yes	gpi_anchored_positive	1	0	0	1	0	1	2	0
LYPD3	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5178	1480	0	0	0	0.012578	15.362	O95274	HGNC:24880	27076	ENSG00000124466	yes	gpi_anchored_positive	1	0	0	1	1	0	2	0
MAP2K1	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5175	1673	0	0	0	0.01354	19.986	Q02750	HGNC:6840	5604	ENSG00000169032	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
MAP2K2	claude-haiku-4-5	naive	no	cytoplasmic	high	3	1.0	5196	2147	0	0	0	0.015931	22.348	P36507	HGNC:6842	5605	ENSG00000126934	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
MC1R	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5193	670	0	0	0	0.008543	9.451	Q01726	HGNC:6929	4157	ENSG00000258839	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
MSLN	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5172	2045	0	0	0	0.015397	21.207	Q13421	HGNC:7371	10232	ENSG00000102854	yes	gpi_anchored_positive	1	0	1	1	1	1	4	0
MUC1	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5196	1293	0	0	0	0.011661	14.431	P15941	HGNC:7508	4582	ENSG00000185499	yes	disagreement_rich_positive	1	1	1	1	0	1	4	0
MUC16	claude-haiku-4-5	naive	contextual	dual_localization	medium	3	1.0	5175	1093	0	0	0	0.01064	13.152	Q8WXI7	HGNC:15582	94025	ENSG00000181143	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
NECTIN4	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5175	1098	0	0	0	0.010665	11.525	Q96NY8	HGNC:19688	81607	ENSG00000143217	yes	validated_positive	1	1	0	1	0	1	3	0
NPY5R	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	1240	0	0	0	0.011396	15.005	Q15761	HGNC:7958	4889	ENSG00000164129	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
NRAS	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	0.667	5172	1146	0	0	0	0.010902	14.569	P01111	HGNC:7989	4893	ENSG00000213281	no	wrong_side_negative	1	0	0	0	0	1	1	0
NRROS	claude-haiku-4-5	naive	no	nuclear	medium	3	1.0	5175	2065	0	0	0	0.0155	22.407	Q86YC3	HGNC:24613	375387	ENSG00000174004	yes	disagreement_rich_positive	0	1	1	1	0	0	3	0
NUP210	claude-haiku-4-5	naive	no	nuclear_envelope	high	3	1.0	5196	1683	0	0	0	0.013611	18.442	Q8TEM1	HGNC:30052	23225	ENSG00000132182	no	wrong_compartment_negative	1	0	0	1	1	0	2	0
OR1A1	claude-haiku-4-5	naive	yes	multipass_with_exposed_loops	high	3	1.0	5196	801	0	0	0	0.009201	8.855	Q9P1Q5	HGNC:8179	8383	ENSG00000172146	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
PMEL	claude-haiku-4-5	naive	no	endomembrane_resident	high	3	0.667	5193	2570	0	0	0	0.018043	28.393	P40967	HGNC:10880	6490	ENSG00000185664	contextual	dual_localization_borderline	0	0	0	1	1	0	2	0
PRAME	claude-haiku-4-5	naive	no	pmhc_only_intracellular	high	3	1.0	5193	1429	0	0	0	0.012338	15.047	P78395	HGNC:9336	23532	ENSG00000185686	no	pmhc_only_negative	1	0	0	0	0	1	1	0
PRNP	claude-haiku-4-5	naive	contextual	dual_localization	medium	3	1.0	5175	1417	0	0	0	0.01226	15.356	P04156	HGNC:9449	5621	ENSG00000171867	yes	gpi_anchored_positive	1	0	1	1	1	0	3	0
PSCA	claude-haiku-4-5	naive	yes	gpi_anchored	high	3	1.0	5193	1631	0	0	0	0.013348	17.218	O43653	HGNC:9500	8000	ENSG00000167653	yes	disagreement_rich_positive	1	0	0	1	0	1	2	0
PTK7	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5172	1264	0	0	0	0.011492	13.799	Q13308	HGNC:9618	5754	ENSG00000112655	yes	disagreement_rich_positive	1	1	0	1	1	1	4	0
RAC1	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	0.667	5172	1988	0	0	0	0.015112	20.696	P63000	HGNC:9801	5879	ENSG00000136238	no	wrong_side_negative	1	0	1	0	0	0	1	0
RHOA	claude-haiku-4-5	naive	no	inner_leaflet_anchored	high	3	1.0	5193	1653	0	0	0	0.013458	17.884	P61586	HGNC:667	387	ENSG00000067560	no	wrong_side_negative	1	0	1	0	0	1	2	0
ROR1	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5193	1349	0	0	0	0.011938	14.902	Q01973	HGNC:10256	4919	ENSG00000185483	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
ROR2	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5193	1525	0	0	0	0.012818	16.36	Q01974	HGNC:10257	4920	ENSG00000169071	yes	disagreement_rich_positive	1	1	0	1	1	0	3	0
ROS1	claude-haiku-4-5	naive	yes	classical_surface_receptor	high	3	1.0	5193	1154	0	0	0	0.010963	13.916	P08922	HGNC:10261	6098	ENSG00000047936	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
