gene_symbol	model	prompt_variant	replicate	predicted_verdict	predicted_reason	predicted_confidence	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match
BAX	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1744	330	0	0	0	0.003394	4.049048957997002	Q07812	HGNC:959	581	ENSG00000087088	contextual	induced_borderline	1
BDKRB1	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1748	208	0	0	0	0.002788	2.483199500013143	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1
BRAF	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1745	421	0	0	0	0.00385	5.4050889579812065	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1
BST2	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	601	0	0	0	0.00475	7.142949250002857	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1
BTK	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	high	1744	727	0	0	0	0.005379	7.337917583005037	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1
C3	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1744	390	0	0	0	0.003694	5.167598792002536	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	1
CA9	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1744	854	0	0	0	0.006014	8.828651459014509	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1
CALR	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1745	300	0	0	0	0.003245	4.55952900002012	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	1
CCR8	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1745	277	0	0	0	0.00313	3.3514605829841457	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1
CD19	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1744	256	0	0	0	0.003024	3.665696249983739	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1
CD24	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1744	184	0	0	0	0.002664	2.183970833022613	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1
CD276	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1744	819	0	0	0	0.005839	8.401610333006829	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1
CD63	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1744	316	0	0	0	0.003324	4.0625658329809085	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1
CD68	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1744	362	0	0	0	0.003554	4.5767475420143455	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1
CD74	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1744	233	0	0	0	0.002909	4.02419241698226	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1
CEACAM5	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1747	263	0	0	0	0.003062	3.184540082991589	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1
CEACAM6	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1747	586	0	0	0	0.004677	5.809635500016157	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1
CLDN18	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	718	0	0	0	0.005336	8.184425666986499	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	1
CLDN6	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1746	279	0	0	0	0.003141	4.116845208976883	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	1
CRISP1	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1746	204	0	0	0	0.002766	2.4711038329987787	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1
CSPG4	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1747	892	0	0	0	0.006207	8.56679079204332	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1
DLK1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	779	0	0	0	0.005641	8.03220199997304	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1
DLL3	claude-haiku-4-5	naive	1	contextual	tissue_restricted_surface	high	1745	306	0	0	0	0.003275	4.383632250013761	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	yes	disagreement_rich_positive	1
DPEP1	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1746	239	0	0	0	0.002941	2.802456042030826	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1
DSG3	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	699	0	0	0	0.00524	7.6616097500082105	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	1
DSG4	claude-haiku-4-5	naive	1	contextual	tissue_restricted_surface	high	1745	309	0	0	0	0.00329	3.965739957988262	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1
EFNA4	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1746	664	0	0	0	0.005066	6.749076959036756	P52798	HGNC:3224	1945	ENSG00000243364	yes	disagreement_rich_positive	1
EPCAM	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	327	0	0	0	0.003381	3.977923416008707	P16422	HGNC:11529	4072	ENSG00000119888	yes	disagreement_rich_positive	1
EPHB4	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	712	0	0	0	0.005306	8.064941791002639	P54760	HGNC:3395	2050	ENSG00000196411	yes	disagreement_rich_positive	1
EREG	claude-haiku-4-5	naive	1	contextual	dual_localization	high	1745	298	0	0	0	0.003235	3.46334154100623	O14944	HGNC:3443	2069	ENSG00000124882	contextual	disagreement_rich_positive	1
F2	claude-haiku-4-5	naive	1	contextual	secreted_only	high	1744	443	0	0	0	0.003959	5.737665957945865	P00734	HGNC:3535	2147	ENSG00000180210	no	secreted_negative	0
FLT3	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	252	0	0	0	0.003006	2.6144515000050887	P36888	HGNC:3765	2322	ENSG00000122025	yes	disagreement_rich_positive	1
FN1	claude-haiku-4-5	naive	1	yes	stable_surface_attachment	high	1745	327	0	0	0	0.00338	4.020639542024583	P02751	HGNC:3778	2335	ENSG00000115414	no	secreted_negative	0
FOLH1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	738	0	0	0	0.005436	7.380942000017967	Q04609	HGNC:3788	2346	ENSG00000086205	yes	validated_positive	1
FOLR1	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1746	251	0	0	0	0.003001	3.3019790410180576	P15328	HGNC:3791	2348	ENSG00000110195	yes	validated_positive	1
FZD10	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	186	0	0	0	0.002676	3.311028583033476	Q9ULW2	HGNC:4039	11211	ENSG00000111432	yes	disagreement_rich_positive	1
FZD7	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	296	0	0	0	0.003226	3.6743589999969117	O75084	HGNC:4045	8324	ENSG00000155760	yes	disagreement_rich_positive	1
GALNT1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	medium	1746	377	0	0	0	0.003631	5.298026582982857	Q10472	HGNC:4123	2589	ENSG00000141429	no	wrong_compartment_negative	0
GCGR	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	225	0	0	0	0.002871	4.323032582993619	P47871	HGNC:4192	2642	ENSG00000215644	yes	gpcr_extracellular_pocket	1
GFRA1	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1747	216	0	0	0	0.002827	2.569156124955043	P56159	HGNC:4243	2674	ENSG00000151892	yes	disagreement_rich_positive	1
GIPR	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	252	0	0	0	0.003005	3.097470709006302	P48546	HGNC:4271	2696	ENSG00000010310	yes	gpcr_extracellular_pocket	1
GNAQ	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1745	416	0	0	0	0.003825	5.232861708034761	P50148	HGNC:4390	2776	ENSG00000156052	no	wrong_side_negative	1
GNB1	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	high	1746	821	0	0	0	0.005851	8.161813708022237	P62873	HGNC:4396	2782	ENSG00000078369	no	wrong_side_negative	1
GPBAR1	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	253	0	0	0	0.003011	3.2290775409783237	Q8TDU6	HGNC:19680	151306	ENSG00000179921	yes	gpcr_extracellular_pocket	1
GPC2	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1745	239	0	0	0	0.00294	2.875810374971479	Q8N158	HGNC:4450	221914	ENSG00000213420	yes	gpi_anchored_positive	1
GPC3	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1745	270	0	0	0	0.003095	3.928151000000071	P51654	HGNC:4451	2719	ENSG00000147257	yes	gpi_anchored_positive	1
GPNMB	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1747	309	0	0	0	0.003292	3.7524212920106947	Q14956	HGNC:4462	10457	ENSG00000136235	yes	disagreement_rich_positive	1
GPRC5D	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1747	232	0	0	0	0.002907	3.1304372919839807	Q9NZD1	HGNC:13310	55507	ENSG00000111291	yes	disagreement_rich_positive	1
GRM4	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1745	989	0	0	0	0.00669	9.72727545798989	Q14833	HGNC:4596	2914	ENSG00000124493	yes	gpcr_extracellular_pocket	1
GUCY2C	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1747	231	0	0	0	0.002902	2.7060661669820547	P25092	HGNC:4688	2984	ENSG00000070019	yes	disagreement_rich_positive	1
GYPA	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	665	0	0	0	0.00507	7.227577458019368	P02724	HGNC:4702	2993	ENSG00000170180	yes	disagreement_rich_positive	1
HCK	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1745	877	0	0	0	0.00613	8.938560083974153	P08631	HGNC:4840	3055	ENSG00000101336	no	wrong_side_negative	1
HDAC6	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1746	275	0	0	0	0.003121	3.079899708973244	Q9UBN7	HGNC:14064	10013	ENSG00000094631	no	approved_drug_intracellular_negative	1
HMGB1	claude-haiku-4-5	naive	1	no	secreted_only	high	1747	993	0	0	0	0.006712	9.931350417027716	P09429	HGNC:4983	3146	ENSG00000189403	no	nuclear_negative	1
HNRNPK	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1748	706	0	0	0	0.005278	8.116871082980651	P61978	HGNC:5044	3190	ENSG00000165119	no	nuclear_negative	1
HRH2	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	235	0	0	0	0.002921	2.9212457920075394	P25021	HGNC:5183	3274	ENSG00000113749	yes	gpcr_extracellular_pocket	1
HSPA1A	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1747	296	0	0	0	0.003227	4.018605207966175	P0DMV8	HGNC:5232	3303	ENSG00000204389	contextual	induced_borderline	0
HSPA5	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1746	898	0	0	0	0.006236	9.466852249985095	P11021	HGNC:5238	3309	ENSG00000044574	contextual	induced_borderline	0
HSPD1	claude-haiku-4-5	naive	1	no	mitochondrial_internal	high	1747	749	0	0	0	0.005492	8.167254458996467	P10809	HGNC:5261	3329	ENSG00000144381	contextual	dual_localization_borderline	0
HTR2C	claude-haiku-4-5	naive	1	contextual	dual_localization	medium	1746	1455	0	0	0	0.009021	17.1008769160253	P28335	HGNC:5295	3358	ENSG00000147246	yes	gpcr_extracellular_pocket	1
IGF1	claude-haiku-4-5	naive	1	no	secreted_only	high	1745	843	0	0	0	0.00596	8.980368582997471	P05019	HGNC:5464	3479	ENSG00000017427	no	secreted_negative	1
IKBKB	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1747	338	0	0	0	0.003437	4.575846249994356	O14920	HGNC:5960	3551	ENSG00000104365	no	approved_drug_intracellular_negative	1
IL6	claude-haiku-4-5	naive	1	contextual	stable_surface_attachment	medium	1744	503	0	0	0	0.004259	6.28558470797725	P05231	HGNC:6018	3569	ENSG00000136244	no	secreted_negative	0
ITPR1	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1746	741	0	0	0	0.005451	9.365893333044369	Q14643	HGNC:6180	3708	ENSG00000150995	no	wrong_compartment_negative	1
ITPR3	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1746	357	0	0	0	0.003531	4.508075124991592	Q14573	HGNC:6182	3710	ENSG00000096433	no	wrong_compartment_negative	1
IZUMO1	claude-haiku-4-5	naive	1	contextual	tissue_restricted_surface	high	1747	249	0	0	0	0.002992	3.4997616659966297	Q8IYV9	HGNC:28539	284359	ENSG00000182264	contextual	induced_borderline	1
IZUMO4	claude-haiku-4-5	naive	1	contextual	tissue_restricted_surface	medium	1747	866	0	0	0	0.006077	10.157949542044662	Q1ZYL8	HGNC:26950	113177	ENSG00000099840	contextual	induced_borderline	1
JAK1	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1745	328	0	0	0	0.003385	4.071533999987878	P23458	HGNC:6190	3716	ENSG00000162434	no	approved_drug_intracellular_negative	1
JAK2	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1745	328	0	0	0	0.003385	4.154194707982242	O60674	HGNC:6192	3717	ENSG00000096968	no	approved_drug_intracellular_negative	1
JAK3	claude-haiku-4-5	naive	1	yes	inner_leaflet_anchored	high	1745	801	0	0	0	0.00575	8.649084875010885	P52333	HGNC:6193	3718	ENSG00000105639	no	approved_drug_intracellular_negative	0
KLK2	claude-haiku-4-5	naive	1	no	secreted_only	high	1746	804	0	0	0	0.005766	8.373992041975725	P20151	HGNC:6363	3817	ENSG00000167751	contextual	disagreement_rich_positive	0
KRAS	claude-haiku-4-5	naive	1	yes	other	medium	1745	400	0	0	0	0.003745	5.246013791998848	P01116	HGNC:6407	3845	ENSG00000133703	no	wrong_side_negative	0
LAMP1	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1745	379	0	0	0	0.00364	4.63244700001087	P11279	HGNC:6499	3916	ENSG00000185896	contextual	induced_borderline	1
LAMP2	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1745	279	0	0	0	0.00314	3.267162083007861	P13473	HGNC:6501	3920	ENSG00000005893	contextual	induced_borderline	1
LAMP3	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1745	257	0	0	0	0.00303	3.139593790983781	Q9UQV4	HGNC:14582	27074	ENSG00000078081	contextual	lysosomal_exocytosis_borderline	1
LGR5	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	313	0	0	0	0.003311	3.7760755000053905	O75473	HGNC:4504	8549	ENSG00000139292	yes	disagreement_rich_positive	1
LRRC32	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1747	310	0	0	0	0.003297	3.977616875024978	Q14392	HGNC:4161	2615	ENSG00000137507	yes	disagreement_rich_positive	1
LRRK2	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1747	905	0	0	0	0.006272	11.219002166006248	Q5S007	HGNC:18618	120892	ENSG00000188906	no	approved_drug_intracellular_negative	1
LY6K	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1746	682	0	0	0	0.005156	6.92417158302851	Q17RY6	HGNC:24225	54742	ENSG00000160886	contextual	gpi_anchored_positive	1
LYN	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1745	447	0	0	0	0.00398	6.180992792011239	P07948	HGNC:6735	4067	ENSG00000254087	contextual	wrong_side_borderline	1
LYPD1	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1747	212	0	0	0	0.002807	2.896607957954984	Q8N2G4	HGNC:28431	116372	ENSG00000150551	yes	gpi_anchored_positive	1
LYPD3	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1747	687	0	0	0	0.005182	6.992497249972075	O95274	HGNC:24880	27076	ENSG00000124466	yes	gpi_anchored_positive	1
MAP2K1	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1746	791	0	0	0	0.005701	7.8627787079894915	Q02750	HGNC:6840	5604	ENSG00000169032	no	approved_drug_intracellular_negative	1
MAP2K2	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1746	958	0	0	0	0.006536	9.148962792009115	P36507	HGNC:6842	5605	ENSG00000126934	no	approved_drug_intracellular_negative	1
MC1R	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1745	251	0	0	0	0.003	3.8615577499731444	Q01726	HGNC:6929	4157	ENSG00000258839	yes	gpcr_extracellular_pocket	1
MSLN	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1745	300	0	0	0	0.003245	7.258869874989614	Q13421	HGNC:7371	10232	ENSG00000102854	yes	gpi_anchored_positive	1
MUC1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	355	0	0	0	0.003521	4.548375790996943	P15941	HGNC:7508	4582	ENSG00000185499	yes	disagreement_rich_positive	1
MUC16	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	280	0	0	0	0.003146	3.7232343329815194	Q8WXI7	HGNC:15582	94025	ENSG00000181143	yes	disagreement_rich_positive	1
NECTIN4	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1746	276	0	0	0	0.003126	3.4475919579854235	Q96NY8	HGNC:19688	81607	ENSG00000143217	yes	validated_positive	1
NPY5R	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	289	0	0	0	0.003191	3.167977375036571	Q15761	HGNC:7958	4889	ENSG00000164129	yes	gpcr_extracellular_pocket	1
NRAS	claude-haiku-4-5	naive	1	contextual	inner_leaflet_anchored	high	1745	408	0	0	0	0.003785	4.868522540957201	P01111	HGNC:7989	4893	ENSG00000213281	no	wrong_side_negative	0
NRROS	claude-haiku-4-5	naive	1	no	mitochondrial_internal	high	1746	593	0	0	0	0.004711	6.194052041973919	Q86YC3	HGNC:24613	375387	ENSG00000174004	yes	disagreement_rich_positive	0
NUP210	claude-haiku-4-5	naive	1	no	nuclear_envelope	high	1746	629	0	0	0	0.004891	7.090583583980333	Q8TEM1	HGNC:30052	23225	ENSG00000132182	no	wrong_compartment_negative	1
OR1A1	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	248	0	0	0	0.002986	3.4314107919926755	Q9P1Q5	HGNC:8179	8383	ENSG00000172146	yes	disagreement_rich_positive	1
PMEL	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	medium	1745	1029	0	0	0	0.00689	11.902392874995712	P40967	HGNC:10880	6490	ENSG00000185664	contextual	dual_localization_borderline	1
PRAME	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1745	647	0	0	0	0.00498	8.084630374971312	P78395	HGNC:9336	23532	ENSG00000185686	no	pmhc_only_negative	0
PRNP	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1746	637	0	0	0	0.004931	6.692169041954912	P04156	HGNC:9449	5621	ENSG00000171867	yes	gpi_anchored_positive	1
PSCA	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1745	227	0	0	0	0.00288	4.142399541975465	O43653	HGNC:9500	8000	ENSG00000167653	yes	disagreement_rich_positive	1
PTK7	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	834	0	0	0	0.005915	8.24703429103829	Q13308	HGNC:9618	5754	ENSG00000112655	yes	disagreement_rich_positive	1
RAC1	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1745	384	0	0	0	0.003665	4.272902875032742	P63000	HGNC:9801	5879	ENSG00000136238	no	wrong_side_negative	1
RHOA	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	high	1745	324	0	0	0	0.003365	3.6351600830093957	P61586	HGNC:667	387	ENSG00000067560	no	wrong_side_negative	1
ROR1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	633	0	0	0	0.00491	7.595836082997266	Q01973	HGNC:10256	4919	ENSG00000185483	yes	disagreement_rich_positive	1
ROR2	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	678	0	0	0	0.005135	6.50523908395553	Q01974	HGNC:10257	4920	ENSG00000169071	yes	disagreement_rich_positive	1
ROS1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	242	0	0	0	0.002955	3.0205207919934765	P08922	HGNC:10261	6098	ENSG00000047936	yes	disagreement_rich_positive	1
RPN1	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1745	751	0	0	0	0.0055	7.353976416983642	P04843	HGNC:10381	6184	ENSG00000163902	no	wrong_compartment_negative	1
RPN2	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1745	325	0	0	0	0.00337	4.115318625001237	P04844	HGNC:10382	6185	ENSG00000118705	no	wrong_compartment_negative	1
SCAP	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1745	761	0	0	0	0.00555	7.956588124972768	Q12770	HGNC:30634	22937	ENSG00000114650	no	wrong_compartment_negative	1
SCARB2	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1746	795	0	0	0	0.005721	7.716718541982118	Q14108	HGNC:1665	950	ENSG00000138760	contextual	lysosomal_exocytosis_borderline	1
SEC61G	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1745	774	0	0	0	0.005615	7.7358318329788744	P60059	HGNC:18277	23480	ENSG00000132432	no	wrong_compartment_negative	1
SEZ6	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1745	647	0	0	0	0.00498	6.589544707967434	Q53EL9	HGNC:15955	124925	ENSG00000063015	yes	disagreement_rich_positive	1
SLC34A2	claude-haiku-4-5	naive	1	no	other	high	1747	857	0	0	0	0.006032	10.069997208018322	O95436	HGNC:11020	10568	ENSG00000157765	yes	disagreement_rich_positive	0
SRC	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	high	1744	406	0	0	0	0.003774	4.992104917007964	P12931	HGNC:11283	6714	ENSG00000197122	contextual	wrong_side_borderline	0
SSTR2	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	223	0	0	0	0.002861	3.044544291042257	P30874	HGNC:11331	6752	ENSG00000180616	yes	gpcr_extracellular_pocket	1
STEAP1	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	192	0	0	0	0.002706	2.30035370902624	Q9UHE8	HGNC:11378	26872	ENSG00000164647	yes	disagreement_rich_positive	1
STEAP2	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1746	724	0	0	0	0.005366	8.121470833022613	Q8NFT2	HGNC:17885	261729	ENSG00000157214	yes	disagreement_rich_positive	1
STIM1	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1746	388	0	0	0	0.003686	7.603480709018186	Q13586	HGNC:11386	6786	ENSG00000167323	contextual	induced_borderline	1
SUN1	claude-haiku-4-5	naive	1	no	nuclear_envelope	high	1745	351	0	0	0	0.0035	4.280578000005335	O94901	HGNC:18587	23353	ENSG00000164828	no	wrong_compartment_negative	1
SUN2	claude-haiku-4-5	naive	1	no	nuclear_envelope	high	1745	620	0	0	0	0.004845	6.566774749953765	Q9UH99	HGNC:14210	25777	ENSG00000100242	no	wrong_compartment_negative	1
SYK	claude-haiku-4-5	naive	1	contextual	other	medium	1745	443	0	0	0	0.00396	10.854839292005636	P43405	HGNC:11491	6850	ENSG00000165025	no	approved_drug_intracellular_negative	0
SYNE1	claude-haiku-4-5	naive	1	no	nuclear_envelope	high	1746	728	0	0	0	0.005386	7.180243249982595	Q8NF91	HGNC:17089	23345	ENSG00000131018	no	wrong_compartment_negative	1
SYNE2	claude-haiku-4-5	naive	1	no	nuclear_envelope	high	1746	248	0	0	0	0.002986	3.4827530419570394	Q8WXH0	HGNC:17084	23224	ENSG00000054654	no	wrong_compartment_negative	1
TACSTD2	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1747	929	0	0	0	0.006392	9.442787458014209	P09758	HGNC:11530	4070	ENSG00000184292	yes	validated_positive	1
TF	claude-haiku-4-5	naive	1	no	secreted_only	high	1744	904	0	0	0	0.006264	9.671138042001985	P02787	HGNC:11740	7018	ENSG00000091513	no	secreted_negative	1
