gene_symbol	model	prompt_variant	replicate	predicted_verdict	predicted_reason	predicted_confidence	prompt_tokens	completion_tokens	cache_creation_tokens	cache_read_tokens	n_web_searches	cost_usd	latency_s	uniprot_acc	hgnc_id	ncbi_gene_id	ensembl_gene	ground_truth_verdict	ground_truth_class	is_match	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	n_db_votes	has_deep_dive
AKT2	claude-haiku-4-5	naive	2	no	cytoplasmic	high	1725	339	0	0	0	0.00342	3.972019124950748	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
AKT2	claude-haiku-4-5	naive	3	no	cytoplasmic	high	1746	297	0	0	0	0.003231	3.656854166998528	P31751	HGNC:392	208	ENSG00000105221	no	approved_drug_intracellular_negative	1	0	1	0	0	0	1	0
ALPG	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1724	707	0	0	0	0.005259	8.018222208018415	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	1	0	0	1	0	1	2	0
ALPG	claude-haiku-4-5	naive	2	contextual	tissue_restricted_surface	high	1724	806	0	0	0	0.005754	8.9078868329525	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	1	0	0	1	0	1	2	0
ALPG	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	high	1724	797	0	0	0	0.005709	9.245647415984422	P10696	HGNC:441	251	ENSG00000163286	contextual	disagreement_rich_positive	1	0	0	1	0	1	2	0
AMHR2	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1725	713	0	0	0	0.00529	6.985878874955233	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
AMHR2	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1725	682	0	0	0	0.005135	6.624488957982976	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
AMHR2	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	high	1725	727	0	0	0	0.00536	7.404792083019856	Q16671	HGNC:465	269	ENSG00000135409	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
APOB	claude-haiku-4-5	naive	1	contextual	dual_localization	medium	1724	474	0	0	0	0.004094	5.723836917022709	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	0	0	0	0	1	0	1	0
APOB	claude-haiku-4-5	naive	2	contextual	dual_localization	high	1724	407	0	0	0	0.003759	4.7967157090315595	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	0	0	0	0	1	0	1	0
APOB	claude-haiku-4-5	naive	3	no	secreted_only	high	1745	704	0	0	0	0.005265	6.946451166993938	P04114	HGNC:603	338	ENSG00000084674	no	secreted_negative	1	0	0	0	1	0	1	0
APPL1	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1725	346	0	0	0	0.003455	4.064721040951554	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	1	0	0	0	0	1	1	0
APPL1	claude-haiku-4-5	naive	2	no	cytoplasmic	high	1725	644	0	0	0	0.004945	7.620317832974251	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	1	0	0	0	0	1	1	0
APPL1	claude-haiku-4-5	naive	3	no	cytoplasmic	high	1746	817	0	0	0	0.005831	8.242617624986451	Q9UKG1	HGNC:24035	26060	ENSG00000157500	no	opencell_vesicle_negative	1	0	0	0	0	1	1	0
ATG9A	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1725	881	0	0	0	0.00613	9.068702375050634	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	1	0	0	1	1	0	2	0
ATG9A	claude-haiku-4-5	naive	2	contextual	cell_state_induced	medium	1725	327	0	0	0	0.00336	3.989758707990404	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	0	0	0	1	1	0	2	0
ATG9A	claude-haiku-4-5	naive	3	contextual	cell_state_induced	medium	1725	338	0	0	0	0.003415	4.432595958991442	Q7Z3C6	HGNC:22408	79065	ENSG00000198925	no	wrong_compartment_negative	0	0	0	1	1	0	2	0
ATP5F1B	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1726	637	0	0	0	0.004911	7.49802041600924	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0	0	1	0	0	0	1	0
ATP5F1B	claude-haiku-4-5	naive	2	no	mitochondrial_internal	high	1726	266	0	0	0	0.003056	3.779693334014155	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0	0	1	0	0	0	1	0
ATP5F1B	claude-haiku-4-5	naive	3	no	mitochondrial_internal	high	1726	653	0	0	0	0.004991	6.59257570799673	P06576	HGNC:830	506	ENSG00000110955	contextual	dual_localization_borderline	0	0	1	0	0	0	1	0
AVPR1A	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1726	232	0	0	0	0.002886	3.109793832991272	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
AVPR1A	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	high	1726	206	0	0	0	0.002756	3.0411611659801565	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
AVPR1A	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	high	1747	250	0	0	0	0.002997	2.924167791963555	P37288	HGNC:895	552	ENSG00000166148	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
B2M	claude-haiku-4-5	naive	1	yes	stable_complex_partner	high	1724	321	0	0	0	0.003329	4.09172770899022	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	1	1	1	0	0	1	3	0
B2M	claude-haiku-4-5	naive	2	no	pmhc_only_intracellular	high	1724	924	0	0	0	0.006344	8.918177499959711	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	0	1	1	0	0	1	3	0
B2M	claude-haiku-4-5	naive	3	yes	stable_complex_partner	high	1724	273	0	0	0	0.003089	3.1417225420009345	P61769	HGNC:914	567	ENSG00000166710	yes	stable_complex_positive	1	1	1	0	0	1	3	0
B4GALT1	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1727	360	0	0	0	0.003527	4.297874540963676	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	0	1	1	0	0	0	2	0
B4GALT1	claude-haiku-4-5	naive	2	no	endomembrane_resident	high	1727	363	0	0	0	0.003542	4.67553945799591	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	0	1	1	0	0	0	2	0
B4GALT1	claude-haiku-4-5	naive	3	no	endomembrane_resident	high	1748	655	0	0	0	0.005023	7.5736131250159815	P15291	HGNC:924	2683	ENSG00000086062	contextual	induced_borderline	0	1	1	0	0	0	2	0
BAX	claude-haiku-4-5	naive	1	no	mitochondrial_internal	high	1723	369	0	0	0	0.003568	4.108259500004351	Q07812	HGNC:959	581	ENSG00000087088	no	induced_borderline	1	0	0	0	0	1	1	1
BAX	claude-haiku-4-5	naive	2	no	cytoplasmic	high	1723	366	0	0	0	0.003553	4.322405416984111	Q07812	HGNC:959	581	ENSG00000087088	no	induced_borderline	1	0	0	0	0	1	1	1
BAX	claude-haiku-4-5	naive	3	contextual	cell_state_induced	medium	1744	407	0	0	0	0.003779	4.9745966250193305	Q07812	HGNC:959	581	ENSG00000087088	no	induced_borderline	0	0	0	0	0	1	1	1
BDKRB1	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1727	220	0	0	0	0.002827	2.935512292024214	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
BDKRB1	claude-haiku-4-5	naive	2	contextual	cell_state_induced	high	1727	949	0	0	0	0.006472	10.702932249987498	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
BDKRB1	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	high	1748	661	0	0	0	0.005053	6.4439746249699965	P46663	HGNC:1029	623	ENSG00000100739	yes	gpcr_extracellular_pocket	1	1	0	1	0	0	2	0
BRAF	claude-haiku-4-5	naive	1	no	cytoplasmic	high	1724	439	0	0	0	0.003919	5.015869875031058	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BRAF	claude-haiku-4-5	naive	2	no	cytoplasmic	high	1724	794	0	0	0	0.005694	7.654679916973691	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BRAF	claude-haiku-4-5	naive	3	no	cytoplasmic	high	1745	383	0	0	0	0.00366	4.327163000009023	P15056	HGNC:1097	673	ENSG00000157764	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BST2	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1724	750	0	0	0	0.005474	7.876575917005539	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
BST2	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1724	294	0	0	0	0.003194	2.988677707966417	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
BST2	claude-haiku-4-5	naive	3	yes	gpi_anchored	high	1724	646	0	0	0	0.004954	6.902118875004817	Q10589	HGNC:1119	684	ENSG00000130303	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
BTK	claude-haiku-4-5	naive	1	no	inner_leaflet_anchored	high	1723	685	0	0	0	0.005148	6.592141625005752	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BTK	claude-haiku-4-5	naive	2	no	cytoplasmic	high	1723	742	0	0	0	0.005433	7.859878749994095	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
BTK	claude-haiku-4-5	naive	3	no	cytoplasmic	high	1744	363	0	0	0	0.003559	4.468876041995827	Q06187	HGNC:1133	695	ENSG00000010671	no	approved_drug_intracellular_negative	1	0	0	0	0	1	1	0
C3	claude-haiku-4-5	naive	1	no	secreted_only	high	1723	939	0	0	0	0.006418	10.512648792006075	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	0	1	0	0	1	0	2	0
C3	claude-haiku-4-5	naive	2	contextual	cell_state_induced	medium	1723	446	0	0	0	0.003953	5.381247291981708	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	1	1	0	0	1	0	2	0
C3	claude-haiku-4-5	naive	3	contextual	dual_localization	high	1723	338	0	0	0	0.003413	4.212146250007208	P01024	HGNC:1318	718	ENSG00000125730	contextual	surface_attachment_borderline	1	1	0	0	1	0	2	0
CA9	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1723	251	0	0	0	0.002978	2.8169201249838807	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1	1	0	0	0	1	2	0
CA9	claude-haiku-4-5	naive	2	contextual	cell_state_induced	high	1723	249	0	0	0	0.002968	3.1927642499795184	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1	1	0	0	0	1	2	0
CA9	claude-haiku-4-5	naive	3	contextual	cell_state_induced	high	1723	292	0	0	0	0.003183	3.711715292010922	Q16790	HGNC:1383	768	ENSG00000107159	yes	disagreement_rich_positive	1	1	0	0	0	1	2	0
CALR	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1724	297	0	0	0	0.003209	3.912718457984738	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	1	1	1	0	1	0	3	0
CALR	claude-haiku-4-5	naive	2	no	endomembrane_resident	high	1724	441	0	0	0	0.003929	5.638499208027497	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	0	1	1	0	1	0	3	0
CALR	claude-haiku-4-5	naive	3	contextual	cell_state_induced	high	1724	926	0	0	0	0.006354	9.927497082971968	P27797	HGNC:1455	811	ENSG00000179218	contextual	induced_borderline	1	1	1	0	1	0	3	0
CCR8	claude-haiku-4-5	naive	1	yes	multipass_with_exposed_loops	high	1724	307	0	0	0	0.003259	3.653168166987598	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
CCR8	claude-haiku-4-5	naive	2	yes	multipass_with_exposed_loops	high	1724	224	0	0	0	0.002844	3.561589249991812	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
CCR8	claude-haiku-4-5	naive	3	yes	multipass_with_exposed_loops	high	1745	268	0	0	0	0.003085	3.3058425830095075	P51685	HGNC:1609	1237	ENSG00000179934	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
CD19	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1723	227	0	0	0	0.002858	2.9481797500047833	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1	1	1	1	1	0	4	0
CD19	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1723	211	0	0	0	0.002778	3.3295385829987936	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1	1	1	1	1	0	4	0
CD19	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	high	1744	246	0	0	0	0.002974	3.038853542006109	P15391	HGNC:1633	930	ENSG00000177455	yes	validated_positive	1	1	1	1	1	0	4	0
CD24	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1723	200	0	0	0	0.002723	2.3759229579591192	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
CD24	claude-haiku-4-5	naive	2	yes	gpi_anchored	high	1723	204	0	0	0	0.002743	3.3507357919588685	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
CD24	claude-haiku-4-5	naive	3	yes	gpi_anchored	high	1723	225	0	0	0	0.002848	2.6175217920099385	P25063	HGNC:1645	100133941	ENSG00000272398	yes	gpi_anchored_positive	1	0	1	1	0	0	2	0
CD276	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1723	199	0	0	0	0.002718	2.3559993330272846	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD276	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1723	225	0	0	0	0.002848	2.7684487500227988	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD276	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	high	1723	273	0	0	0	0.003088	3.003930250008125	Q5ZPR3	HGNC:19137	80381	ENSG00000103855	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD63	claude-haiku-4-5	naive	1	contextual	lysosomal_exocytosis	high	1723	276	0	0	0	0.003103	3.2161337499856018	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1	1	1	1	1	0	4	0
CD63	claude-haiku-4-5	naive	2	contextual	lysosomal_exocytosis	high	1723	296	0	0	0	0.003203	3.5585105000063777	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1	1	1	1	1	0	4	0
CD63	claude-haiku-4-5	naive	3	contextual	lysosomal_exocytosis	high	1723	262	0	0	0	0.003033	3.1306962079834193	P08962	HGNC:1692	967	ENSG00000135404	contextual	lysosomal_exocytosis_borderline	1	1	1	1	1	0	4	0
CD68	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1723	260	0	0	0	0.003023	3.050235041999258	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1	1	0	1	1	0	3	0
CD68	claude-haiku-4-5	naive	2	contextual	lysosomal_exocytosis	high	1723	328	0	0	0	0.003363	3.8634820000152104	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1	1	0	1	1	0	3	0
CD68	claude-haiku-4-5	naive	3	contextual	lysosomal_exocytosis	medium	1723	378	0	0	0	0.003613	4.718509834026918	P34810	HGNC:1693	968	ENSG00000129226	contextual	lysosomal_exocytosis_borderline	1	1	0	1	1	0	3	0
CD74	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1723	288	0	0	0	0.003163	3.53235329099698	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD74	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1723	876	0	0	0	0.006103	8.891631000034977	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CD74	claude-haiku-4-5	naive	3	contextual	dual_localization	medium	1744	460	0	0	0	0.004044	6.199102624959778	P04233	HGNC:1697	972	ENSG00000019582	yes	disagreement_rich_positive	1	1	1	1	1	0	4	0
CEACAM5	claude-haiku-4-5	naive	1	contextual	cell_state_induced	high	1726	331	0	0	0	0.003381	4.544736208044924	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1	1	1	1	0	1	4	0
CEACAM5	claude-haiku-4-5	naive	2	yes	gpi_anchored	high	1726	256	0	0	0	0.003006	2.595660916005727	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1	1	1	1	0	1	4	0
CEACAM5	claude-haiku-4-5	naive	3	yes	gpi_anchored	high	1726	233	0	0	0	0.002891	3.9970667919842526	P06731	HGNC:1817	1048	ENSG00000105388	yes	gpi_anchored_positive	1	1	1	1	0	1	4	0
CEACAM6	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1726	626	0	0	0	0.004856	6.597934499965049	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
CEACAM6	claude-haiku-4-5	naive	2	yes	gpi_anchored	high	1726	236	0	0	0	0.002906	2.4873867919668555	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
CEACAM6	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	high	1726	554	0	0	0	0.004496	5.3884319579810835	P40199	HGNC:1818	4680	ENSG00000086548	yes	gpi_anchored_positive	1	1	1	1	1	0	4	0
CLDN18	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1725	822	0	0	0	0.005835	9.402081042004284	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	0	1	0	1	0	1	3	1
CLDN18	claude-haiku-4-5	naive	2	contextual	cell_state_induced	medium	1725	367	0	0	0	0.00356	4.845949709007982	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	1	1	0	1	0	1	3	1
CLDN18	claude-haiku-4-5	naive	3	contextual	cell_state_induced	high	1725	1005	0	0	0	0.00675	11.501444749999791	P56856	HGNC:2039	51208	ENSG00000066405	yes	disagreement_rich_positive	1	1	0	1	0	1	3	1
CLDN6	claude-haiku-4-5	naive	1	no	endomembrane_resident	high	1725	1023	0	0	0	0.00684	12.474192666995805	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	0	1	0	1	0	0	2	0
CLDN6	claude-haiku-4-5	naive	2	contextual	tissue_restricted_surface	high	1725	249	0	0	0	0.00297	4.7451083330088295	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
CLDN6	claude-haiku-4-5	naive	3	contextual	cell_state_induced	high	1725	332	0	0	0	0.003385	4.288253167003859	P56747	HGNC:2048	9074	ENSG00000184697	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
CRISP1	claude-haiku-4-5	naive	1	yes	stable_complex_partner	high	1725	248	0	0	0	0.002965	2.8013250419753604	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1	0	0	0	0	0	0	0
CRISP1	claude-haiku-4-5	naive	2	yes	stable_complex_partner	medium	1725	431	0	0	0	0.00388	5.9446224580169655	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1	0	0	0	0	0	0	0
CRISP1	claude-haiku-4-5	naive	3	yes	gpi_anchored	high	1725	230	0	0	0	0.002875	3.148589417047333	P54107	HGNC:304	167	ENSG00000124812	contextual	surface_attachment_borderline	1	0	0	0	0	0	0	0
CSPG4	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1726	871	0	0	0	0.006081	8.754828624951188	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
CSPG4	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1726	274	0	0	0	0.003096	3.1775735419942066	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
CSPG4	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	high	1726	261	0	0	0	0.003031	3.96265974995913	Q6UVK1	HGNC:2466	1464	ENSG00000173546	yes	disagreement_rich_positive	1	1	1	1	1	1	5	0
DLK1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1725	598	0	0	0	0.004715	6.510509166982956	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
DLK1	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1725	1225	0	0	0	0.00785	12.851277375011705	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
DLK1	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	medium	1725	396	0	0	0	0.003705	4.963113792007789	P80370	HGNC:2907	8788	ENSG00000185559	yes	disagreement_rich_positive	1	1	0	1	0	0	2	0
DLL3	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1724	736	0	0	0	0.005404	7.862605834030546	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	yes	disagreement_rich_positive	1	1	0	1	0	1	3	0
DLL3	claude-haiku-4-5	naive	2	no	endomembrane_resident	high	1724	983	0	0	0	0.006639	10.48888600000646	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	yes	disagreement_rich_positive	0	1	0	1	0	1	3	0
DLL3	claude-haiku-4-5	naive	3	contextual	tissue_restricted_surface	high	1724	307	0	0	0	0.003259	4.143362834001891	Q9NYJ7	HGNC:2909	10683	ENSG00000090932	yes	disagreement_rich_positive	1	1	0	1	0	1	3	0
DPEP1	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1725	223	0	0	0	0.00284	2.4598094999673776	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1	1	0	1	1	1	4	0
DPEP1	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1725	777	0	0	0	0.00561	8.852302957966458	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1	1	0	1	1	1	4	0
DPEP1	claude-haiku-4-5	naive	3	contextual	lysosomal_exocytosis	medium	1725	838	0	0	0	0.005915	8.310263917024713	P16444	HGNC:3002	1800	ENSG00000015413	yes	gpi_anchored_positive	1	1	0	1	1	1	4	0
DSG3	claude-haiku-4-5	naive	1	yes	classical_surface_receptor	high	1724	905	0	0	0	0.006249	8.730934833001811	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
DSG3	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1724	246	0	0	0	0.002954	2.6683812079718336	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
DSG3	claude-haiku-4-5	naive	3	no	other	high	1724	1062	0	0	0	0.007034	11.533824000041932	P32926	HGNC:3050	1830	ENSG00000134757	yes	disagreement_rich_positive	0	1	1	1	0	0	3	0
DSG4	claude-haiku-4-5	naive	1	contextual	cell_state_induced	medium	1724	408	0	0	0	0.003764	4.761992542014923	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
DSG4	claude-haiku-4-5	naive	2	yes	classical_surface_receptor	high	1724	775	0	0	0	0.005599	7.550036708009429	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
DSG4	claude-haiku-4-5	naive	3	yes	classical_surface_receptor	high	1724	721	0	0	0	0.005329	7.551356416021008	Q86SJ6	HGNC:21307	147409	ENSG00000175065	yes	disagreement_rich_positive	1	1	1	1	0	0	3	0
EFNA4	claude-haiku-4-5	naive	1	yes	gpi_anchored	high	1725	602	0	0	0	0.004735	6.289246374974027	P52798	HGNC:3224	1945	ENSG00000243364	yes	disagreement_rich_positive	1	0	0	1	1	0	2	0
