hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	identifier_status	binder_target_location	llm_known_ligand	cpdb_any_participant	cpdb_single_protein_participant	cpdb_assessed_protein_pair_gene	cpdb_complex_component	cpdb_proxy_enzyme	cpdb_same_protein_pair_external_site	cpdb_same_protein_pair_external_site_or_region	thera_named_binder	thera_same_therapeutic_any_site	thera_same_therapeutic_external_site	any_antibody_external_site	any_binder_external_site
HGNC:1077	BMPR1B	O00238	ENSG00000138696	658	unique	membrane	yes	1	0	0	1	0	0	0	0	0	0	0	0
HGNC:1078	BMPR2	Q13873	ENSG00000204217	659	unique	membrane	yes	1	0	0	1	0	0	0	0	0	0	0	1
HGNC:1079	BMX	P51813	ENSG00000102010	660	unique	other_or_uncertain	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10799	SFTPA2	Q8IWL1	ENSG00000185303	729238	unique	secreted_only	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:108	ACHE	P22303	ENSG00000087085	43	unique	membrane_and_secreted	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10801	SFTPB	P07988	ENSG00000168878	6439	unique	secreted_only	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10802	SFTPC	P11686	ENSG00000168484	6440	unique	secreted_only	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10805	SGCA	Q16586	ENSG00000108823	6442	unique	membrane	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10806	SGCB	Q16585	ENSG00000163069	6443	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10807	SGCD	Q92629	ENSG00000170624	6444	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10808	SGCE	O43556	ENSG00000127990	8910	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10809	SGCG	Q13326	ENSG00000102683	6445	unique	membrane	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10817	SGPL1	O95470	ENSG00000166224	8879	unique	other_or_uncertain	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10818	SGSH	P51688	ENSG00000181523	6448	unique	other_or_uncertain	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10839	SHBG	P04278	ENSG00000129214	6462	unique	secreted_only	yes	0	0	0	0	0	0	0	0	0	0	0	1
HGNC:10848	SHH	Q15465	ENSG00000164690	6469	unique	membrane_and_secreted	yes	1	1	1	0	0	0	0	0	0	0	0	0
HGNC:10856	SI	P14410	ENSG00000090402	6476	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10860	ST6GAL1	P15907	ENSG00000073849	6480	unique	secreted_only	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10862	ST3GAL1	Q11201	ENSG00000008513	6482	unique	secreted_only	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10874	SIGLEC5	O15389	ENSG00000105501	8778	unique	membrane_inferred	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10875	SIGLEC6	O43699	ENSG00000105492	946	unique	membrane_and_secreted	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10876	SIGLEC7	Q9Y286	ENSG00000168995	27036	unique	membrane_inferred	yes	0	0	0	0	0	0	0	0	0	0	0	1
HGNC:10877	SIGLEC8	Q9NYZ4	ENSG00000105366	27181	unique	membrane_inferred	yes	0	0	0	0	0	0	0	1	0	0	1	1
HGNC:10878	SIGLEC9	Q9Y336	ENSG00000129450	27180	unique	membrane_inferred	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10880	PMEL	P40967	ENSG00000185664	6490	unique	secreted_only	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10903	SLAMF1	Q13291	ENSG00000117090	6504	unique	membrane_and_secreted	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10905	SLC10A1	Q14973	ENSG00000100652	6554	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10906	SLC10A2	Q12908	ENSG00000125255	6555	unique	membrane_inferred	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10907	SLC11A1	P49279	ENSG00000018280	6556	unique	other_or_uncertain	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10908	SLC11A2	P49281	ENSG00000110911	4891	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	1	1
HGNC:10909	SLC40A1	Q9NP59	ENSG00000138449	30061	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10910	SLC12A1	Q13621	ENSG00000074803	6557	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10911	SLC12A2	P55011	ENSG00000064651	6558	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10912	SLC12A3	P55017	ENSG00000070915	6559	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10913	SLC12A4	Q9UP95	ENSG00000124067	6560	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10914	SLC12A6	Q9UHW9	ENSG00000140199	9990	unique	membrane	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10915	SLC12A7	Q9Y666	ENSG00000113504	10723	unique	membrane	no	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10916	SLC13A1	Q9BZW2	ENSG00000081800	6561	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	1
HGNC:10917	SLC13A2	Q13183	ENSG00000007216	9058	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10918	SLC14A1	Q13336	ENSG00000141469	6563	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10919	SLC14A2	Q15849	ENSG00000132874	8170	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10920	SLC15A1	P46059	ENSG00000088386	6564	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10921	SLC15A2	Q16348	ENSG00000163406	6565	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10922	SLC16A1	P53985	ENSG00000155380	6566	unique	membrane	yes	1	0	0	1	0	0	0	0	0	0	0	0
HGNC:10923	SLC16A2	P36021	ENSG00000147100	6567	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10924	SLC16A3	O15427	ENSG00000141526	9123	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10925	SLC16A4	O15374	ENSG00000168679	9122	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10926	SLC16A5	O15375	ENSG00000170190	9121	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10927	SLC16A6	O15403	ENSG00000108932	9120	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10928	SLC16A7	O60669	ENSG00000118596	9194	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10929	SLC17A1	Q14916	ENSG00000124568	6568	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10930	SLC17A2	O00624	ENSG00000112337	10246	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10931	SLC17A3	O00476	ENSG00000124564	10786	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10932	SLC17A4	Q9Y2C5	ENSG00000146039	10050	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10933	SLC17A5	Q9NRA2	ENSG00000119899	26503	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10936	SLC18A3	Q16572	ENSG00000187714	6572	unique	other_or_uncertain	yes	0	0	0	0	1	0	0	0	0	0	0	0
HGNC:10937	SLC19A1	P41440	ENSG00000173638	6573	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10938	SLC19A2	O60779	ENSG00000117479	10560	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10939	SLC1A1	P43005	ENSG00000106688	6505	unique	membrane	yes	0	0	0	0	1	0	0	0	0	0	0	0
HGNC:10940	SLC1A2	P43004	ENSG00000110436	6506	unique	membrane	yes	0	0	0	0	1	0	0	0	0	0	0	0
HGNC:10941	SLC1A3	P43003	ENSG00000079215	6507	unique	membrane	yes	0	0	0	0	1	0	0	0	0	0	0	0
HGNC:10942	SLC1A4	P43007	ENSG00000115902	6509	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10943	SLC1A5	Q15758	ENSG00000105281	6510	unique	membrane	yes	1	1	1	0	0	0	0	1	0	0	0	0
HGNC:10944	SLC1A6	P48664	ENSG00000105143	6511	unique	membrane	yes	0	0	0	0	1	0	0	0	0	0	0	0
HGNC:10945	SLC1A7	O00341	ENSG00000162383	6512	unique	membrane	yes	0	0	0	0	1	0	0	0	0	0	0	0
HGNC:10946	SLC20A1	Q8WUM9	ENSG00000144136	6574	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10947	SLC20A2	Q08357	ENSG00000168575	6575	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1095	BPI	P17213	ENSG00000101425	671	unique	secreted_only	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10952	SLCO3A1	Q9UIG8	ENSG00000176463	28232	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10953	SLCO4A1	Q96BD0	ENSG00000101187	28231	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10955	SLCO2A1	Q92959	ENSG00000174640	6578	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10956	SLCO1A2	P46721	ENSG00000084453	6579	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10959	SLCO1B1	Q9Y6L6	ENSG00000134538	10599	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10961	SLCO1B3	Q9NPD5	ENSG00000111700	28234	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10962	SLCO2B1	O94956	ENSG00000137491	11309	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10963	SLC22A1	O15245	ENSG00000175003	6580	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10964	SLC67A1	Q96BI1	ENSG00000110628	5002	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10966	SLC22A2	O15244	ENSG00000112499	6582	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10967	SLC22A3	O75751	ENSG00000146477	6581	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10968	SLC22A4	Q9H015	ENSG00000197208	6583	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10969	SLC22A5	O76082	ENSG00000197375	6584	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10970	SLC22A6	Q4U2R8	ENSG00000197901	9356	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10971	SLC22A7	Q9Y694	ENSG00000137204	10864	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10972	SLC22A8	Q8TCC7	ENSG00000149452	9376	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10973	SLC23A2	Q9UGH3	ENSG00000089057	9962	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10974	SLC23A1	Q9UHI7	ENSG00000170482	9963	unique	membrane	yes	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10975	SLC24A1	O60721	ENSG00000074621	9187	unique	membrane	no	0	0	0	0	0	0	0	0	0	0	0	0
