hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	triage_classical_receptor	triage_surface_yes	biogrid_literature_contacts	biogrid_literature_contacts_extracellular	iedb_any_bcell_assay	iedb_epitope_region	iedb_epitope_region_extracellular	iedb_exact_epitope	iedb_exact_epitope_extracellular	iedb_named_positive_binding	natural_ligand_mapped_contacts	natural_ligand_mapped_contacts_extracellular	pdbe_chembl_identity	pdbe_chemical_contacts	pdbe_chemical_contacts_extracellular	pdbe_gtopdb_supported_pair	pdbe_gtopdb_supported_pair_extracellular	sabdab_mapped_contacts	sabdab_mapped_contacts_extracellular	sabdab_target_complex	union_including_regions	union_including_regions_extracellular	union_mapped_sites	union_mapped_sites_extracellular	identifier_status	in_previous_candidate_audit	llm_known_ligand	surfacebind_listed	surfacebind_predicted_sites	surfacebind_predicted_seeds	experimental_or_predicted_sites
HGNC:1012	OPN1SW	P03999	ENSG00000128617	611	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:102	CNNM1	Q9NRU3	ENSG00000119946	26507	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:10249	ROBO1	Q9Y6N7	ENSG00000169855	6091	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	1	1	1	1	1	unique	1	yes	1	1	1	1
HGNC:10250	ROBO2	Q9HCK4	ENSG00000185008	6092	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10254	ROM1	Q03395	ENSG00000149489	6094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	unique	1	yes	0	0	0	1
HGNC:10256	ROR1	Q01973	ENSG00000185483	4919	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1	unique	1	yes	1	1	1	1
HGNC:10257	ROR2	Q01974	ENSG00000169071	4920	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	unique	1	yes	1	1	0	1
HGNC:10261	ROS1	P08922	ENSG00000047936	6098	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	unique	1	yes	1	1	1	1
HGNC:10274	RP2	O75695	ENSG00000102218	6102	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:1029	BDKRB1	P46663	ENSG00000100739	623	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0	unique	1	yes	1	0	0	1
HGNC:103	CNNM2	Q9H8M5	ENSG00000148842	54805	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:1030	BDKRB2	P30411	ENSG00000168398	624	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0	unique	1	yes	1	0	0	1
HGNC:10331	RPL29	P47914	ENSG00000162244	6159			0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:1037	CFB	P00751	ENSG00000243649	629	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	unique	1	yes	0	0	0	1
HGNC:10371	RPLP0	P05388	ENSG00000089157	6175			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10377	RPLP2	P05387	ENSG00000177600	6181			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10381	RPN1	P04843	ENSG00000163902	6184	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:104	CNNM3	Q8NE01	ENSG00000168763	26505	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10420	RPS3	P23396	ENSG00000149273	6188	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:1044	BGN	P21810	ENSG00000182492	633	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10450	RRH	O14718	ENSG00000180245	10692	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:10457	RS1	O15537	ENSG00000102104	6247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10468	RTN2	O75298	ENSG00000125744	6253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10469	RTN3	O95197	ENSG00000133318	10313			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10481	RYK	P34925	ENSG00000163785	6259	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10486	S100A1	P23297	ENSG00000160678	6271			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10487	S100A10	P60903	ENSG00000197747	6281			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10488	S100A11	P31949	ENSG00000163191	6282			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10489	S100A12	P80511	ENSG00000163221	6283			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10490	S100A13	Q99584	ENSG00000189171	6284			0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10493	S100A3	P33764	ENSG00000188015	6274	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	unique	1	no	0	0	0	0
HGNC:10494	S100A4	P26447	ENSG00000196154	6275			0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0	unique	0	yes	0	0	0	1
HGNC:10496	S100A6	P06703	ENSG00000197956	6277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10497	S100A7	P31151	ENSG00000143556	6278			0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	unique	0	yes	0	0	0	0
HGNC:10498	S100A8	P05109	ENSG00000143546	6279			0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10499	S100A9	P06702	ENSG00000163220	6280	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:105	CNNM4	Q6P4Q7	ENSG00000158158	26504	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10500	S100B	P04271	ENSG00000160307	6285			0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10504	S100P	P25815	ENSG00000163993	6286			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:1053	BIN2	Q9UBW5	ENSG00000110934	51411	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10539	TSPAN31	Q12999	ENSG00000135452	6302	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10563	SCAMP1	O15126	ENSG00000085365	9522			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10564	SCAMP2	O15127	ENSG00000140497	10066			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10565	SCAMP3	O14828	ENSG00000116521	10067			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10569	SERPINB3	P29508	ENSG00000057149	6317			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10573	SCEL	O95171	ENSG00000136155	8796	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:10575	SCG2	P13521	ENSG00000171951	7857			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10582	SCN10A	Q9Y5Y9	ENSG00000185313	6336	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:10583	SCN11A	Q9UI33	ENSG00000168356	11280	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:10585	SCN1A	P35498	ENSG00000144285	6323	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:10586	SCN1B	Q07699	ENSG00000105711	6324	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10588	SCN2A	Q99250	ENSG00000136531	6326	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:10589	SCN2B	O60939	ENSG00000149575	6327	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10590	SCN3A	Q9NY46	ENSG00000153253	6328	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10591	SCN4A	P35499	ENSG00000007314	6329	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10592	SCN4B	Q8IWT1	ENSG00000177098	6330	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10593	SCN5A	Q14524	ENSG00000183873	6331	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10594	SCN7A	Q01118	ENSG00000136546	6332	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:10596	SCN8A	Q9UQD0	ENSG00000196876	6334	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10597	SCN9A	Q15858	ENSG00000169432	6335	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0	unique	1	no	1	1	1	1
HGNC:10599	SCNN1A	P37088	ENSG00000111319	6337	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:1060	CXCR5	P32302	ENSG00000160683	643	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10600	SCNN1B	P51168	ENSG00000168447	6338	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10601	SCNN1D	P51172	ENSG00000162572	6339	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10602	SCNN1G	P51170	ENSG00000166828	6340	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10608	SCTR	P47872	ENSG00000080293	6344	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	unique	1	yes	1	1	1	1
HGNC:10620	CCL21	O00585	ENSG00000137077	6366			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10624	CCL25	O15444	ENSG00000131142	6370			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10626	CCL27	Q9Y4X3	ENSG00000213927	10850			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:1063	BLVRB	P30043	ENSG00000090013	645	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10632	CCL5	P13501	ENSG00000271503	6352			0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10647	CX3CL1	P78423	ENSG00000006210	6376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:10648	AIMP1	Q12904	ENSG00000164022	9255	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:10658	SDC1	P18827	ENSG00000115884	6382	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:10659	SDC2	P34741	ENSG00000169439	6383	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:10660	SDC3	O75056	ENSG00000162512	9672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10661	SDC4	P31431	ENSG00000124145	6385	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:1067	BMP1	P13497	ENSG00000168487	649	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	unique	1	yes	0	0	0	1
HGNC:10672	CXCL12	P48061	ENSG00000107562	6387	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	unique	1	no	0	0	0	1
HGNC:10690	CAVIN2	O95810	ENSG00000168497	8436	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10707	SECTM1	Q8WVN6	ENSG00000141574	6398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10718	SELE	P16581	ENSG00000007908	6401	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10720	SELL	P14151	ENSG00000188404	6402	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10721	SELP	P16109	ENSG00000174175	6403	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1	unique	1	yes	1	1	1	1
HGNC:10722	SELPLG	Q14242	ENSG00000110876	6404	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	0	0	0
HGNC:10723	SEMA3A	Q14563	ENSG00000075213	10371	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	unique	1	yes	0	0	0	0
HGNC:10724	SEMA3B	Q13214	ENSG00000012171	7869			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10725	SEMA3C	Q99985	ENSG00000075223	10512	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	unique	1	yes	0	0	0	0
HGNC:10727	SEMA3E	O15041	ENSG00000170381	9723			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10729	SEMA4A	Q9H3S1	ENSG00000196189	64218	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10730	SEMA4B	Q9NPR2	ENSG00000185033	10509	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10731	SEMA4C	Q9C0C4	ENSG00000168758	54910	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10732	SEMA4D	Q92854	ENSG00000187764	10507	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10734	SEMA4F	O95754	ENSG00000135622	10505	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10735	SEMA4G	Q9NTN9	ENSG00000095539	57715	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10736	SEMA5A	Q13591	ENSG00000112902	9037	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10737	SEMA5B	Q9P283	ENSG00000082684	54437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10738	SEMA6A	Q9H2E6	ENSG00000092421	57556	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10739	SEMA6B	Q9H3T3	ENSG00000167680	10501	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10740	SEMA6C	Q9H3T2	ENSG00000143434	10500	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10741	SEMA7A	O75326	ENSG00000138623	8482	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10742	SEMG1	P04279	ENSG00000124233	6406			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10751	SELENOP	P49908	ENSG00000250722	6414			0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:1076	BMPR1A	P36894	ENSG00000107779	657	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1	unique	1	yes	1	1	1	1
HGNC:10763	SEZ6L	Q9BYH1	ENSG00000100095	23544	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:1077	BMPR1B	O00238	ENSG00000138696	658	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:1078	BMPR2	Q13873	ENSG00000204217	659	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:1079	BMX	P51813	ENSG00000102010	660	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:10799	SFTPA2	Q8IWL1	ENSG00000185303	729238			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:108	ACHE	P22303	ENSG00000087085	43	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	unique	1	yes	1	1	1	1
HGNC:10801	SFTPB	P07988	ENSG00000168878	6439			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10802	SFTPC	P11686	ENSG00000168484	6440			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	no	0	0	0	0
HGNC:10805	SGCA	Q16586	ENSG00000108823	6442	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
HGNC:10806	SGCB	Q16585	ENSG00000163069	6443	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10807	SGCD	Q92629	ENSG00000170624	6444	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10808	SGCE	O43556	ENSG00000127990	8910	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10809	SGCG	Q13326	ENSG00000102683	6445	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	0	0	0	0
HGNC:10817	SGPL1	O95470	ENSG00000166224	8879			0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0	unique	0	yes	0	0	0	1
HGNC:10818	SGSH	P51688	ENSG00000181523	6448			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10839	SHBG	P04278	ENSG00000129214	6462			0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10848	SHH	Q15465	ENSG00000164690	6469	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0	unique	1	yes	0	0	0	1
HGNC:10856	SI	P14410	ENSG00000090402	6476	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10860	ST6GAL1	P15907	ENSG00000073849	6480			0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	unique	0	yes	0	0	0	0
HGNC:10862	ST3GAL1	Q11201	ENSG00000008513	6482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	0	0	0	0
HGNC:10874	SIGLEC5	O15389	ENSG00000105501	8778	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10875	SIGLEC6	O43699	ENSG00000105492	946	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10876	SIGLEC7	Q9Y286	ENSG00000168995	27036	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10877	SIGLEC8	Q9NYZ4	ENSG00000105366	27181	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	unique	1	yes	1	1	1	1
HGNC:10878	SIGLEC9	Q9Y336	ENSG00000129450	27180	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	yes	1	1	1	1
HGNC:10880	PMEL	P40967	ENSG00000185664	6490	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unique	1	no	1	1	1	1
