hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	sample_rank	llm_named_ligands	primary_gap	assessment	alternative_route	supporting_source	original_ligand_flag	original_any_experimental_site	original_ec_site	identifier_status	llm_rationale_sha256	llm_cited_evidence_ids	llm_cited_source_urls	pdbe_status	biolip_full_scan_counts
HGNC:5991	IL1A	P01583	ENSG00000115008	3552	11	IL1R1; IL1R2; heparan sulfate	functional_pair_no_exact_site	IL1A is the ligand side; direct PDBe probe returns other interactions, not these receptor pairs.	Search both orientations with stable IDs; extract mature cytokine binding evidence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC12333676/	yes	0	0	unique	5ac1cb64fc5e86d2dee62ebfe97581abd5405a606d5cc236d00e36161fc30ae4	a2_evi_03;a2_evi_16	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12333676/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13042517/	200	"{""excluded_MG"": 4, ""excluded_dna"": 1, ""raw_rows"": 5}"
HGNC:23087	SLC43A2	Q8N370	ENSG00000167703	124935	12	Leucine; isoleucine; valine; methionine; phenylalanine	functional_pair_no_exact_site	Transport assays establish substrates but not an entirely EC epitope; no PDBe interface record.	Add substrate/transport tier and pocket evidence separately.	https://pubmed.ncbi.nlm.nih.gov/15659399/	yes	0	0	unique	3473da9e6f8addca8279073afc6ed04e14568ef13b25257ebd10f10504266da3	a1_evi_10;a1_evi_11	https://pubmed.ncbi.nlm.nih.gov/15659399/;https://pubmed.ncbi.nlm.nih.gov/30379325/	404	{}
HGNC:5471	IGFBP2	P18065	ENSG00000115457	3485	13	IGF-I/II; ITGA5/ITGB1	functional_pair_no_exact_site	Secreted binding protein with several partner classes; no exact sampled interface recovered; cited rationale references integrin studies.	Mine direct binding/domain experiments for each pair and preserve soluble context.	https://pubmed.ncbi.nlm.nih.gov/38796567/	yes	0	0	unique	e1dea5ca47268ed7d1928a4ea3c6dcb67a292de7b6ad65a3031738ec9f4eebbb	a2_evi_22;a2_evi_23	https://pubmed.ncbi.nlm.nih.gov/38796567/;https://pubmed.ncbi.nlm.nih.gov/41620401/	404	{}
HGNC:465	AMHR2	Q16671	ENSG00000135409	269	14	AMH	structural_retrieval_gap	No prior IUPHAR observation for target; direct PDBe query recovers AMH P03971 interface in 7L0J with EC positions.	Add unrestricted pair-validated PDBe/PDB interface pass.	https://www.rcsb.org/structure/7L0J	yes	0	0	unique	cde00ebfc16e4a135fdf23e929835143f606ba760452db5bf046d2c873f39fab	a1_evi_03;a1_evi_06	https://pubmed.ncbi.nlm.nih.gov/10589763/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8256043/	200	{}
HGNC:17084	SYNE2	Q8WXH0	ENSG00000054654	23224	15	SUN1; SUN2	intracellular_or_organelle	Direct PDBe recovers SUN2 interface in perinuclear space; this is not outside the cell.	Retain perinuclear localization; do not count as EC.	https://www.uniprot.org/uniprotkb/Q8WXH0/entry	yes	0	0	unique	094ae822e562f275af824bf7898248e28e4b4a3b9f7e6fe64c1bcd6bd3c63d05	a1_evi_02;a1_evi_06;a2_evi_12	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11844729/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12225326/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13278577/	200	{}
HGNC:8748	PCSK7	Q16549	ENSG00000160613	9159	16	TFRC; CASC4; GPP130; APOA5; syncytin-2	functional_pair_no_exact_site	Cleavage/trafficking evidence spans Golgi and endolysosomal contexts; no mapped substrate interface recovered.	Separate substrate cleavage, direct binding and extracellular exposure.	https://pubmed.ncbi.nlm.nih.gov/31945259/	yes	0	0	unique	4bb4f8594466dc0f87514ff606432ef2d8e60fd18db7eec93d76bfb55642e41f	a1_evi_01;a2_evi_09;a2_evi_14	https://pubmed.ncbi.nlm.nih.gov/31945259/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12057675/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12314818/	404	{}
HGNC:172	ACVR1B	P36896	ENSG00000135503	91	17	Activin A/B; myostatin; Nodal; GDF11	structural_retrieval_gap	Natural IUPHAR rows were complex_component and filtered out; direct PDBe returns activin A in 7OLY and GDF11 in 7MRZ at EC residues.	Retain complex-level leads, then assign contacts to the resolved receptor chain.	https://www.rcsb.org/structure/7OLY	yes	0	0	unique	6bd33e0da5e6284428ceb60d0871c3155007a21179f185d58c63de1532508c67	a1_evi_15;a2_evi_06;a2_evi_07;a2_evi_12	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12043092/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12199281/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5161514/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6605798/	200	{}
HGNC:3696	FGL2	Q14314	ENSG00000127951	10875	18	Prothrombin; FCGR2B	functional_pair_no_exact_site	Claim mixes enzyme substrate and soluble FGL2 receptor; no exact mapped interface recovered.	Extract direct binding and soluble versus membrane form for each pair.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11949062/	yes	0	0	unique	db8cb86bc4ae372255e57225ee1259681aa1656705979b181cec4576dc6cf7b1	a1_evi_05;a1_evi_21;a2_evi_15	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11949062/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6853772/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9855364/	404	{}
HGNC:9449	PRNP	P04156	ENSG00000171867	5621	19	GRIN1; RPSA	topology_annotation_gap	Antibody interfaces are already mapped but labelled unknown because restricted UniProt fetch omitted GPI/mature-chain context; these do not establish GRIN1/RPSA sites.	Classify mature GPI-chain antibody epitopes; search natural pairs independently.	https://www.uniprot.org/uniprotkb/P04156/entry	yes	1	0	unique	3205c21f63225729400a2f449789cf1876dfe1a98dfa7ab28d5e517a82af59ac	a1_evi_20;a2_evi_30	https://pubmed.ncbi.nlm.nih.gov/41860118/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12897877/	200	{}
HGNC:28431	LYPD1	Q8N2G4	ENSG00000150551	116372	20	Nicotinic acetylcholine receptor subunits	functional_pair_no_exact_site	Rationale cites modulation/knockout biology without exact subunit-level mapped interface.	Resolve nAChR composition, species and direct binding/domain data.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11998120/	yes	0	0	unique	0e6e746edc940221e7ac1d6520e9b9a59230638d0048269a6931175f966f6126	a2_evi_13;a2_evi_14	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11998120/	404	{}
HGNC:10806	SGCB	Q16585	ENSG00000163069	6443	21	Sarcoglycans; dystroglycan	species_or_paralog_evidence	Cited DGC cryo-EM structure is native mouse complex, not a human SGCB site.	Use explicitly labelled ortholog-transferred evidence with alignment; do not count as human experimental.	https://pmc.ncbi.nlm.nih.gov/articles/PMC13178787/	yes	0	0	unique	929bccebf3eb4744d5586016d2d91cf991cfbe30ad16898583a9e4fa925ec889	a1_evi_01;a1_evi_04	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13178787/	404	{}
HGNC:26035	SLC48A1	Q6P1K1	ENSG00000211584	55652	22	Heme	intracellular_or_organelle	Heme transport is primarily endolysosomal; conserved transport residues are not an EC targeting epitope.	Capture transport-residue evidence with organelle compartment and species.	https://pmc.ncbi.nlm.nih.gov/articles/PMC3281596/	yes	0	0	unique	f8fd4d773bfb19fc4c5a028dac847f89f54e9b68a26cd3811dd0d695ba61eb5c	a1_evi_02;a1_evi_03	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3281596/	404	{}
HGNC:11009	SLC2A4	P14672	ENSG00000181856	6517	23	Glucose; insulin stimulus (claimed)	existing_site_wrong_context	Cytochalasin B site is already mapped but transmembrane; insulin-driven trafficking is not direct insulin-GLUT4 binding.	Remove insulin as direct binder; keep glucose substrate and inhibitor pocket separate.	https://www.rcsb.org/structure/7WSM	yes	1	0	unique	a632294809d8779b0e0c1627af6cc85d29c641957f4c2a975c1e2979d3e97825	a2_evi_01;a2_evi_26	https://pubmed.ncbi.nlm.nih.gov/2568955/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10986142/	404	"{""eligible_rows"": 2, ""mapped_rows"": 2, ""raw_rows"": 2, ""transmembrane"": 2}"
HGNC:15041	OR6B2	Q6IFH4	ENSG00000182083	389090	24	Unspecified odorants	llm_claim_needs_correction	Frozen rationale explicitly says no individually deorphanized ligand; class membership was promoted to yes.	Change to unknown exact ligand unless a receptor-specific assay is verified.	https://www.uniprot.org/uniprotkb/Q6IFH4/entry	yes	0	0	unique	e2340450fa3d20e69364c900c61347b7f914e5f5f74af40c892b005fcaf0b096	a1_evi_01;a1_evi_02	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866472/	404	{}
HGNC:6586	LHFPL6	Q9Y693	ENSG00000183722	10186	25	GABA-A receptors; NLGN2 (claimed)	llm_claim_needs_correction	Cited GARLH paper concerns LHFPL3/4; LHFPL4 was incorrectly attributed to LHFPL6.	Correct gene identity; reassess ligand flag from LHFPL6-specific evidence.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5347473/	yes	0	0	unique	35347d2e60f5f6a59926de9630337f28edb174a9751f8ba43ec7bc604bb95e53	a1_evi_01;a2_evi_01	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5347473/	404	{}
HGNC:14137	JPT2	Q9H910	ENSG00000206053	90861	26	NAADP	intracellular_or_organelle	NAADP-binding protein is cytosolic in the cited work.	Keep intracellular second-messenger binding outside EC coverage.	https://pubmed.ncbi.nlm.nih.gov/33758062/	yes	0	0	unique	0bb4490a95ae1dc8b81b717b44a7627bdd393e55a77febd0e5fc8f87c24bc25f	a2_evi_01;a2_evi_02	https://pubmed.ncbi.nlm.nih.gov/33758062/;https://pubmed.ncbi.nlm.nih.gov/36443544/	404	{}
HGNC:2045	CLDN3	O15551	ENSG00000165215	1365	27	C. perfringens enterotoxin; rotavirus VP7	species_or_paralog_evidence	Example cCPE structure 6AKE is mouse Cldn3; human canonical query cannot inherit those residues automatically.	Curate pathogen ligand and species; align ortholog evidence as a separate tier.	https://www.rcsb.org/structure/6AKE	yes	0	0	unique	a06d4ebd07c35b906020ac0be4c6f94cabf9032322d932a13db42b829fd22445	a1_evi_02;a1_evi_23	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11774686/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13004409/	404	{}
HGNC:10907	SLC11A1	P49279	ENSG00000018280	6556	28	Fe2+; Mn2+	intracellular_or_organelle	Endolysosomal metal transporter; BioLiP Mn row is intentionally excluded by organic-ligand filter.	Add ion/substrate tier if desired; do not call it an EC epitope.	https://pmc.ncbi.nlm.nih.gov/articles/PMC11742427/	yes	0	0	unique	3fe9ebef1ed0e3d669244210d0ba5718f5862275bd1cde101f7b6f1d5e3dd179	a1_evi_02;a1_evi_11;a2_evi_19	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11742427/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13045239/	404	"{""excluded_MN"": 1, ""raw_rows"": 1}"
HGNC:4206	OPN1MW	P04001	ENSG00000268221	2652	29	11-cis-retinal	existing_site_wrong_context	Retinal site is already in BioLiP/PDBe but entirely transmembrane, so fails strict EC criterion.	Report membrane pocket separately from wholly EC surface epitopes.	https://www.rcsb.org/structure/8Y01	yes	1	0	unique	91151318d7aedae5ce3cbc28c22f86bf1134f045c92ac31ad38b1da7dd3c8991	a1_evi_01;a1_evi_02	https://pubmed.ncbi.nlm.nih.gov/28487225/;https://pubmed.ncbi.nlm.nih.gov/42348698/	200	"{""eligible_rows"": 1, ""mapped_rows"": 1, ""raw_rows"": 1, ""transmembrane"": 1}"
HGNC:10250	ROBO2	Q9HCK4	ENSG00000185008	6092	30	SLIT1/2/3; NELL1/2	species_or_paralog_evidence	Ledger uses ROBO1 structures; NELL work includes mouse Robo2 mutagenesis and domain/pH dependence, not a human co-complex in probe.	Extract domain/functional residues with species; distinguish ROBO1/2/3 and condition-dependent exposure.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6433047/	yes	0	0	unique	64d57c020adf361c80d9c4eec6aa632d501cda1663b0ee67baa24318ff62446f	a1_evi_01;a1_evi_03;a2_evi_22	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11822886/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11848016/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5807052/	200	"{""excluded_MAN"": 2, ""raw_rows"": 2}"
HGNC:4134	GALR3	O60755	ENSG00000128310	8484	31	Galanin; spexin	functional_pair_no_exact_site	Functional agonism is supported; cited ECL contacts are computational docking, not experimentally mapped interface.	Retain agonist assays and predicted sites in separate evidence tiers.	https://pubmed.ncbi.nlm.nih.gov/24517231/	yes	0	0	unique	43c78b41c8275a14f3d61cdd2d604513caf8e2c7c1e09bb41c0ba7b69959fc12	a1_evi_14;a1_evi_15	https://pubmed.ncbi.nlm.nih.gov/24517231/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8285161/	404	{}
HGNC:8264	OR2K2	Q8NGT1	ENSG00000171133	26248	32	Unspecified odorants	llm_claim_needs_correction	Frozen rationale explicitly lacks a cognate deorphanized odorant and relies on receptor-family membership.	Downgrade exact ligand to unknown pending gene-specific assay.	https://www.uniprot.org/uniprotkb/Q8NGT1/entry	yes	0	0	unique	8b5d7dd125349b32b07d06be2acf210fd3ccae1cb4346608e2cd37abc4014cfa	a2_evi_05	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4133803/	404	{}
HGNC:50	ABCB9	Q9NP78	ENSG00000150967	23457	33	Oligopeptides/polypeptides	intracellular_or_organelle	Peptide transport occurs into lysosomes; broad cargo class is not an EC binding reagent.	Record peptide transport and lysosomal compartment separately.	https://pmc.ncbi.nlm.nih.gov/articles/PMC6695453/	yes	0	0	unique	35f3329518fefd06520a52c0d7c0eb1c500f898665a1c7768948ace0f3216f16	a2_evi_10	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6695453/	404	{}
HGNC:15356	OR4L1	Q8NH43	ENSG00000176246	122742	34	Unspecified odorants	llm_claim_needs_correction	Rationale claims variant functional data but names no exact odorant; identity remains unresolved.	Inspect cited assay table for exact chemical and positive receptor-specific response.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5630595/	yes	0	0	unique	f77200efce8e2be5d28775845476e15d49cafca1897cf59c1965898cfe050bbd	a1_evi_03	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5630595/	404	{}
HGNC:8077	NXPH3	O95157	ENSG00000182575	11248	35	Alpha-neurexins	functional_pair_no_exact_site	Cited binding is localized to neurexin LNS2 domain, not residue-level NXPH3 epitope.	Extract domain-range binding evidence and species before searching co-complexes.	https://pubmed.ncbi.nlm.nih.gov/9856994/	yes	0	0	unique	e308025ed8122c7950b7de1b62cc455c8e5b8d2e079871c3a0a6857bbf205fa0	a1_evi_04;a2_evi_04;a2_evi_05	https://pubmed.ncbi.nlm.nih.gov/9856994/	404	{}
HGNC:24003	HTR3C	Q8WXA8	ENSG00000178084	170572	36	Serotonin in HTR3 complexes	llm_claim_needs_correction	Heteromeric receptor activity does not establish direct ligand-contact residues on HTR3C; ledger homomer claim is not supported by the primary coassembly study.	Preserve complex-level agonism; require subunit-specific contacts.	https://pubmed.ncbi.nlm.nih.gov/17392525/	yes	0	0	unique	f3ed7ef5848e1e2ffeca937727f329c6263fb01a5f5c86c6d3a36c6c02b60bad	a1_evi_01;a1_evi_02	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11196107/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3898987/	404	{}
HGNC:18797	KREMEN2	Q8NCW0	ENSG00000131650	79412	37	DKK1	species_or_paralog_evidence	Binding is supported but cited 5FWW ternary structure is KREMEN1, not KREMEN2.	Retain binding evidence; label paralog-transferred sites explicitly.	https://www.rcsb.org/structure/5FWW	yes	0	0	unique	871a3f77f0bc63690bb8a5d09d135dfd536c2eabdd3b6a0b219f8bb0bb13e511	a1_evi_01;a1_evi_04	https://pubmed.ncbi.nlm.nih.gov/12050670/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5014086/	404	{}
HGNC:1753	CDH13	P55290	ENSG00000140945	1012	38	High-molecular-weight adiponectin; LDL	functional_pair_no_exact_site	Cell binding/endocytosis evidence lacks a residue-defined complex in the probe; GPI context alone cannot supply a site.	Mine binding-domain and competition experiments with ligand oligomer state.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10864391/	yes	0	0	unique	bd03159f50edd0062248a7c0d44e709f39bd7628426e8d94ad26054157c89375	a1_evi_18;a1_evi_19	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10864391/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12891605/	404	{}
HGNC:16920	CIB1	Q99828	ENSG00000185043	10519	39	ITGA2B cytoplasmic tail	intracellular_or_organelle	Claimed interaction is explicitly on integrin cytoplasmic tail; existing peptide sites do not imply EC location.	Keep intracellular adaptor binding out of EC denominator.	https://pmc.ncbi.nlm.nih.gov/articles/PMC2063547/	yes	1	0	unique	5a025f5f3e3c78f7471557345e38273b5e06ccfc02def8784f657b53edc19268	a1_evi_05;a2_evi_03;a2_evi_10	https://pubmed.ncbi.nlm.nih.gov/40929801/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2063547/	200	"{""eligible_rows"": 7, ""excluded_CA"": 28, ""excluded_MG"": 1, ""mapped_rows"": 7, ""raw_rows"": 36, ""unknown"": 7}"
HGNC:29480	LRG1	P02750	ENSG00000171236	116844	40	ADGRL2/LPHN2	topology_annotation_gap	Existing antibody complex 7Q4Q is mapped but unknown topology for a secreted mature protein; it is not the LPHN2 interface.	Add secreted/mature-chain site context separately from membrane anchoring; mine LPHN2 binding paper.	https://pmc.ncbi.nlm.nih.gov/articles/PMC10238393/	yes	1	0	unique	92c9e8b09fdeb68b27e7829b6b0563031c7911789bea95340191e0fa53afc8f8	a1_evi_15;a1_evi_16	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10238393/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9166773/	200	{}
HGNC:33823	ERVFRD-1	P60508	ENSG00000244476	405754	41	MFSD2A	structural_retrieval_gap	Direct PDBe query recovers EC interface in 7OIX; no prior IUPHAR target observation. Construct is engineered and must retain that annotation.	Add reverse-orientation protein-pair search and preserve construct mutations.	https://pdbj.org/mine/summary/7oix	yes	0	0	unique	1b0ffb09f48b5edc3f61d92be4c3869662062269dec6b97d2079b71ee44a8b0f	a1_evi_15;a1_evi_24	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2582322/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4853038/	200	"{""excluded_BMA"": 1, ""raw_rows"": 1}"
HGNC:1689	CD59	P13987	ENSG00000085063	966	42	C8; C9	topology_annotation_gap	Mapped BioLiP site and direct C8/C9 PDBe interfaces exist; no explicit topological-domain annotation in restricted query despite mature GPI chain.	Use mature-chain/GPI plus pair-specific structural evidence for EC context.	https://www.nature.com/articles/s41467-023-36441-z	yes	1	0	unique	be78c62507ad33735e366fcdd2eb3049759d52791616314935bfa6159835ac50	a1_evi_23;a1_evi_24	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5320943/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9935631/	200	"{""eligible_rows"": 6, ""excluded_ZN"": 3, ""mapped_rows"": 6, ""raw_rows"": 9, ""unknown"": 6}"
HGNC:11010	SLC2A5	P22732	ENSG00000142583	6518	43	Fructose	functional_pair_no_exact_site	Transport is validated; UniProt fructose residues are transferred by similarity and do not establish a human EC structure.	Import UniProt binding residues with ECO provenance in ortholog-supported pocket tier.	https://www.uniprot.org/uniprotkb/P22732/entry	yes	0	0	unique	8eb35471af65a7c92d8ed5276495c00bc3b63146d6a40bf86798e5f37b3eeca7	a2_evi_04;a2_evi_05	https://pubmed.ncbi.nlm.nih.gov/1634504/	404	{}
HGNC:26868	CCNYL1	Q8N7R7	ENSG00000163249	151195	44	CDK14	intracellular_or_organelle	Cyclin-CDK partnership is intracellular; frozen rationale provides no linked evidence IDs.	Curate intracellular partner identity; do not infer extracellular ligand.	https://www.uniprot.org/uniprotkb/Q8N7R7/entry	yes	0	0	unique	47daaee6b783d2927ee9e08d194f4a01db88356df3989a08f28e95072de932df			404	{}
HGNC:44208	LYPD8	Q6UX82	ENSG00000259823	646627	45	Bacterial flagella	functional_pair_no_exact_site	Binding/motility assays name a bacterial structure, not an exact protein epitope or residue-defined complex.	Resolve flagellin species/identity and domain experiments; keep microbial binding context.	https://pmc.ncbi.nlm.nih.gov/articles/PMC5725809/	yes	0	0	unique	3fd2565bde7b01318273f400d4617daa6a07d85f3e4fc14f01831bcabe22e8b9	a2_evi_07;a2_evi_08;a2_evi_10	https://pubmed.ncbi.nlm.nih.gov/33822948/;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5725809/	404	{}
