hgnc_id	hgnc_symbol	uniprot_acc	ensembl_gene	ncbi_gene_id	triage_classical_receptor	triage_surface_yes	biogrid_literature_contacts	biogrid_literature_contacts_extracellular	iedb_any_bcell_assay	iedb_epitope_region	iedb_epitope_region_extracellular	iedb_exact_epitope	iedb_exact_epitope_extracellular	iedb_named_positive_binding	natural_ligand_mapped_contacts	natural_ligand_mapped_contacts_extracellular	pdbe_chembl_identity	pdbe_chemical_contacts	pdbe_chemical_contacts_extracellular	pdbe_gtopdb_supported_pair	pdbe_gtopdb_supported_pair_extracellular	sabdab_mapped_contacts	sabdab_mapped_contacts_extracellular	sabdab_target_complex	union_including_regions	union_including_regions_extracellular	union_mapped_sites	union_mapped_sites_extracellular
HGNC:10254	ROM1	Q03395	ENSG00000149489	6094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0
HGNC:10256	ROR1	Q01973	ENSG00000185483	4919	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	0	0	1	1	1	1	1	1	1
HGNC:10257	ROR2	Q01974	ENSG00000169071	4920	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1
HGNC:10261	ROS1	P08922	ENSG00000047936	6098	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10274	RP2	O75695	ENSG00000102218	6102	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:1029	BDKRB1	P46663	ENSG00000100739	623	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	1	0
HGNC:10293	RPE	Q96AT9	ENSG00000197713	6120	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:103	CNNM2	Q9H8M5	ENSG00000148842	54805	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:1030	BDKRB2	P30411	ENSG00000168398	624	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	1	0	1	0
HGNC:1033	BDNF	P23560	ENSG00000176697	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10346	RPL36AL	Q969Q0	ENSG00000165502	6166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1037	CFB	P00751	ENSG00000243649	629	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10381	RPN1	P04843	ENSG00000163902	6184	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10382	RPN2	P04844	ENSG00000118705	6185	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:104	CNNM3	Q8NE01	ENSG00000168763	26505	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:1040	BFSP1	Q12934	ENSG00000125864	631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10420	RPS3	P23396	ENSG00000149273	6188	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1044	BGN	P21810	ENSG00000182492	633	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10446	RRAD	P55042	ENSG00000166592	6236	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10450	RRH	O14718	ENSG00000180245	10692	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10457	RS1	O15537	ENSG00000102104	6247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10468	RTN2	O75298	ENSG00000125744	6253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10481	RYK	P34925	ENSG00000163785	6259	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10483	RYR1	P21817	ENSG00000196218	6261	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HGNC:10484	RYR2	Q92736	ENSG00000198626	6262	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10485	RYR3	Q15413	ENSG00000198838	6263	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10492	S100A2	P29034	ENSG00000196754	6273	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10493	S100A3	P33764	ENSG00000188015	6274	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HGNC:10496	S100A6	P06703	ENSG00000197956	6277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10499	S100A9	P06702	ENSG00000163220	6280	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:105	CNNM4	Q6P4Q7	ENSG00000158158	26504	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:1052	BIN1	O00499	ENSG00000136717	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10528	SAMSN1	Q9NSI8	ENSG00000155307	64092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1053	BIN2	Q9UBW5	ENSG00000110934	51411	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10539	TSPAN31	Q12999	ENSG00000135452	6302	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10547	SC5D	O75845	ENSG00000109929	6309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10549	ATXN10	Q9UBB4	ENSG00000130638	25814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10573	SCEL	O95171	ENSG00000136155	8796	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10582	SCN10A	Q9Y5Y9	ENSG00000185313	6336	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10583	SCN11A	Q9UI33	ENSG00000168356	11280	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10585	SCN1A	P35498	ENSG00000144285	6323	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10586	SCN1B	Q07699	ENSG00000105711	6324	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10588	SCN2A	Q99250	ENSG00000136531	6326	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10589	SCN2B	O60939	ENSG00000149575	6327	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10590	SCN3A	Q9NY46	ENSG00000153253	6328	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10591	SCN4A	P35499	ENSG00000007314	6329	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10592	SCN4B	Q8IWT1	ENSG00000177098	6330	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HGNC:10593	SCN5A	Q14524	ENSG00000183873	6331	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10594	SCN7A	Q01118	ENSG00000136546	6332	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10596	SCN8A	Q9UQD0	ENSG00000196876	6334	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10597	SCN9A	Q15858	ENSG00000169432	6335	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	1	0	1	0
HGNC:10599	SCNN1A	P37088	ENSG00000111319	6337	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1060	CXCR5	P32302	ENSG00000160683	643	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10600	SCNN1B	P51168	ENSG00000168447	6338	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10601	SCNN1D	P51172	ENSG00000162572	6339	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10602	SCNN1G	P51170	ENSG00000166828	6340	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10608	SCTR	P47872	ENSG00000080293	6344	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
HGNC:1063	BLVRB	P30043	ENSG00000090013	645	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10647	CX3CL1	P78423	ENSG00000006210	6376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10648	AIMP1	Q12904	ENSG00000164022	9255	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10658	SDC1	P18827	ENSG00000115884	6382	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10659	SDC2	P34741	ENSG00000169439	6383	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10660	SDC3	O75056	ENSG00000162512	9672	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10661	SDC4	P31431	ENSG00000124145	6385	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10662	SDCBP	O00560	ENSG00000137575	6386	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10668	NOXA1	Q86UR1	ENSG00000188747	10811	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1067	BMP1	P13497	ENSG00000168487	649	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10672	CXCL12	P48061	ENSG00000107562	6387	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0
HGNC:1069	BMP2	P12643	ENSG00000125845	650	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10690	CAVIN2	O95810	ENSG00000168497	8436	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10700	SEC22B	O75396	ENSG00000265808	9554	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10707	SECTM1	Q8WVN6	ENSG00000141574	6398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10717	SEL1L	Q9UBV2	ENSG00000071537	6400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10718	SELE	P16581	ENSG00000007908	6401	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
HGNC:10720	SELL	P14151	ENSG00000188404	6402	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10721	SELP	P16109	ENSG00000174175	6403	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	1	1	1	1
HGNC:10722	SELPLG	Q14242	ENSG00000110876	6404	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10723	SEMA3A	Q14563	ENSG00000075213	10371	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HGNC:10725	SEMA3C	Q99985	ENSG00000075223	10512	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HGNC:10729	SEMA4A	Q9H3S1	ENSG00000196189	64218	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10730	SEMA4B	Q9NPR2	ENSG00000185033	10509	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10731	SEMA4C	Q9C0C4	ENSG00000168758	54910	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10732	SEMA4D	Q92854	ENSG00000187764	10507	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10734	SEMA4F	O95754	ENSG00000135622	10505	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10735	SEMA4G	Q9NTN9	ENSG00000095539	57715	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10736	SEMA5A	Q13591	ENSG00000112902	9037	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10737	SEMA5B	Q9P283	ENSG00000082684	54437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10738	SEMA6A	Q9H2E6	ENSG00000092421	57556	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10739	SEMA6B	Q9H3T3	ENSG00000167680	10501	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10740	SEMA6C	Q9H3T2	ENSG00000143434	10500	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10741	SEMA7A	O75326	ENSG00000138623	8482	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1076	BMPR1A	P36894	ENSG00000107779	657	1	1	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	1	1	1	1
HGNC:10763	SEZ6L	Q9BYH1	ENSG00000100095	23544	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1077	BMPR1B	O00238	ENSG00000138696	658	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10776	SFRP1	Q8N474	ENSG00000104332	6422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10778	SFRP4	Q6FHJ7	ENSG00000106483	6424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1078	BMPR2	Q13873	ENSG00000204217	659	1	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:1079	BMX	P51813	ENSG00000102010	660	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10790	SFSWAP	Q12872	ENSG00000061936	6433	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:108	ACHE	P22303	ENSG00000087085	43	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10805	SGCA	Q16586	ENSG00000108823	6442	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10806	SGCB	Q16585	ENSG00000163069	6443	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10807	SGCD	Q92629	ENSG00000170624	6444	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10808	SGCE	O43556	ENSG00000127990	8910	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10809	SGCG	Q13326	ENSG00000102683	6445	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10822	SH3BGR	P55822	ENSG00000185437	6450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10824	SH3BP1	Q9Y3L3	ENSG00000100092	23616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10840	SHC1	P29353	ENSG00000160691	6464	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10848	SHH	Q15465	ENSG00000164690	6469	0	0	0	0	1	0	0	1	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0
HGNC:10856	SI	P14410	ENSG00000090402	6476	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10862	ST3GAL1	Q11201	ENSG00000008513	6482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10864	ST3GAL4	Q11206	ENSG00000110080	6484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10872	ST3GAL5	Q9UNP4	ENSG00000115525	8869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10874	SIGLEC5	O15389	ENSG00000105501	8778	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10875	SIGLEC6	O43699	ENSG00000105492	946	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10876	SIGLEC7	Q9Y286	ENSG00000168995	27036	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
HGNC:10877	SIGLEC8	Q9NYZ4	ENSG00000105366	27181	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
HGNC:10878	SIGLEC9	Q9Y336	ENSG00000129450	27180	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10880	PMEL	P40967	ENSG00000185664	6490	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10885	SIPA1	Q96FS4	ENSG00000213445	6494	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:1090	DST	Q03001	ENSG00000151914	667	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10903	SLAMF1	Q13291	ENSG00000117090	6504	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10905	SLC10A1	Q14973	ENSG00000100652	6554	0	1	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	1	1	0	1	0
HGNC:10906	SLC10A2	Q12908	ENSG00000125255	6555	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10907	SLC11A1	P49279	ENSG00000018280	6556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10908	SLC11A2	P49281	ENSG00000110911	4891	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1
HGNC:10909	SLC40A1	Q9NP59	ENSG00000138449	30061	0	1	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	1	0	1	1	0	1	0
HGNC:10910	SLC12A1	Q13621	ENSG00000074803	6557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10911	SLC12A2	P55011	ENSG00000064651	6558	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	1	0
HGNC:10912	SLC12A3	P55017	ENSG00000070915	6559	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10913	SLC12A4	Q9UP95	ENSG00000124067	6560	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10914	SLC12A6	Q9UHW9	ENSG00000140199	9990	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10915	SLC12A7	Q9Y666	ENSG00000113504	10723	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10916	SLC13A1	Q9BZW2	ENSG00000081800	6561	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10917	SLC13A2	Q13183	ENSG00000007216	9058	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HGNC:10918	SLC14A1	Q13336	ENSG00000141469	6563	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10919	SLC14A2	Q15849	ENSG00000132874	8170	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10920	SLC15A1	P46059	ENSG00000088386	6564	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10921	SLC15A2	Q16348	ENSG00000163406	6565	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10922	SLC16A1	P53985	ENSG00000155380	6566	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
HGNC:10923	SLC16A2	P36021	ENSG00000147100	6567	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0	1	0
HGNC:10924	SLC16A3	O15427	ENSG00000141526	9123	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10925	SLC16A4	O15374	ENSG00000168679	9122	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10926	SLC16A5	O15375	ENSG00000170190	9121	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10927	SLC16A6	O15403	ENSG00000108932	9120	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10928	SLC16A7	O60669	ENSG00000118596	9194	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10929	SLC17A1	Q14916	ENSG00000124568	6568	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10930	SLC17A2	O00624	ENSG00000112337	10246	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10931	SLC17A3	O00476	ENSG00000124564	10786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10932	SLC17A4	Q9Y2C5	ENSG00000146039	10050	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HGNC:10933	SLC17A5	Q9NRA2	ENSG00000119899	26503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
