gene_symbol	hgnc_id	uniprot_acc	prior_reason
ACY1	HGNC:177	Q03154	cytoplasmic
ACYP1	HGNC:179	P07311	cytoplasmic
ACYP2	HGNC:180	P14621	cytoplasmic
ADAD1	HGNC:30713	Q96M93	nuclear
ADAD2	HGNC:30714	Q8NCV1	nuclear
ADAR	HGNC:225	P55265	cytoplasmic
ADARB1	HGNC:226	P78563	nuclear
ADARB2	HGNC:227	Q9NS39	nuclear
ADAT1	HGNC:228	Q9BUB4	cytoplasmic
ADAT2	HGNC:21172	Q7Z6V5	nuclear
ADAT3	HGNC:25151	Q96EY9	cytoplasmic
ADCK1	HGNC:19038	Q86TW2	mitochondrial_internal
ADCK2	HGNC:19039	Q7Z695	mitochondrial_internal
ADCY10	HGNC:21285	Q96PN6	cytoplasmic
ADGB	HGNC:21212	Q8N7X0	cytoplasmic
ADH1A	HGNC:249	P07327	cytoplasmic
ADH1B	HGNC:250	P00325	cytoplasmic
ADH1C	HGNC:251	P00326	cytoplasmic
ADH4	HGNC:252	P08319	cytoplasmic
ADH5	HGNC:253	P11766	cytoplasmic
ADH6	HGNC:255	P28332	cytoplasmic
ADHFE1	HGNC:16354	Q8IWW8	mitochondrial_internal
ADI1	HGNC:30576	Q9BV57	cytoplasmic
ADIG	HGNC:28606	Q0VDE8	cytoplasmic
ADIRF	HGNC:24043	Q15847	cytoplasmic
ADK	HGNC:257	P55263	cytoplasmic
ADNP	HGNC:15766	Q9H2P0	nuclear
ADNP2	HGNC:23803	Q6IQ32	nuclear
ADO	HGNC:23506	Q96SZ5	cytoplasmic
ADPGK	HGNC:25250	Q9BRR6	cytoplasmic
ADPRH	HGNC:269	P54922	cytoplasmic
ADPRM	HGNC:30925	Q3LIE5	cytoplasmic
ADPRS	HGNC:21304	Q9NX46	cytoplasmic
ADRM1	HGNC:15759	Q16186	cytoplasmic
ADSL	HGNC:291	P30566	cytoplasmic
ADSS1	HGNC:20093	Q8N142	cytoplasmic
AEBP2	HGNC:24051	Q6ZN18	nuclear
AEN	HGNC:25722	Q8WTP8	nuclear
AFAP1	HGNC:24017	Q8N556	cytoplasmic
AFAP1L1	HGNC:26714	Q8TED9	cytoplasmic
AFF1	HGNC:7135	P51825	nuclear
AFF2	HGNC:3776	P51816	nuclear
AFF3	HGNC:6473	P51826	nuclear
AFF4	HGNC:17869	Q9UHB7	nuclear
AFG1L	HGNC:16411	Q8WV93	mitochondrial_internal
AFG2A	HGNC:18119	Q8NB90	mitochondrial_internal
AFG2B	HGNC:28762	Q9BVQ7	cytoplasmic
AFG3L2	HGNC:315	Q9Y4W6	mitochondrial_internal
AFMID	HGNC:20910	Q63HM1	cytoplasmic
AFTPH	HGNC:25951	Q6ULP2	cytoplasmic
AGAP1	HGNC:16922	Q9UPQ3	cytoplasmic
AGAP2	HGNC:16921	Q99490	cytoplasmic
AGAP3	HGNC:16923	Q96P47	cytoplasmic
AGAP4	HGNC:23459	Q96P64	cytoplasmic
AGAP5	HGNC:23467	A6NIR3	cytoplasmic
AGAP6	HGNC:23466	Q5VW22	cytoplasmic
AGAP9	HGNC:23463	Q5VTM2	cytoplasmic
AGBL1	HGNC:26504	Q96MI9	cytoplasmic
AGBL2	HGNC:26296	Q5U5Z8	cytoplasmic
AGBL3	HGNC:27981	Q8NEM8	cytoplasmic
AGBL4	HGNC:25892	Q5VU57	cytoplasmic
AGBL5	HGNC:26147	Q8NDL9	cytoplasmic
AGFG1	HGNC:5175	P52594	cytoplasmic
AGFG2	HGNC:5177	O95081	cytoplasmic
AGGF1	HGNC:24684	Q8N302	cytoplasmic
AGK	HGNC:21869	Q53H12	mitochondrial_internal
AGL	HGNC:321	P35573	cytoplasmic
AGMAT	HGNC:18407	Q9BSE5	mitochondrial_internal
AGO1	HGNC:3262	Q9UL18	cytoplasmic
AGO2	HGNC:3263	Q9UKV8	cytoplasmic
AGO3	HGNC:18421	Q9H9G7	cytoplasmic
AGO4	HGNC:18424	Q9HCK5	cytoplasmic
AGTPBP1	HGNC:17258	Q9UPW5	cytoplasmic
AGXT2	HGNC:14412	Q9BYV1	mitochondrial_internal
AHCY	HGNC:343	P23526	cytoplasmic
AHCYL2	HGNC:22204	Q96HN2	cytoplasmic
AHDC1	HGNC:25230	Q5TGY3	nuclear
AHI1	HGNC:21575	Q8N157	cytoplasmic
AHR	HGNC:348	P35869	cytoplasmic
AHRR	HGNC:346	A9YTQ3	nuclear
AHSA1	HGNC:1189	O95433	cytoplasmic
AHSP	HGNC:18075	Q9NZD4	cytoplasmic
AICDA	HGNC:13203	Q9GZX7	cytoplasmic
AIFM1	HGNC:8768	O95831	mitochondrial_internal
AIFM3	HGNC:26398	Q96NN9	mitochondrial_internal
AIM2	HGNC:357	O14862	cytoplasmic
AIMP2	HGNC:20609	Q13155	cytoplasmic
AIP	HGNC:358	O00170	cytoplasmic
AIPL1	HGNC:359	Q9NZN9	cytoplasmic
AIRE	HGNC:360	O43918	nuclear
AIRIM	HGNC:26039	Q9NX04	nuclear
AJUBA	HGNC:20250	Q96IF1	cytoplasmic
AK1	HGNC:361	P00568	cytoplasmic
AK2	HGNC:362	P54819	mitochondrial_internal
AK3	HGNC:17376	Q9UIJ7	mitochondrial_internal
AK4	HGNC:363	P27144	mitochondrial_internal
AK5	HGNC:365	Q9Y6K8	cytoplasmic
AK6	HGNC:49151	Q9Y3D8	nuclear
AK7	HGNC:20091	Q96M32	cytoplasmic
AK8	HGNC:26526	Q96MA6	cytoplasmic
AK9	HGNC:33814	Q5TCS8	cytoplasmic
AKAIN1	HGNC:28285	P0CW23	cytoplasmic
AKAP1	HGNC:367	Q92667	mitochondrial_internal
AKAP11	HGNC:369	Q9UKA4	cytoplasmic
AKAP13	HGNC:371	Q12802	cytoplasmic
AKAP14	HGNC:24061	Q86UN6	cytoplasmic
AKAP17A	HGNC:18783	Q02040	nuclear
AKAP3	HGNC:373	O75969	cytoplasmic
AKAP8	HGNC:378	O43823	nuclear
AKAP8L	HGNC:29857	Q9ULX6	nuclear
AKIP1	HGNC:1170	Q9NQ31	nuclear
AKIRIN1	HGNC:25744	Q9H9L7	nuclear
AKIRIN2	HGNC:21407	Q53H80	nuclear
AKNA	HGNC:24108	Q7Z591	nuclear
AKNAD1	HGNC:28398	Q5T1N1	nuclear
AKR1B1	HGNC:381	P15121	cytoplasmic
AKR1C1	HGNC:384	Q04828	cytoplasmic
AKR1C2	HGNC:385	P52895	cytoplasmic
AKR1C3	HGNC:386	P42330	cytoplasmic
AKR1C4	HGNC:387	P17516	cytoplasmic
AKR1C8	HGNC:23469	Q5T2L2	cytoplasmic
AKR1D1	HGNC:388	P51857	cytoplasmic
AKR1E2	HGNC:23437	Q96JD6	cytoplasmic
AKR7A2	HGNC:389	O43488	cytoplasmic
AKR7A3	HGNC:390	O95154	cytoplasmic
AKR7L	HGNC:24056	Q8NHP1	cytoplasmic
AKT1S1	HGNC:28426	Q96B36	cytoplasmic
ALAD	HGNC:395	P13716	cytoplasmic
ALAS1	HGNC:396	P13196	mitochondrial_internal
ALAS2	HGNC:397	P22557	mitochondrial_internal
ALDH16A1	HGNC:28114	Q8IZ83	cytoplasmic
ALDH18A1	HGNC:9722	P54886	mitochondrial_internal
ALDH1A1	HGNC:402	P00352	cytoplasmic
ALDH1A2	HGNC:15472	O94788	cytoplasmic
ALDH1A3	HGNC:409	P47895	cytoplasmic
ALDH1B1	HGNC:407	P30837	mitochondrial_internal
ALDH1L1	HGNC:3978	O75891	cytoplasmic
ALDH1L2	HGNC:26777	Q3SY69	mitochondrial_internal
ALDH2	HGNC:404	P05091	mitochondrial_internal
ALDH3B1	HGNC:410	P43353	cytoplasmic
ALDH3B2	HGNC:411	P48448	cytoplasmic
ALDH4A1	HGNC:406	P30038	mitochondrial_internal
ALDH5A1	HGNC:408	P51649	mitochondrial_internal
ALDH6A1	HGNC:7179	Q02252	mitochondrial_internal
ALDH7A1	HGNC:877	P49419	cytoplasmic
ALDH8A1	HGNC:15471	Q9H2A2	cytoplasmic
ALDH9A1	HGNC:412	P49189	cytoplasmic
ALDOA	HGNC:414	P04075	cytoplasmic
ALDOB	HGNC:417	P05062	cytoplasmic
ALDOC	HGNC:418	P09972	cytoplasmic
ALKBH1	HGNC:17911	Q13686	nuclear
ALKBH2	HGNC:32487	Q6NS38	nuclear
ALKBH3	HGNC:30141	Q96Q83	cytoplasmic
ALKBH4	HGNC:21900	Q9NXW9	cytoplasmic
ALKBH5	HGNC:25996	Q6P6C2	nuclear
ALKBH6	HGNC:28243	Q3KRA9	cytoplasmic
ALKBH7	HGNC:21306	Q9BT30	mitochondrial_internal
ALKBH8	HGNC:25189	Q96BT7	cytoplasmic
ALLC	HGNC:17377	Q8N6M5	cytoplasmic
ALMS1	HGNC:428	Q8TCU4	cytoplasmic
ALOX12B	HGNC:430	O75342	cytoplasmic
ALOX5	HGNC:435	P09917	cytoplasmic
ALPK1	HGNC:20917	Q96QP1	cytoplasmic
ALPK3	HGNC:17574	Q96L96	cytoplasmic
ALS2	HGNC:443	Q96Q42	cytoplasmic
ALS2CL	HGNC:20605	Q60I27	cytoplasmic
ALX1	HGNC:1494	Q15699	nuclear
ALX3	HGNC:449	O95076	nuclear
ALX4	HGNC:450	Q9H161	nuclear
ALYREF	HGNC:19071	Q86V81	nuclear
AMACR	HGNC:451	Q9UHK6	mitochondrial_internal
AMBRA1	HGNC:25990	Q9C0C7	cytoplasmic
AMD1	HGNC:457	P17707	cytoplasmic
AMDHD2	HGNC:24262	Q9Y303	nuclear
AMMECR1	HGNC:467	Q9Y4X0	nuclear
AMMECR1L	HGNC:28658	Q6DCA0	nuclear
AMN1	HGNC:27281	Q8IY45	cytoplasmic
AMPD1	HGNC:468	P23109	cytoplasmic
AMPD2	HGNC:469	Q01433	cytoplasmic
AMPD3	HGNC:470	Q01432	cytoplasmic
AMT	HGNC:473	P48728	mitochondrial_internal
AMZ1	HGNC:22231	Q400G9	cytoplasmic
AMZ2	HGNC:28041	Q86W34	cytoplasmic
ANAPC1	HGNC:19988	Q9H1A4	cytoplasmic
ANAPC10	HGNC:24077	Q9UM13	cytoplasmic
ANAPC11	HGNC:14452	Q9NYG5	nuclear
ANAPC13	HGNC:24540	Q9BS18	cytoplasmic
ANAPC15	HGNC:24531	P60006	cytoplasmic
ANAPC16	HGNC:26976	Q96DE5	cytoplasmic
ANAPC2	HGNC:19989	Q9UJX6	cytoplasmic
ANAPC4	HGNC:19990	Q9UJX5	cytoplasmic
ANAPC5	HGNC:15713	Q9UJX4	cytoplasmic
ANAPC7	HGNC:17380	Q9UJX3	cytoplasmic
ANGEL2	HGNC:30534	Q5VTE6	cytoplasmic
ANHX	HGNC:40024	E9PGG2	nuclear
ANKAR	HGNC:26350	Q7Z5J8	cytoplasmic
ANKDD1A	HGNC:28002	Q495B1	cytoplasmic
ANKDD1B	HGNC:32525	A6NHY2	cytoplasmic
ANKFY1	HGNC:20763	Q9P2R3	cytoplasmic
ANKHD1	HGNC:24714	Q8IWZ3	cytoplasmic
ANKK1	HGNC:21027	Q8NFD2	cytoplasmic
ANKLE1	HGNC:26812	Q8NAG6	cytoplasmic
ANKMY1	HGNC:20987	Q9P2S6	cytoplasmic
ANKMY2	HGNC:25370	Q8IV38	cytoplasmic
ANKRD1	HGNC:15819	Q15327	nuclear
ANKRD10	HGNC:20265	Q9NXR5	nuclear
ANKRD11	HGNC:21316	Q6UB99	nuclear
ANKRD12	HGNC:29135	Q6UB98	nuclear
ANKRD16	HGNC:23471	Q6P6B7	cytoplasmic
ANKRD17	HGNC:23575	O75179	nuclear
ANKRD18A	HGNC:23643	Q8IVF6	cytoplasmic
ANKRD18B	HGNC:23644	A2A2Z9	cytoplasmic
ANKRD2	HGNC:495	Q9GZV1	cytoplasmic
ANKRD22	HGNC:28321	Q5VYY1	cytoplasmic
ANKRD23	HGNC:24470	Q86SG2	nuclear
ANKRD26	HGNC:29186	Q9UPS8	cytoplasmic
ANKRD27	HGNC:25310	Q96NW4	cytoplasmic
ANKRD28	HGNC:29024	O15084	cytoplasmic
ANKRD29	HGNC:27110	Q8N6D5	cytoplasmic
ANKRD30A	HGNC:17234	Q9BXX3	nuclear
ANKRD30B	HGNC:24165	Q9BXX2	cytoplasmic
ANKRD31	HGNC:26853	Q8N7Z5	cytoplasmic
ANKRD33	HGNC:13788	Q7Z3H0	cytoplasmic
ANKRD33B	HGNC:35240	A6NCL7	cytoplasmic
ANKRD34A	HGNC:27639	Q69YU3	cytoplasmic
ANKRD34B	HGNC:33736	A5PLL1	cytoplasmic
ANKRD34C	HGNC:33888	P0C6C1	cytoplasmic
ANKRD36	HGNC:24079	A6QL64	cytoplasmic
ANKRD36B	HGNC:29333	Q8N2N9	cytoplasmic
ANKRD36C	HGNC:32946	Q5JPF3	cytoplasmic
ANKRD37	HGNC:29593	Q7Z713	cytoplasmic
ANKRD39	HGNC:28640	Q53RE8	cytoplasmic
ANKRD40	HGNC:28233	Q6AI12	cytoplasmic
ANKRD40CL	HGNC:26080	Q53H64	cytoplasmic
ANKRD44	HGNC:25259	Q8N8A2	cytoplasmic
ANKRD46	HGNC:27229	Q86W74	cytoplasmic
ANKRD49	HGNC:25970	Q8WVL7	nuclear
ANKRD52	HGNC:26614	Q8NB46	cytoplasmic
ANKRD53	HGNC:25691	Q8N9V6	cytoplasmic
ANKRD54	HGNC:25185	Q6NXT1	cytoplasmic
ANKRD55	HGNC:25681	Q3KP44	cytoplasmic
ANKRD6	HGNC:17280	Q9Y2G4	cytoplasmic
ANKRD60	HGNC:16217	Q9BZ19	cytoplasmic
ANKRD61	HGNC:22467	A6NGH8	nuclear
ANKRD62	HGNC:35241	A6NC57	cytoplasmic
ANKRD63	HGNC:40027	C9JTQ0	cytoplasmic
ANKRD65	HGNC:42950	E5RJM6	cytoplasmic
ANKRD66	HGNC:44669	B4E2M5	cytoplasmic
ANKRD7	HGNC:18588	Q92527	cytoplasmic
ANKRD9	HGNC:20096	Q96BM1	cytoplasmic
ANKS1A	HGNC:20961	Q92625	cytoplasmic
ANKS1B	HGNC:24600	Q7Z6G8	cytoplasmic
ANKS3	HGNC:29422	Q6ZW76	cytoplasmic
ANKS4B	HGNC:26795	Q8N8V4	cytoplasmic
ANKS6	HGNC:26724	Q68DC2	cytoplasmic
ANKUB1	HGNC:29642	A6NFN9	cytoplasmic
ANKZF1	HGNC:25527	Q9H8Y5	cytoplasmic
ANLN	HGNC:14082	Q9NQW6	cytoplasmic
ANP32A	HGNC:13233	P39687	nuclear
ANP32B	HGNC:16677	Q92688	nuclear
ANP32D	HGNC:16676	O95626	nuclear
ANP32E	HGNC:16673	Q9BTT0	nuclear
ANTKMT	HGNC:14152	Q9BQD7	mitochondrial_internal
ANXA11	HGNC:535	P50995	cytoplasmic
AOX1	HGNC:553	Q06278	cytoplasmic
AP1AR	HGNC:28808	Q63HQ0	cytoplasmic
AP1B1	HGNC:554	Q10567	cytoplasmic
AP1G2	HGNC:556	O75843	cytoplasmic
AP1M1	HGNC:13667	Q9BXS5	cytoplasmic
AP1M2	HGNC:558	Q9Y6Q5	cytoplasmic
AP1S1	HGNC:559	P61966	cytoplasmic
AP1S2	HGNC:560	P56377	cytoplasmic
AP1S3	HGNC:18971	Q96PC3	cytoplasmic
AP3B1	HGNC:566	O00203	cytoplasmic
AP3B2	HGNC:567	Q13367	cytoplasmic
AP3D1	HGNC:568	O14617	cytoplasmic
AP3M1	HGNC:569	Q9Y2T2	cytoplasmic
AP3M2	HGNC:570	P53677	cytoplasmic
AP3S1	HGNC:2013	Q92572	cytoplasmic
AP3S2	HGNC:571	P59780	cytoplasmic
AP4B1	HGNC:572	Q9Y6B7	cytoplasmic
AP4E1	HGNC:573	Q9UPM8	cytoplasmic
AP4M1	HGNC:574	O00189	cytoplasmic
AP4S1	HGNC:575	Q9Y587	cytoplasmic
AP5B1	HGNC:25104	Q2VPB7	cytoplasmic
AP5M1	HGNC:20192	Q9H0R1	cytoplasmic
AP5S1	HGNC:15875	Q9NUS5	cytoplasmic
AP5Z1	HGNC:22197	O43299	cytoplasmic
APAF1	HGNC:576	O14727	cytoplasmic
APBA1	HGNC:578	Q02410	cytoplasmic
APBA2	HGNC:579	Q99767	cytoplasmic
APBA3	HGNC:580	O96018	cytoplasmic
APBB2	HGNC:582	Q92870	cytoplasmic
APBB3	HGNC:20708	O95704	cytoplasmic
APEH	HGNC:586	P13798	cytoplasmic
APEX1	HGNC:587	P27695	nuclear
APEX2	HGNC:17889	Q9UBZ4	nuclear
API5	HGNC:594	Q9BZZ5	nuclear
APIP	HGNC:17581	Q96GX9	cytoplasmic
APLF	HGNC:28724	Q8IW19	nuclear
APOBEC1	HGNC:604	P41238	cytoplasmic
APOBEC2	HGNC:605	Q9Y235	cytoplasmic
APOBEC3A	HGNC:17343	P31941	cytoplasmic
APOBEC3B	HGNC:17352	Q9UH17	nuclear
APOBEC3C	HGNC:17353	Q9NRW3	cytoplasmic
APOBEC3D	HGNC:17354	Q96AK3	cytoplasmic
APOBEC3F	HGNC:17356	Q8IUX4	cytoplasmic
APOBEC3G	HGNC:17357	Q9HC16	cytoplasmic
APOBEC3H	HGNC:24100	Q6NTF7	cytoplasmic
APOBEC4	HGNC:32152	Q8WW27	cytoplasmic
APOL2	HGNC:619	Q9BQE5	cytoplasmic
APOL3	HGNC:14868	O95236	cytoplasmic
APOL5	HGNC:14869	Q9BWW9	cytoplasmic
APOL6	HGNC:14870	Q9BWW8	cytoplasmic
APOO	HGNC:28727	Q9BUR5	mitochondrial_internal
APOOL	HGNC:24009	Q6UXV4	mitochondrial_internal
APPBP2	HGNC:622	Q92624	cytoplasmic
APRT	HGNC:626	P07741	cytoplasmic
APTX	HGNC:15984	Q7Z2E3	nuclear
AQR	HGNC:29513	O60306	nuclear
AR	HGNC:644	P10275	cytoplasmic
ARC	HGNC:648	Q7LC44	cytoplasmic
AREL1	HGNC:20363	O15033	cytoplasmic
ARFGAP1	HGNC:15852	Q8N6T3	cytoplasmic
ARFGAP2	HGNC:13504	Q8N6H7	cytoplasmic
ARFGEF1	HGNC:15772	Q9Y6D6	cytoplasmic
ARFGEF2	HGNC:15853	Q9Y6D5	cytoplasmic
ARFGEF3	HGNC:21213	Q5TH69	cytoplasmic
ARG1	HGNC:663	P05089	cytoplasmic
ARG2	HGNC:664	P78540	mitochondrial_internal
ARGFX	HGNC:30146	A6NJG6	nuclear
ARGLU1	HGNC:25482	Q9NWB6	nuclear
ARHGAP1	HGNC:673	Q07960	cytoplasmic
ARHGAP10	HGNC:26099	A1A4S6	cytoplasmic
ARHGAP11A	HGNC:15783	Q6P4F7	cytoplasmic
ARHGAP11B	HGNC:15782	Q3KRB8	mitochondrial_internal
ARHGAP20	HGNC:18357	Q9P2F6	cytoplasmic
ARHGAP26	HGNC:17073	Q9UNA1	cytoplasmic
ARHGAP27	HGNC:31813	Q6ZUM4	cytoplasmic
ARHGAP30	HGNC:27414	Q7Z6I6	cytoplasmic
ARHGAP31	HGNC:29216	Q2M1Z3	cytoplasmic
ARHGAP32	HGNC:17399	A7KAX9	cytoplasmic
ARHGAP39	HGNC:29351	Q9C0H5	cytoplasmic
ARHGAP4	HGNC:674	P98171	cytoplasmic
ARHGAP42	HGNC:26545	A6NI28	cytoplasmic
ARHGAP5	HGNC:675	Q13017	cytoplasmic
ARHGAP6	HGNC:676	O43182	cytoplasmic
ARHGAP8	HGNC:677	P85298	cytoplasmic
ARHGDIA	HGNC:678	P52565	cytoplasmic
ARHGDIB	HGNC:679	P52566	cytoplasmic
ARHGDIG	HGNC:680	Q99819	cytoplasmic
ARHGEF10	HGNC:14103	O15013	cytoplasmic
ARHGEF10L	HGNC:25540	Q9HCE6	cytoplasmic
ARHGEF16	HGNC:15515	Q5VV41	cytoplasmic
ARHGEF19	HGNC:26604	Q8IW93	cytoplasmic
ARHGEF3	HGNC:683	Q9NR81	cytoplasmic
ARHGEF33	HGNC:37252	A8MVX0	cytoplasmic
ARHGEF35	HGNC:33846	A5YM69	cytoplasmic
ARHGEF37	HGNC:34430	A1IGU5	cytoplasmic
ARHGEF38	HGNC:25968	Q9NXL2	cytoplasmic
ARHGEF4	HGNC:684	Q9NR80	cytoplasmic
ARHGEF7	HGNC:15607	Q14155	cytoplasmic
ARHGEF9	HGNC:14561	O43307	cytoplasmic
ARID1A	HGNC:11110	O14497	nuclear
ARID1B	HGNC:18040	Q8NFD5	nuclear
ARID2	HGNC:18037	Q68CP9	nuclear
ARID3A	HGNC:3031	Q99856	nuclear
ARID3B	HGNC:14350	Q8IVW6	nuclear
ARID3C	HGNC:21209	A6NKF2	nuclear
ARID4A	HGNC:9885	P29374	nuclear
ARID4B	HGNC:15550	Q4LE39	nuclear
