gene_symbol	hgnc_id	uniprot_acc	prior_reason	rescued_verdict	rescued_reason	rescued_confidence
CT47A2	HGNC:33283	Q5JQC4	cytoplasmic	contextual	cell_state_induced	low
CYB5B	HGNC:24374	O43169	mitochondrial_internal	contextual	cell_state_induced	medium
CYB5R3	HGNC:2873	P00387	cytoplasmic	contextual	dual_localization	medium
DARS2	HGNC:25538	Q6PI48	mitochondrial_internal	contextual	cell_state_induced	low
DBI	HGNC:2690	P07108	cytoplasmic	contextual	cell_state_induced	medium
DCLK1	HGNC:2700	O15075	cytoplasmic	contextual	cell_state_induced	medium
DEK	HGNC:2768	P35659	nuclear	contextual	cell_state_induced	medium
DIRAS3	HGNC:687	O95661	cytoplasmic	contextual	other	medium
DLST	HGNC:2911	P36957	mitochondrial_internal	contextual	tissue_restricted_surface	medium
DPP9	HGNC:18648	Q86TI2	cytoplasmic	contextual	cell_state_induced	medium
DUT	HGNC:3078	P33316	cytoplasmic	contextual	cell_state_induced	low
EIF3A	HGNC:3271	Q14152	cytoplasmic	contextual	cell_state_induced	medium
EN1	HGNC:3342	Q05925	nuclear	contextual	dual_localization	low
EPM2A	HGNC:3413	O95278	cytoplasmic	contextual	dual_localization	low
ESR2	HGNC:3468	Q92731	cytoplasmic	contextual	cell_state_induced	medium
FAM149A	HGNC:24527	A5PLN7	cytoplasmic	contextual	tissue_restricted_surface	low
FAM153A	HGNC:29940	Q9UHL3	cytoplasmic	contextual	tissue_restricted_surface	low
FEZ1	HGNC:3659	Q99689	cytoplasmic	contextual	dual_localization	low
FLII	HGNC:3750	Q13045	cytoplasmic	contextual	lysosomal_exocytosis	low
FNDC11	HGNC:28764	Q9BVV2	cytoplasmic	yes	classical_surface_receptor	low
FOXR2	HGNC:30469	Q6PJQ5	nuclear	contextual	cell_state_induced	low
GCSAM	HGNC:20253	Q8N6F7	cytoplasmic	contextual	tissue_restricted_surface	low
GGTLC2	HGNC:18596	Q14390	cytoplasmic	contextual	dual_localization	low
GMFB	HGNC:4373	P60983	cytoplasmic	contextual	cell_state_induced	medium
GOT2	HGNC:4433	P00505	mitochondrial_internal	contextual	cell_state_induced	medium
H2BC12	HGNC:13954	O60814	nuclear	contextual	cell_state_induced	medium
H2BC26	HGNC:20514	Q8N257	nuclear	contextual	cell_state_induced	medium
H2BC4	HGNC:4757	P62807	nuclear	contextual	cell_state_induced	medium
H4C3	HGNC:4787	P62805	nuclear	contextual	cell_state_induced	medium
HARS1	HGNC:4816	P12081	cytoplasmic	contextual	cell_state_induced	medium
HDAC3	HGNC:4854	O15379	nuclear	contextual	dual_localization	medium
HMGB3	HGNC:5004	O15347	nuclear	contextual	cell_state_induced	medium
HMGN2	HGNC:4986	P05204	nuclear	contextual	cell_state_induced	medium
HSPA1L	HGNC:5234	P34931	cytoplasmic	contextual	cell_state_induced	medium
IDO2	HGNC:27269	Q6ZQW0	cytoplasmic	contextual	cell_state_induced	medium
JMJD6	HGNC:19355	Q6NYC1	nuclear	contextual	dual_localization	medium
JOSD1	HGNC:28953	Q15040	cytoplasmic	contextual	dual_localization	medium
KANK2	HGNC:29300	Q63ZY3	cytoplasmic	contextual	dual_localization	medium
LAP3	HGNC:18449	P28838	cytoplasmic	contextual	dual_localization	medium
LPXN	HGNC:14061	O60711	cytoplasmic	contextual	cell_state_induced	medium
LSM4	HGNC:17259	Q9Y4Z0	nuclear	contextual	cell_state_induced	medium
LYSMD2	HGNC:28571	Q8IV50	cytoplasmic	contextual	dual_localization	low
MAP1B	HGNC:6836	P46821	cytoplasmic	contextual	dual_localization	medium
MDFIC	HGNC:28870	Q9P1T7	cytoplasmic	contextual	dual_localization	medium
MEST	HGNC:7028	Q5EB52	cytoplasmic	contextual	dual_localization	medium
MGRN1	HGNC:20254	O60291	cytoplasmic	contextual	dual_localization	medium
MPPED1	HGNC:1306	O15442	cytoplasmic	yes	gpi_anchored	medium
MTMR6	HGNC:7453	Q9Y217	cytoplasmic	contextual	dual_localization	medium
NCOA4	HGNC:7671	Q13772	cytoplasmic	contextual	cell_state_induced	medium
NDRG2	HGNC:14460	Q9UN36	cytoplasmic	contextual	dual_localization	medium
NECAB2	HGNC:23746	Q7Z6G3	cytoplasmic	contextual	dual_localization	medium
NET1	HGNC:14592	Q7Z628	cytoplasmic	contextual	other	medium
NIPSNAP1	HGNC:7827	Q9BPW8	mitochondrial_internal	contextual	dual_localization	medium
NPM1	HGNC:7910	P06748	nuclear	contextual	cell_state_induced	medium
NUDCD1	HGNC:24306	Q96RS6	cytoplasmic	contextual	cell_state_induced	medium
PAK6	HGNC:16061	Q9NQU5	cytoplasmic	contextual	other	low
PBOV1	HGNC:21079	Q9GZY1	cytoplasmic	contextual	cell_state_induced	low
PCMT1	HGNC:8728	P22061	cytoplasmic	contextual	cell_state_induced	medium
PDCD5	HGNC:8764	O14737	cytoplasmic	contextual	dual_localization	low
PDZD7	HGNC:26257	Q9H5P4	cytoplasmic	contextual	tissue_restricted_surface	medium
PEPD	HGNC:8840	P12955	cytoplasmic	contextual	cell_state_induced	medium
PEX5	HGNC:9719	P50542	cytoplasmic	contextual	cell_state_induced	low
PFKL	HGNC:8876	P17858	cytoplasmic	contextual	cell_state_induced	low
PFKP	HGNC:8878	Q01813	cytoplasmic	contextual	cell_state_induced	medium
PHLPP1	HGNC:20610	O60346	cytoplasmic	contextual	dual_localization	medium
PLCXD2	HGNC:26462	Q0VAA5	nuclear	contextual	tissue_restricted_surface	low
PREP	HGNC:9358	P48147	cytoplasmic	contextual	cell_state_induced	medium
PRR15L	HGNC:28149	Q9BU68	cytoplasmic	contextual	cell_state_induced	low
PRSS33	HGNC:30405	Q8NF86	cytoplasmic	contextual	cell_state_induced	medium
PSMB4	HGNC:9541	P28070	cytoplasmic	contextual	dual_localization	low
PTOV1	HGNC:9632	Q86YD1	cytoplasmic	contextual	dual_localization	low
PYCARD	HGNC:16608	Q9ULZ3	cytoplasmic	contextual	cell_state_induced	medium
RGS14	HGNC:9996	O43566	cytoplasmic	contextual	cell_state_induced	medium
RNF11	HGNC:10056	Q9Y3C5	cytoplasmic	contextual	dual_localization	medium
RNF144A	HGNC:20457	P50876	cytoplasmic	contextual	dual_localization	medium
RRM2	HGNC:10452	P31350	cytoplasmic	contextual	cell_state_induced	medium
RTL5	HGNC:29430	Q5HYW3	cytoplasmic	contextual	tissue_restricted_surface	medium
RTL6	HGNC:13343	Q6ICC9	cytoplasmic	contextual	tissue_restricted_surface	low
RXRB	HGNC:10478	P28702	nuclear	contextual	cell_state_induced	medium
SGSM2	HGNC:29026	O43147	cytoplasmic	contextual	dual_localization	medium
SH3TC2	HGNC:29427	Q8TF17	cytoplasmic	contextual	dual_localization	low
SIRT2	HGNC:10886	Q8IXJ6	cytoplasmic	contextual	cell_state_induced	medium
SNRNP200	HGNC:30859	O75643	nuclear	contextual	cell_state_induced	medium
SOD2	HGNC:11180	P04179	mitochondrial_internal	contextual	cell_state_induced	medium
SPAG1	HGNC:11212	Q07617	cytoplasmic	contextual	tissue_restricted_surface	medium
SPAG9	HGNC:14524	O60271	cytoplasmic	contextual	cell_state_induced	medium
SPATA31A3	HGNC:32003	Q5VYP0	cytoplasmic	contextual	tissue_restricted_surface	low
SPATA31C2	HGNC:24508	B4DYI2	cytoplasmic	contextual	tissue_restricted_surface	low
SPATA31E1	HGNC:26672	Q6ZUB1	cytoplasmic	contextual	tissue_restricted_surface	low
SPHK2	HGNC:18859	Q9NRA0	cytoplasmic	contextual	dual_localization	medium
SQSTM1	HGNC:11280	Q13501	cytoplasmic	contextual	cell_state_induced	medium
SRRM2	HGNC:16639	Q9UQ35	nuclear	contextual	cell_state_induced	medium
SSB	HGNC:11316	P05455	nuclear	contextual	cell_state_induced	medium
SYNJ2BP	HGNC:18955	P57105	mitochondrial_internal	contextual	dual_localization	medium
SYT12	HGNC:18381	Q8IV01	cytoplasmic	yes	classical_surface_receptor	medium
TAF15	HGNC:11547	Q92804	nuclear	contextual	cell_state_induced	medium
TAX1BP3	HGNC:30684	O14907	cytoplasmic	contextual	cell_state_induced	low
TBC1D3D	HGNC:28944	A0A087WVF3	cytoplasmic	contextual	dual_localization	low
TCP11X1	HGNC:48369	B4DZS4	cytoplasmic	contextual	tissue_restricted_surface	low
TFAM	HGNC:11741	Q00059	mitochondrial_internal	contextual	cell_state_induced	medium
TK1	HGNC:11830	P04183	cytoplasmic	contextual	cell_state_induced	medium
TNFAIP8	HGNC:17260	O95379	cytoplasmic	contextual	cell_state_induced	medium
TOMM40	HGNC:18001	O96008	mitochondrial_internal	contextual	cell_state_induced	medium
TSPO	HGNC:1158	P30536	mitochondrial_internal	contextual	cell_state_induced	medium
USP12	HGNC:20485	O75317	cytoplasmic	contextual	dual_localization	medium
VDAC2	HGNC:12672	P45880	mitochondrial_internal	contextual	dual_localization	medium
WWOX	HGNC:12799	Q9NZC7	cytoplasmic	contextual	dual_localization	low
XDH	HGNC:12805	P47989	cytoplasmic	contextual	dual_localization	medium
XRCC6	HGNC:4055	P12956	nuclear	contextual	dual_localization	medium
YWHAB	HGNC:12849	P31946	cytoplasmic	contextual	cell_state_induced	low
ZZEF1	HGNC:29027	O43149	cytoplasmic	contextual	tissue_restricted_surface	low
