gene_symbol	hgnc_id	triage_verdict	triage_reason	triage_confidence
LPXN	HGNC:14061	contextual	cell_state_induced	medium
LSM4	HGNC:17259	contextual	cell_state_induced	medium
LYSMD2	HGNC:28571	contextual	dual_localization	low
MAP1B	HGNC:6836	contextual	dual_localization	medium
MDFIC	HGNC:28870	contextual	dual_localization	medium
MEST	HGNC:7028	contextual	dual_localization	medium
MGRN1	HGNC:20254	contextual	dual_localization	medium
MPPED1	HGNC:1306	yes	gpi_anchored	medium
MTMR6	HGNC:7453	contextual	dual_localization	medium
NCOA4	HGNC:7671	contextual	cell_state_induced	medium
NDRG2	HGNC:14460	contextual	dual_localization	medium
NECAB2	HGNC:23746	contextual	dual_localization	medium
NET1	HGNC:14592	contextual	other	medium
NIPSNAP1	HGNC:7827	contextual	dual_localization	medium
NUDCD1	HGNC:24306	contextual	cell_state_induced	medium
PAK6	HGNC:16061	contextual	other	low
PBOV1	HGNC:21079	contextual	cell_state_induced	low
PCMT1	HGNC:8728	contextual	cell_state_induced	medium
PDCD5	HGNC:8764	contextual	dual_localization	low
PDZD7	HGNC:26257	contextual	tissue_restricted_surface	medium
PEPD	HGNC:8840	contextual	cell_state_induced	medium
PEX5	HGNC:9719	contextual	cell_state_induced	low
PFKL	HGNC:8876	contextual	cell_state_induced	low
PFKP	HGNC:8878	contextual	cell_state_induced	medium
PHLPP1	HGNC:20610	contextual	dual_localization	medium
PLCXD2	HGNC:26462	contextual	tissue_restricted_surface	low
PREP	HGNC:9358	contextual	cell_state_induced	medium
PRR15L	HGNC:28149	contextual	cell_state_induced	low
PRSS33	HGNC:30405	contextual	cell_state_induced	medium
PSMB4	HGNC:9541	contextual	dual_localization	low
PTOV1	HGNC:9632	contextual	dual_localization	low
PYCARD	HGNC:16608	contextual	cell_state_induced	medium
RGS14	HGNC:9996	contextual	cell_state_induced	medium
RNF11	HGNC:10056	contextual	dual_localization	medium
RNF144A	HGNC:20457	contextual	dual_localization	medium
RRM2	HGNC:10452	contextual	cell_state_induced	medium
RTL5	HGNC:29430	contextual	tissue_restricted_surface	medium
RTL6	HGNC:13343	contextual	tissue_restricted_surface	low
RXRB	HGNC:10478	contextual	cell_state_induced	medium
SGSM2	HGNC:29026	contextual	dual_localization	medium
SH3TC2	HGNC:29427	contextual	dual_localization	low
SIRT2	HGNC:10886	contextual	cell_state_induced	medium
SNRNP200	HGNC:30859	contextual	cell_state_induced	medium
SOD2	HGNC:11180	contextual	cell_state_induced	medium
SPAG1	HGNC:11212	contextual	tissue_restricted_surface	medium
SPAG9	HGNC:14524	contextual	cell_state_induced	medium
SPATA31A3	HGNC:32003	contextual	tissue_restricted_surface	low
SPATA31C2	HGNC:24508	contextual	tissue_restricted_surface	low
SPATA31E1	HGNC:26672	contextual	tissue_restricted_surface	low
SPHK2	HGNC:18859	contextual	dual_localization	medium
SQSTM1	HGNC:11280	contextual	cell_state_induced	medium
SRRM2	HGNC:16639	contextual	cell_state_induced	medium
SSB	HGNC:11316	contextual	cell_state_induced	medium
SYNJ2BP	HGNC:18955	contextual	dual_localization	medium
SYT12	HGNC:18381	yes	classical_surface_receptor	medium
TAF15	HGNC:11547	contextual	cell_state_induced	medium
TAX1BP3	HGNC:30684	contextual	cell_state_induced	low
TBC1D3D	HGNC:28944	contextual	dual_localization	low
TCP11X1	HGNC:48369	contextual	tissue_restricted_surface	low
TFAM	HGNC:11741	contextual	cell_state_induced	medium
TK1	HGNC:11830	contextual	cell_state_induced	medium
TNFAIP8	HGNC:17260	contextual	cell_state_induced	medium
TOMM40	HGNC:18001	contextual	cell_state_induced	medium
TSPO	HGNC:1158	contextual	cell_state_induced	medium
USP12	HGNC:20485	contextual	dual_localization	medium
VDAC2	HGNC:12672	contextual	dual_localization	medium
WWOX	HGNC:12799	contextual	dual_localization	low
XDH	HGNC:12805	contextual	dual_localization	medium
XRCC6	HGNC:4055	contextual	dual_localization	medium
YWHAB	HGNC:12849	contextual	cell_state_induced	low
ZZEF1	HGNC:29027	contextual	tissue_restricted_surface	low
