gene_symbol	hgnc_id	uniprot_acc	ensembl_gene	ncbi_gene_id	n_db_votes	uniprot_flag	go_flag	surfy_flag	cspa_flag	hpa_flag	deeptmhmm_flag	compartments_flag	sonnet_verdict	sonnet_confidence	sonnet_reason	pubmed_verdict	pubmed_confidence	source
ABCC4	HGNC:55	O15439	ENSG00000125257	10257	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCC5	HGNC:56	O15440	ENSG00000114770	10057	5	1	1	1	1	1	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCC6	HGNC:57	O95255	ENSG00000091262	368	3	1	1	0	0	1	0	0	no	medium	other			m1_only
ABCC8	HGNC:59	Q09428	ENSG00000006071	6833	2	1	1	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCC9	HGNC:60	O60706	ENSG00000069431	10060	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCG1	HGNC:73	P45844	ENSG00000160179	9619	2	1	1	0	0	0	0	0	contextual	medium	cell_state_induced			m1_and_sonnet
ABCG2	HGNC:74	Q9UNQ0	ENSG00000118777	9429	4	1	1	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCG4	HGNC:13884	Q9H172	ENSG00000172350	64137	2	1	0	1	0	0	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ABCG5	HGNC:13886	Q9H222	ENSG00000138075	64240	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABCG8	HGNC:13887	Q9H221	ENSG00000143921	64241	2	1	1	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ABHD12	HGNC:15868	Q8N2K0	ENSG00000100997	26090	1	1	0	0	0	0	0	0	no	medium	endomembrane_resident			m1_only
ABHD2	HGNC:18717	P08910	ENSG00000140526	11057	2	1	1	0	0	0	0	0	yes	medium	classical_surface_receptor			m1_and_sonnet
ABHD3	HGNC:18718	Q8WU67	ENSG00000158201	171586	1	0	0	0	0	1	0	0	no	medium	cytoplasmic			m1_only
ABHD6	HGNC:21398	Q9BV23	ENSG00000163686	57406	2	1	1	0	0	0	0	0	contextual	low	lysosomal_exocytosis			m1_and_sonnet
ABI3BP	HGNC:17265	Q7Z7G0	ENSG00000154175	25890	1	0	0	0	1	0	0	0	contextual	medium	stable_surface_attachment			m1_and_sonnet
ABRA	HGNC:30655	Q8N0Z2	ENSG00000174429	137735	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only
ACE	HGNC:2707	P12821	ENSG00000159640	1636	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACE2	HGNC:13557	Q9BYF1	ENSG00000130234	59272	3	1	1	1	0	0	1	1	yes	high	classical_surface_receptor			m1_and_sonnet
ACHE	HGNC:108	P22303	ENSG00000087085	43	2	0	0	1	1	0	0	0	yes	high	gpi_anchored			m1_and_sonnet
ACKR1	HGNC:4035	Q16570	ENSG00000213088	2532	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ACKR2	HGNC:1565	O00590	ENSG00000144648	1238	3	1	1	1	0	0	1	1	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ACKR3	HGNC:23692	P25106	ENSG00000144476	57007	5	1	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ACKR4	HGNC:1611	Q9NPB9	ENSG00000129048	51554	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ACKR5	HGNC:13708	O15218	ENSG00000166856	11318	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ACP2	HGNC:123	P11117	ENSG00000134575	53	2	0	0	1	1	0	1	0	contextual	medium	lysosomal_exocytosis			m1_and_sonnet
ACP3	HGNC:125	P15309	ENSG00000014257	55	0	0	0	0	0	0	0	0	contextual	medium	tissue_restricted_surface			sonnet_only
ACP4	HGNC:14376	Q9BZG2	ENSG00000142513	93650	3	1	0	1	0	1	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet
ACR	HGNC:126	P10323	ENSG00000100312	49	0	0	0	0	0	0	0	0	contextual	medium	tissue_restricted_surface			sonnet_only
ACRBP	HGNC:17195	Q8NEB7	ENSG00000111644	84519	0	0	0	0	0	0	0	0	contextual	medium	tissue_restricted_surface			sonnet_only
ACRV1	HGNC:127	P26436	ENSG00000134940	56	0	0	0	0	0	0	0	0	contextual	medium	tissue_restricted_surface			sonnet_only
ACTN1	HGNC:163	P12814	ENSG00000072110	87	2	0	0	0	1	1	0	0	no	high	inner_leaflet_anchored			m1_only
ACTRT1	HGNC:24027	Q8TDG2	ENSG00000123165	139741	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only
ACVR1	HGNC:171	Q04771	ENSG00000115170	90	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACVR1B	HGNC:172	P36896	ENSG00000135503	91	3	1	1	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACVR1C	HGNC:18123	Q8NER5	ENSG00000123612	130399	3	1	1	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACVR2A	HGNC:173	P27037	ENSG00000121989	92	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACVR2B	HGNC:174	Q13705	ENSG00000114739	93	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACVRL1	HGNC:175	P37023	ENSG00000139567	94	3	1	1	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ACY3	HGNC:24104	Q96HD9	ENSG00000132744	91703	1	1	0	0	0	0	0	0	no	medium	secreted_only			m1_only
ADA	HGNC:186	P00813	ENSG00000196839	100	2	0	1	0	0	1	0	0	contextual	medium	stable_surface_attachment			m1_and_sonnet
ADA2	HGNC:1839	Q9NZK5	ENSG00000093072	51816	0	0	0	0	0	0	0	0	contextual	medium	stable_surface_attachment			sonnet_only
ADAM10	HGNC:188	O14672	ENSG00000137845	102	5	1	1	1	1	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM11	HGNC:189	O75078	ENSG00000073670	4185	2	1	0	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM12	HGNC:190	O43184	ENSG00000148848	8038	4	1	0	1	1	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM15	HGNC:193	Q13444	ENSG00000143537	8751	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM17	HGNC:195	P78536	ENSG00000151694	6868	4	1	1	1	1	0	1	1	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM18	HGNC:196	Q9Y3Q7	ENSG00000168619	8749	2	1	0	1	0	0	1	0	contextual	high	tissue_restricted_surface			m1_and_sonnet
ADAM19	HGNC:197	Q9H013	ENSG00000135074	8728	3	1	0	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM2	HGNC:198	Q99965	ENSG00000104755	2515	2	1	0	1	0	0	1	0	contextual	high	tissue_restricted_surface			m1_and_sonnet
ADAM20	HGNC:199	O43506	ENSG00000134007	8748	3	1	1	1	0	0	1	0	contextual	high	tissue_restricted_surface			m1_and_sonnet
ADAM21	HGNC:200	Q9UKJ8	ENSG00000139985	8747	3	1	1	1	0	0	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet
ADAM22	HGNC:201	Q9P0K1	ENSG00000008277	53616	5	1	1	1	1	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM23	HGNC:202	O75077	ENSG00000114948	8745	4	1	1	1	0	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM28	HGNC:206	Q9UKQ2	ENSG00000042980	10863	3	1	0	1	0	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM29	HGNC:207	Q9UKF5	ENSG00000168594	11086	3	1	1	1	0	0	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet
ADAM30	HGNC:208	Q9UKF2	ENSG00000134249	11085	3	1	1	1	0	0	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet
ADAM32	HGNC:15479	Q8TC27	ENSG00000197140	203102	2	1	0	1	0	0	1	0	contextual	medium	tissue_restricted_surface			m1_and_sonnet
ADAM33	HGNC:15478	Q9BZ11	ENSG00000149451	80332	3	1	0	1	0	1	1	0	contextual	medium	dual_localization			m1_and_sonnet
ADAM7	HGNC:214	Q9H2U9	ENSG00000069206	8756	2	1	0	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM8	HGNC:215	P78325	ENSG00000151651	101	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAM9	HGNC:216	Q13443	ENSG00000168615	8754	4	1	1	1	1	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADAMTS1	HGNC:217	Q9UHI8	ENSG00000154734	9510	0	0	0	0	0	0	0	0	contextual	medium	stable_surface_attachment			sonnet_only
ADAMTS10	HGNC:13201	Q9H324	ENSG00000142303	81794	0	0	0	0	0	0	0	0	no	high	secreted_only	contextual	medium	sonnet_only
ADAMTS12	HGNC:14605	P58397	ENSG00000151388	81792	0	0	0	0	0	0	0	0	contextual	medium	stable_surface_attachment			sonnet_only
ADAMTS14	HGNC:14899	Q8WXS8	ENSG00000138316	140766	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only
ADAMTS15	HGNC:16305	Q8TE58	ENSG00000166106	170689	2	1	0	0	1	0	0	0	no	high	secreted_only			m1_only
ADAMTS16	HGNC:17108	Q8TE57	ENSG00000145536	170690	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only
ADAMTS17	HGNC:17109	Q8TE56	ENSG00000140470	170691	0	0	0	0	0	0	0	0	contextual	medium	stable_surface_attachment			sonnet_only
ADAMTS18	HGNC:17110	Q8TE60	ENSG00000140873	170692	0	0	0	0	0	0	0	0	no	high	secreted_only	yes	medium	sonnet_only
ADAMTS19	HGNC:17111	Q8TE59	ENSG00000145808	171019	0	0	0	0	0	0	0	0	contextual	low	dual_localization			sonnet_only
ADAMTS3	HGNC:219	O15072	ENSG00000156140	9508	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only
ADAMTS5	HGNC:221	Q9UNA0	ENSG00000154736	11096	0	0	0	0	0	0	0	0	contextual	medium	stable_surface_attachment			sonnet_only
ADAMTS6	HGNC:222	Q9UKP5	ENSG00000049192	11174	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only
ADAMTS7	HGNC:223	Q9UKP4	ENSG00000136378	11173	0	0	0	0	0	0	0	0	contextual	medium	stable_surface_attachment			sonnet_only
ADAMTS8	HGNC:224	Q9UP79	ENSG00000134917	11095	0	0	0	0	0	0	0	0	contextual	low	stable_surface_attachment			sonnet_only
ADAMTS9	HGNC:13202	Q9P2N4	ENSG00000163638	56999	0	0	0	0	0	0	0	0	contextual	low	dual_localization			sonnet_only
ADAMTSL3	HGNC:14633	P82987	ENSG00000156218	57188	0	0	0	0	0	0	0	0	no	high	secreted_only	contextual	low	sonnet_only
ADAMTSL4	HGNC:19706	Q6UY14	ENSG00000143382	54507	2	0	0	0	1	1	0	0	no	high	secreted_only			m1_only
ADAP2	HGNC:16487	Q9NPF8	ENSG00000184060	55803	0	0	0	0	0	0	0	0	no	high	inner_leaflet_anchored	contextual	medium	sonnet_only
ADCY1	HGNC:232	Q08828	ENSG00000164742	107	0	0	0	0	0	0	0	0	yes	high	multipass_with_exposed_loops			sonnet_only
ADCY2	HGNC:233	Q08462	ENSG00000078295	108	1	0	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCY3	HGNC:234	O60266	ENSG00000138031	109	4	0	1	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCY4	HGNC:235	Q8NFM4	ENSG00000129467	196883	2	1	0	0	0	1	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCY5	HGNC:236	O95622	ENSG00000173175	111	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCY6	HGNC:237	O43306	ENSG00000174233	112	3	1	0	1	1	0	1	0	no	high	other			m1_only
ADCY7	HGNC:238	P51828	ENSG00000121281	113	3	0	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCY8	HGNC:239	P40145	ENSG00000155897	114	3	1	1	0	0	1	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCY9	HGNC:240	O60503	ENSG00000162104	115	4	1	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADCYAP1R1	HGNC:242	P41586	ENSG00000078549	117	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADD2	HGNC:244	P35612	ENSG00000075340	119	2	0	1	0	0	1	0	0	no	high	inner_leaflet_anchored			m1_only
ADGRA1	HGNC:13838	Q86SQ6	ENSG00000197177	84435	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRA2	HGNC:17849	Q96PE1	ENSG00000020181	25960	4	1	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRA3	HGNC:13839	Q8IWK6	ENSG00000152990	166647	4	1	1	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRB1	HGNC:943	O14514	ENSG00000181790	575	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRB2	HGNC:944	O60241	ENSG00000121753	576	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRB3	HGNC:945	O60242	ENSG00000135298	577	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRD1	HGNC:19893	Q6QNK2	ENSG00000111452	283383	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRD2	HGNC:18651	Q7Z7M1	ENSG00000180264	347088	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRE1	HGNC:3336	Q14246	ENSG00000174837	2015	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRE2	HGNC:3337	Q9UHX3	ENSG00000127507	30817	4	1	1	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRE3	HGNC:23647	Q9BY15	ENSG00000131355	84658	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRE5	HGNC:1711	P48960	ENSG00000123146	976	4	1	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRF1	HGNC:18990	Q5T601	ENSG00000153292	266977	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRF3	HGNC:18989	Q8IZF5	ENSG00000173567	165082	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRF4	HGNC:19011	Q8IZF3	ENSG00000153294	221393	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRF5	HGNC:19030	Q8IZF2	ENSG00000069122	221395	4	1	1	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRG1	HGNC:4512	Q9Y653	ENSG00000205336	9289	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRG2	HGNC:4516	Q8IZP9	ENSG00000173698	10149	5	1	1	1	1	1	1	0	contextual	high	tissue_restricted_surface			m1_and_sonnet
ADGRG3	HGNC:13728	Q86Y34	ENSG00000182885	222487	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRG4	HGNC:18992	Q8IZF6	ENSG00000156920	139378	2	1	0	1	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRG5	HGNC:19010	Q8IZF4	ENSG00000159618	221188	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRG6	HGNC:13841	Q86SQ4	ENSG00000112414	57211	4	1	1	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRG7	HGNC:19241	Q96K78	ENSG00000144820	84873	3	1	0	1	0	1	1	0	yes	medium	multipass_with_exposed_loops			m1_and_sonnet
ADGRL1	HGNC:20973	O94910	ENSG00000072071	22859	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRL2	HGNC:18582	O95490	ENSG00000117114	23266	5	1	1	1	1	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADGRL3	HGNC:20974	Q9HAR2	ENSG00000150471	23284	2	1	0	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
ADGRL4	HGNC:20822	Q9HBW9	ENSG00000162618	64123	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADGRV1	HGNC:17416	Q8WXG9	ENSG00000164199	84059	3	1	1	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADIPOR1	HGNC:24040	Q96A54	ENSG00000159346	51094	1	1	0	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADIPOR2	HGNC:24041	Q86V24	ENSG00000006831	79602	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADISSP	HGNC:15873	Q9GZN8	ENSG00000101220	54976	0	0	0	0	0	0	0	0	contextual	low	tissue_restricted_surface			sonnet_only
ADM5	HGNC:27293	C9JUS6	ENSG00000224420	199800	0	0	0	0	0	0	0	0	no	medium	secreted_only	contextual	low	sonnet_only
ADORA1	HGNC:262	P30542	ENSG00000163485	134	4	1	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADORA2A	HGNC:263	P29274	ENSG00000128271	135	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADORA2B	HGNC:264	P29275	ENSG00000170425	136	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADORA3	HGNC:268	P0DMS8	ENSG00000282608	140	1	1	0	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRA1A	HGNC:277	P35348	ENSG00000120907	148	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRA1B	HGNC:278	P35368	ENSG00000170214	147	3	1	0	1	0	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRA1D	HGNC:280	P25100	ENSG00000171873	146	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRA2A	HGNC:281	P08913	ENSG00000150594	150	4	1	1	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRA2B	HGNC:282	P18089	ENSG00000274286	151	3	1	1	1	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRA2C	HGNC:283	P18825	ENSG00000184160	152	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRB1	HGNC:285	P08588	ENSG00000043591	153	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRB2	HGNC:286	P07550	ENSG00000169252	154	4	1	0	1	1	1	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADRB3	HGNC:288	P13945	ENSG00000188778	155	2	1	0	1	0	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
ADTRP	HGNC:21214	Q96IZ2	ENSG00000111863	84830	2	1	1	0	0	0	0	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
AEBP1	HGNC:303	Q8IUX7	ENSG00000106624	165	1	0	0	0	1	0	0	0	contextual	low	stable_surface_attachment			m1_and_sonnet
AFAP1L2	HGNC:25901	Q8N4X5	ENSG00000169129	84632	0	0	0	0	0	0	0	0	no	high	inner_leaflet_anchored	contextual	medium	sonnet_only
AGER	HGNC:320	Q15109	ENSG00000204305	177	4	1	1	1	0	1	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
AGMO	HGNC:33784	Q6ZNB7	ENSG00000187546	392636	0	0	0	0	0	0	0	0	no	medium	endomembrane_resident	contextual	low	sonnet_only
AGPAT1	HGNC:324	Q99943	ENSG00000204310	10554	0	0	0	0	0	0	0	0	no	high	endomembrane_resident	contextual	medium	sonnet_only
AGR2	HGNC:328	O95994	ENSG00000106541	10551	0	0	0	0	0	0	0	0	contextual	medium	cell_state_induced			sonnet_only
AGR3	HGNC:24167	Q8TD06	ENSG00000173467	155465	0	0	0	0	0	0	0	0	no	high	endomembrane_resident	contextual	medium	sonnet_only
AGRN	HGNC:329	O00468	ENSG00000188157	375790	2	0	0	0	1	1	0	0	contextual	medium	dual_localization			m1_and_sonnet
AGTR1	HGNC:336	P30556	ENSG00000144891	185	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
AGTR2	HGNC:338	P50052	ENSG00000180772	186	3	1	0	1	1	0	1	0	yes	high	multipass_with_exposed_loops			m1_and_sonnet
AGTRAP	HGNC:13539	Q6RW13	ENSG00000177674	57085	1	1	0	0	0	0	0	0	contextual	medium	dual_localization			m1_and_sonnet
AHCYL1	HGNC:344	O43865	ENSG00000168710	10768	2	1	1	0	0	0	0	0	no	high	cytoplasmic			m1_only
AHNAK	HGNC:347	Q09666	ENSG00000124942	79026	2	0	1	0	0	1	0	0	contextual	medium	dual_localization			m1_and_sonnet
AHNAK2	HGNC:20125	Q8IVF2	ENSG00000185567	113146	2	0	1	0	0	1	0	0	contextual	medium	dual_localization			m1_and_sonnet
AIFM2	HGNC:21411	Q9BRQ8	ENSG00000042286	84883	1	0	0	0	0	1	0	0	contextual	medium	other			m1_and_sonnet
AIG1	HGNC:21607	Q9NVV5	ENSG00000146416	51390	1	1	0	0	0	0	0	0	no	medium	endomembrane_resident			m1_only
AIMP1	HGNC:10648	Q12904	ENSG00000164022	9255	1	0	1	0	0	0	0	0	contextual	medium	cell_state_induced			m1_and_sonnet
AJAP1	HGNC:30801	Q9UKB5	ENSG00000196581	55966	3	1	1	1	0	0	1	0	yes	high	classical_surface_receptor			m1_and_sonnet
AJM1	HGNC:37284	C9J069	ENSG00000232434	389813	2	1	0	0	0	1	0	0	contextual	low	dual_localization			m1_and_sonnet
AKAP19	HGNC:28191	Q9BSF0	ENSG00000187699	84281	0	0	0	0	0	0	0	0	contextual	low	other			sonnet_only
AKAP4	HGNC:374	Q5JQC9	ENSG00000147081	8852	0	0	0	0	0	0	0	0	contextual	medium	tissue_restricted_surface			sonnet_only
