gene_symbol	uniprot_accession	hgnc_id	ensembl_gene	m1_n_db_votes	m1_uniprot_flag	m1_go_flag	m1_hpa_flag	m1_surfy_flag	m1_cspa_flag	sonnet_verdict	sonnet_reason	sonnet_confidence	source
ABCC4	O15439	HGNC:55	ENSG00000125257	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ABCC5	O15440	HGNC:56	ENSG00000114770	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ABCC6	O95255	HGNC:57	ENSG00000091262	3	1	1	1	0	0				m1_only
ABCC8	Q09428	HGNC:59	ENSG00000006071	2	1	1	0	0	0	yes	multipass_with_exposed_loops	high	both
ABCC9	O60706	HGNC:60	ENSG00000069431	4	1	1	1	1	0	yes	multipass_with_exposed_loops	high	both
ABCD4	O14678	HGNC:68	ENSG00000119688	1	0	1	0	0	0				m1_only
ABCG1	P45844	HGNC:73	ENSG00000160179	2	1	1	0	0	0	contextual	dual_localization	medium	both
ABCG2	Q9UNQ0	HGNC:74	ENSG00000118777	4	1	1	1	1	0	yes	multipass_with_exposed_loops	high	both
ABCG4	Q9H172	HGNC:13884	ENSG00000172350	2	1	0	0	1	0	yes	multipass_with_exposed_loops	medium	both
ABCG5	Q9H222	HGNC:13886	ENSG00000138075	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ABCG8	Q9H221	HGNC:13887	ENSG00000143921	2	1	1	0	0	0	yes	multipass_with_exposed_loops	medium	both
ABHD12	Q8N2K0	HGNC:15868	ENSG00000100997	1	1	0	0	0	0				m1_only
ABHD17A	Q96GS6	HGNC:28756	ENSG00000129968	0	0	0	0	0	0	contextual	other	medium	sonnet_only
ABHD2	P08910	HGNC:18717	ENSG00000140526	2	1	1	0	0	0	yes	classical_surface_receptor	medium	both
ABHD3	Q8WU67	HGNC:18718	ENSG00000158201	1	0	0	1	0	0				m1_only
ABHD6	Q9BV23	HGNC:21398	ENSG00000163686	2	1	1	0	0	0	contextual	dual_localization	medium	both
ABI1	Q8IZP0	HGNC:11320	ENSG00000136754	1	0	0	1	0	0				m1_only
ABI3BP	Q7Z7G0	HGNC:17265	ENSG00000154175	1	0	0	0	0	1				m1_only
ABRA	Q8N0Z2	HGNC:30655	ENSG00000174429	0	0	0	0	0	0	contextual	dual_localization	low	sonnet_only
ACAA1	P09110	HGNC:82	ENSG00000060971	1	0	0	0	0	1				m1_only
ACE	P12821	HGNC:2707	ENSG00000159640	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ACE2	Q9BYF1	HGNC:13557	ENSG00000130234	3	1	1	0	1	0	yes	classical_surface_receptor	high	both
ACHE	P22303	HGNC:108	ENSG00000087085	2	0	0	0	1	1	yes	gpi_anchored	high	both
ACKR1	Q16570	HGNC:4035	ENSG00000213088	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ACKR2	O00590	HGNC:1565	ENSG00000144648	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ACKR3	P25106	HGNC:23692	ENSG00000144476	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ACKR4	Q9NPB9	HGNC:1611	ENSG00000129048	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ACKR5	O15218	HGNC:13708	ENSG00000166856	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ACOT13	Q9NPJ3	HGNC:20999	ENSG00000112304	1	0	0	1	0	0				m1_only
ACOT9	Q9Y305	HGNC:17152	ENSG00000123130	1	0	0	1	0	0				m1_only
ACP1	P24666	HGNC:122	ENSG00000143727	1	0	1	0	0	0				m1_only
ACP2	P11117	HGNC:123	ENSG00000134575	2	0	0	0	1	1	contextual	lysosomal_exocytosis	medium	both
ACP3	P15309	HGNC:125	ENSG00000014257	0	0	0	0	0	0	contextual	dual_localization	medium	sonnet_only
ACP4	Q9BZG2	HGNC:14376	ENSG00000142513	3	1	0	1	1	0	contextual	tissue_restricted_surface	medium	both
ACR	P10323	HGNC:126	ENSG00000100312	0	0	0	0	0	0	contextual	tissue_restricted_surface	high	sonnet_only
ACRBP	Q8NEB7	HGNC:17195	ENSG00000111644	0	0	0	0	0	0	contextual	cell_state_induced	low	sonnet_only
ACRV1	P26436	HGNC:127	ENSG00000134940	0	0	0	0	0	0	contextual	tissue_restricted_surface	medium	sonnet_only
ACTL10	Q5JWF8	HGNC:16127	ENSG00000288649	1	0	0	1	0	0				m1_only
ACTN1	P12814	HGNC:163	ENSG00000072110	2	0	0	1	0	1				m1_only
ACTR10	Q9NZ32	HGNC:17372	ENSG00000131966	1	0	0	1	0	0				m1_only
ACTR6	Q9GZN1	HGNC:24025	ENSG00000075089	1	0	0	1	0	0				m1_only
ACTRT1	Q8TDG2	HGNC:24027	ENSG00000123165	0	0	0	0	0	0	contextual	tissue_restricted_surface	medium	sonnet_only
ACVR1	Q04771	HGNC:171	ENSG00000115170	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ACVR1B	P36896	HGNC:172	ENSG00000135503	3	1	1	0	1	0	yes	classical_surface_receptor	high	both
ACVR1C	Q8NER5	HGNC:18123	ENSG00000123612	3	1	1	0	1	0	yes	classical_surface_receptor	high	both
ACVR2A	P27037	HGNC:173	ENSG00000121989	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ACVR2B	Q13705	HGNC:174	ENSG00000114739	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ACVRL1	P37023	HGNC:175	ENSG00000139567	3	1	1	0	1	0	yes	classical_surface_receptor	high	both
ACY3	Q96HD9	HGNC:24104	ENSG00000132744	1	1	0	0	0	0				m1_only
ADA	P00813	HGNC:186	ENSG00000196839	2	0	1	1	0	0	contextual	stable_surface_attachment	medium	both
ADA2	Q9NZK5	HGNC:1839	ENSG00000093072	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
ADAM10	O14672	HGNC:188	ENSG00000137845	5	1	1	1	1	1	yes	classical_surface_receptor	high	both
ADAM11	O75078	HGNC:189	ENSG00000073670	2	1	0	0	1	0	yes	classical_surface_receptor	high	both
ADAM12	O43184	HGNC:190	ENSG00000148848	4	1	0	1	1	1	contextual	dual_localization	medium	both
ADAM15	Q13444	HGNC:193	ENSG00000143537	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ADAM17	P78536	HGNC:195	ENSG00000151694	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ADAM18	Q9Y3Q7	HGNC:196	ENSG00000168619	2	1	0	0	1	0	contextual	tissue_restricted_surface	medium	both
ADAM19	Q9H013	HGNC:197	ENSG00000135074	3	1	0	0	1	1	yes	classical_surface_receptor	high	both
ADAM2	Q99965	HGNC:198	ENSG00000104755	2	1	0	0	1	0	contextual	tissue_restricted_surface	high	both
ADAM20	O43506	HGNC:199	ENSG00000134007	3	1	1	0	1	0	contextual	tissue_restricted_surface	medium	both
ADAM21	Q9UKJ8	HGNC:200	ENSG00000139985	3	1	1	0	1	0	contextual	tissue_restricted_surface	medium	both
ADAM22	Q9P0K1	HGNC:201	ENSG00000008277	5	1	1	1	1	1	yes	classical_surface_receptor	high	both
ADAM23	O75077	HGNC:202	ENSG00000114948	4	1	1	1	1	0	yes	classical_surface_receptor	high	both
ADAM28	Q9UKQ2	HGNC:206	ENSG00000042980	3	1	0	1	1	0	yes	classical_surface_receptor	high	both
ADAM29	Q9UKF5	HGNC:207	ENSG00000168594	3	1	1	0	1	0	contextual	tissue_restricted_surface	medium	both
ADAM30	Q9UKF2	HGNC:208	ENSG00000134249	3	1	1	0	1	0	contextual	tissue_restricted_surface	medium	both
ADAM32	Q8TC27	HGNC:15479	ENSG00000197140	2	1	0	0	1	0	contextual	tissue_restricted_surface	medium	both
ADAM33	Q9BZ11	HGNC:15478	ENSG00000149451	3	1	0	1	1	0	contextual	dual_localization	medium	both
ADAM7	Q9H2U9	HGNC:214	ENSG00000069206	2	1	0	0	1	0	yes	classical_surface_receptor	high	both
ADAM8	P78325	HGNC:215	ENSG00000151651	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ADAM9	Q13443	HGNC:216	ENSG00000168615	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ADAMTS1	Q9UHI8	HGNC:217	ENSG00000154734	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
ADAMTS12	P58397	HGNC:14605	ENSG00000151388	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
ADAMTS13	Q76LX8	HGNC:1366	ENSG00000160323	1	0	1	0	0	0				m1_only
ADAMTS15	Q8TE58	HGNC:16305	ENSG00000166106	2	1	0	0	0	1				m1_only
ADAMTS17	Q8TE56	HGNC:17109	ENSG00000140470	0	0	0	0	0	0	yes	other	medium	sonnet_only
ADAMTS19	Q8TE59	HGNC:17111	ENSG00000145808	0	0	0	0	0	0	contextual	stable_surface_attachment	low	sonnet_only
ADAMTS2	O95450	HGNC:218	ENSG00000087116	1	0	0	1	0	0				m1_only
ADAMTS4	O75173	HGNC:220	ENSG00000158859	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
ADAMTS5	Q9UNA0	HGNC:221	ENSG00000154736	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
ADAMTS7	Q9UKP4	HGNC:223	ENSG00000136378	0	0	0	0	0	0	contextual	stable_surface_attachment	medium	sonnet_only
ADAMTS8	Q9UP79	HGNC:224	ENSG00000134917	0	0	0	0	0	0	contextual	stable_surface_attachment	low	sonnet_only
ADAMTSL4	Q6UY14	HGNC:19706	ENSG00000143382	2	0	0	1	0	1				m1_only
ADAP1	O75689	HGNC:16486	ENSG00000105963	1	0	0	1	0	0				m1_only
ADCK5	Q3MIX3	HGNC:21738	ENSG00000173137	1	0	0	1	0	0				m1_only
ADCY2	Q08462	HGNC:233	ENSG00000078295	1	0	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADCY3	O60266	HGNC:234	ENSG00000138031	4	0	1	1	1	1				m1_only
ADCY4	Q8NFM4	HGNC:235	ENSG00000129467	2	1	0	1	0	0				m1_only
ADCY5	O95622	HGNC:236	ENSG00000173175	3	1	0	1	1	0				m1_only
ADCY6	O43306	HGNC:237	ENSG00000174233	3	1	0	0	1	1				m1_only
ADCY7	P51828	HGNC:238	ENSG00000121281	3	0	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ADCY8	P40145	HGNC:239	ENSG00000155897	3	1	1	1	0	0	yes	multipass_with_exposed_loops	high	both
ADCY9	O60503	HGNC:240	ENSG00000162104	4	1	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ADCYAP1R1	P41586	HGNC:242	ENSG00000078549	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADD1	P35611	HGNC:243	ENSG00000087274	1	0	0	1	0	0				m1_only
ADD2	P35612	HGNC:244	ENSG00000075340	2	0	1	1	0	0				m1_only
ADD3	Q9UEY8	HGNC:245	ENSG00000148700	1	0	0	1	0	0				m1_only
ADGRA1	Q86SQ6	HGNC:13838	ENSG00000197177	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRA2	Q96PE1	HGNC:17849	ENSG00000020181	4	1	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ADGRA3	Q8IWK6	HGNC:13839	ENSG00000152990	4	1	1	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRB1	O14514	HGNC:943	ENSG00000181790	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRB2	O60241	HGNC:944	ENSG00000121753	3	1	0	1	1	0	yes	multipass_with_exposed_loops	high	both
ADGRB3	O60242	HGNC:945	ENSG00000135298	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRD1	Q6QNK2	HGNC:19893	ENSG00000111452	3	1	0	1	1	0	yes	multipass_with_exposed_loops	high	both
ADGRD2	Q7Z7M1	HGNC:18651	ENSG00000180264	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRE1	Q14246	HGNC:3336	ENSG00000174837	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRE2	Q9UHX3	HGNC:3337	ENSG00000127507	4	1	1	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRE3	Q9BY15	HGNC:23647	ENSG00000131355	3	1	0	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRE4P	Q86SQ3			2	1	0	0	1	0				m1_only
ADGRE5	P48960	HGNC:1711	ENSG00000123146	4	1	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ADGRF1	Q5T601	HGNC:18990	ENSG00000153292	3	1	0	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRF2P	Q8IZF7			2	1	0	0	1	0				m1_only
ADGRF3	Q8IZF5	HGNC:18989	ENSG00000173567	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRF4	Q8IZF3	HGNC:19011	ENSG00000153294	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRF5	Q8IZF2	HGNC:19030	ENSG00000069122	4	1	1	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRG1	Q9Y653	HGNC:4512	ENSG00000205336	3	1	0	0	1	1	yes	classical_surface_receptor	high	both
ADGRG2	Q8IZP9	HGNC:4516	ENSG00000173698	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ADGRG3	Q86Y34	HGNC:13728	ENSG00000182885	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRG4	Q8IZF6	HGNC:18992	ENSG00000156920	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRG5	Q8IZF4	HGNC:19010	ENSG00000159618	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRG6	Q86SQ4	HGNC:13841	ENSG00000112414	4	1	1	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRG7	Q96K78	HGNC:19241	ENSG00000144820	3	1	0	1	1	0	yes	multipass_with_exposed_loops	medium	both
ADGRL1	O94910	HGNC:20973	ENSG00000072071	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRL2	O95490	HGNC:18582	ENSG00000117114	5	1	1	1	1	1	yes	multipass_with_exposed_loops	high	both
ADGRL3	Q9HAR2	HGNC:20974	ENSG00000150471	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADGRL4	Q9HBW9	HGNC:20822	ENSG00000162618	3	1	0	0	1	1	yes	multipass_with_exposed_loops	high	both
ADGRV1	Q8WXG9	HGNC:17416	ENSG00000164199	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ADH7	P40394	HGNC:256	ENSG00000196344	1	0	0	1	0	0				m1_only
ADIPOQ	Q15848	HGNC:13633	ENSG00000181092	1	0	1	0	0	0				m1_only
ADIPOR1	Q96A54	HGNC:24040	ENSG00000159346	1	1	0	0	0	0	yes	multipass_with_exposed_loops	high	both
ADIPOR2	Q86V24	HGNC:24041	ENSG00000006831	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADISSP	Q9GZN8	HGNC:15873	ENSG00000101220	0	0	0	0	0	0	contextual	dual_localization	low	sonnet_only
ADORA1	P30542	HGNC:262	ENSG00000163485	4	1	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ADORA2A	P29274	HGNC:263	ENSG00000128271	3	1	0	1	1	0	yes	multipass_with_exposed_loops	high	both
ADORA2B	P29275	HGNC:264	ENSG00000170425	3	1	0	1	1	0	yes	multipass_with_exposed_loops	high	both
ADORA3	P0DMS8	HGNC:268	ENSG00000282608	1	1	0	0	0	0	yes	multipass_with_exposed_loops	high	both
ADPRHL1	Q8NDY3	HGNC:21303	ENSG00000153531	1	0	0	1	0	0				m1_only
ADRA1A	P35348	HGNC:277	ENSG00000120907	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADRA1B	P35368	HGNC:278	ENSG00000170214	3	1	0	1	1	0	yes	multipass_with_exposed_loops	high	both
ADRA1D	P25100	HGNC:280	ENSG00000171873	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADRA2A	P08913	HGNC:281	ENSG00000150594	4	1	1	0	1	1	yes	multipass_with_exposed_loops	high	both
ADRA2B	P18089	HGNC:282	ENSG00000274286	3	1	1	0	1	0	yes	multipass_with_exposed_loops	high	both
ADRA2C	P18825	HGNC:283	ENSG00000184160	3	1	0	0	1	1	yes	multipass_with_exposed_loops	high	both
ADRB1	P08588	HGNC:285	ENSG00000043591	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADRB2	P07550	HGNC:286	ENSG00000169252	4	1	0	1	1	1	yes	multipass_with_exposed_loops	high	both
ADRB3	P13945	HGNC:288	ENSG00000188778	2	1	0	0	1	0	yes	multipass_with_exposed_loops	high	both
ADSS2	P30520	HGNC:292	ENSG00000035687	1	0	0	1	0	0				m1_only
ADTRP	Q96IZ2	HGNC:21214	ENSG00000111863	2	1	1	0	0	0	yes	multipass_with_exposed_loops	medium	both
AEBP1	Q8IUX7	HGNC:303	ENSG00000106624	1	0	0	0	0	1	contextual	dual_localization	medium	both
AFDN	P55196	HGNC:7137	ENSG00000130396	1	0	0	1	0	0				m1_only
AGER	Q15109	HGNC:320	ENSG00000204305	4	1	1	1	1	0	contextual	dual_localization	medium	both
AGMO	Q6ZNB7	HGNC:33784	ENSG00000187546	0	0	0	0	0	0	contextual	dual_localization	low	sonnet_only
AGR2	O95994	HGNC:328	ENSG00000106541	0	0	0	0	0	0	contextual	dual_localization	medium	sonnet_only
AGRN	O00468	HGNC:329	ENSG00000188157	2	0	0	1	0	1	contextual	dual_localization	medium	both
AGTR1	P30556	HGNC:336	ENSG00000144891	3	1	0	0	1	1	yes	multipass_with_exposed_loops	high	both
AGTR2	P50052	HGNC:338	ENSG00000180772	3	1	0	0	1	1	yes	multipass_with_exposed_loops	high	both
AGTRAP	Q6RW13	HGNC:13539	ENSG00000177674	1	1	0	0	0	0	contextual	dual_localization	medium	both
AHCYL1	O43865	HGNC:344	ENSG00000168710	2	1	1	0	0	0				m1_only
AHNAK	Q09666	HGNC:347	ENSG00000124942	2	0	1	1	0	0	contextual	cell_state_induced	medium	both
AHNAK2	Q8IVF2	HGNC:20125	ENSG00000185567	2	0	1	1	0	0	contextual	dual_localization	medium	both
AHSG	P02765	HGNC:349	ENSG00000145192	1	0	0	0	0	1				m1_only
AIF1	P55008	HGNC:352	ENSG00000204472	1	0	1	0	0	0				m1_only
AIF1L	Q9BQI0	HGNC:28904	ENSG00000126878	1	0	1	0	0	0				m1_only
AIFM2	Q9BRQ8	HGNC:21411	ENSG00000042286	1	0	0	1	0	0				m1_only
AIG1	Q9NVV5	HGNC:21607	ENSG00000146416	1	1	0	0	0	0	contextual	dual_localization	low	both
AIMP1	Q12904	HGNC:10648	ENSG00000164022	1	0	1	0	0	0	contextual	cell_state_induced	medium	both
AJAP1	Q9UKB5	HGNC:30801	ENSG00000196581	3	1	1	0	1	0	yes	classical_surface_receptor	high	both
AJM1	C9J069	HGNC:37284	ENSG00000232434	2	1	0	1	0	0	contextual	dual_localization	low	both
AKAP10	O43572	HGNC:368	ENSG00000108599	1	0	0	1	0	0				m1_only
AKAP12	Q02952	HGNC:370	ENSG00000131016	1	0	0	1	0	0				m1_only
AKAP14	Q86UN6	HGNC:24061	ENSG00000186471	0	0	0	0	0	0	contextual	tissue_restricted_surface	medium	sonnet_only
AKAP4	Q5JQC9	HGNC:374	ENSG00000147081	0	0	0	0	0	0	contextual	tissue_restricted_surface	medium	sonnet_only
AKAP5	P24588	HGNC:375	ENSG00000179841	1	0	1	0	0	0				m1_only
AKAP6	Q13023	HGNC:376	ENSG00000151320	1	0	1	0	0	0				m1_only
AKAP7	O43687	HGNC:377	ENSG00000118507	2	1	1	0	0	0				m1_only
AKAP9	Q99996	HGNC:379	ENSG00000127914	1	0	1	0	0	0				m1_only
AKR1A1	P14550	HGNC:380	ENSG00000117448	2	1	1	0	0	0				m1_only
AKR1B10	O60218	HGNC:382	ENSG00000198074	1	0	0	1	0	0				m1_only
AKR1B15	C9JRZ8	HGNC:37281	ENSG00000227471	1	0	0	1	0	0				m1_only
AKT2	P31751	HGNC:392	ENSG00000105221	1	0	1	0	0	0				m1_only
AKTIP	Q9H8T0	HGNC:16710	ENSG00000166971	1	0	0	1	0	0				m1_only
ALCAM	Q13740	HGNC:400	ENSG00000170017	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
ALDH3A1	P30838	HGNC:405	ENSG00000108602	1	0	0	1	0	0				m1_only
ALG10	Q5BKT4	HGNC:23162	ENSG00000139133	1	1	0	0	0	0				m1_only
ALG10B	Q5I7T1	HGNC:31088	ENSG00000175548	1	1	0	0	0	0				m1_only
ALK	Q9UM73	HGNC:427	ENSG00000171094	3	1	0	1	1	0	yes	classical_surface_receptor	high	both
ALKAL1	Q6UXT8	HGNC:33775	ENSG00000196711	0	0	0	0	0	0	contextual	dual_localization	medium	sonnet_only
ALKAL2	Q6UX46	HGNC:27683	ENSG00000189292	0	0	0	0	0	0	contextual	dual_localization	medium	sonnet_only
ALOX12	P18054	HGNC:429	ENSG00000108839	1	0	1	0	0	0				m1_only
ALOX15	P16050	HGNC:433	ENSG00000161905	1	0	1	0	0	0				m1_only
ALOX15B	O15296	HGNC:434	ENSG00000179593	1	0	0	1	0	0				m1_only
ALOX5AP	P20292	HGNC:436	ENSG00000132965	0	0	0	0	0	0	yes	multipass_with_exposed_loops	high	sonnet_only
ALOXE3	Q9BYJ1	HGNC:13743	ENSG00000179148	1	0	0	1	0	0				m1_only
ALPG	P10696	HGNC:441	ENSG00000163286	2	0	0	1	1	0	contextual	tissue_restricted_surface	high	both
ALPI	P09923	HGNC:437	ENSG00000163295	2	0	0	1	1	0	yes	gpi_anchored	high	both
ALPK2	Q86TB3	HGNC:20565	ENSG00000198796	2	1	1	0	0	0				m1_only
ALPL	P05186	HGNC:438	ENSG00000162551	2	0	0	0	1	1	yes	gpi_anchored	high	both
ALPP	P05187	HGNC:439	ENSG00000163283	4	0	1	1	1	1	yes	gpi_anchored	high	both
AMBP	P02760	HGNC:453	ENSG00000106927	2	0	1	0	0	1				m1_only
AMDHD1	Q96NU7	HGNC:28577	ENSG00000139344	1	0	0	1	0	0				m1_only
AMELX	Q99217	HGNC:461	ENSG00000125363	1	0	1	0	0	0				m1_only
AMER1	Q5JTC6	HGNC:26837	ENSG00000184675	1	0	0	1	0	0				m1_only
AMER2	Q8N7J2	HGNC:26360	ENSG00000165566	1	0	0	1	0	0				m1_only
AMFR	Q9UKV5	HGNC:463	ENSG00000159461	0	0	0	0	0	0	yes	classical_surface_receptor	medium	sonnet_only
AMHR2	Q16671	HGNC:465	ENSG00000135409	2	1	0	0	1	0	yes	classical_surface_receptor	high	both
AMIGO1	Q86WK6	HGNC:20824	ENSG00000181754	4	1	1	0	1	1	yes	classical_surface_receptor	high	both
AMIGO2	Q86SJ2	HGNC:24073	ENSG00000139211	4	1	0	1	1	1	yes	classical_surface_receptor	high	both
AMIGO3	Q86WK7	HGNC:24075	ENSG00000176020	2	1	0	0	1	0	yes	classical_surface_receptor	high	both
AMN	Q9BXJ7	HGNC:14604	ENSG00000166126	3	1	1	0	1	0	yes	classical_surface_receptor	high	both
AMOT	Q4VCS5	HGNC:17810	ENSG00000126016	2	0	1	1	0	0	contextual	dual_localization	medium	both
AMOTL1	Q8IY63	HGNC:17811	ENSG00000166025	1	0	0	1	0	0				m1_only
AMOTL2	Q9Y2J4	HGNC:17812	ENSG00000114019	1	0	0	1	0	0				m1_only
AMPH	P49418	HGNC:471	ENSG00000078053	2	0	1	1	0	0				m1_only
AMTN	Q6UX39	HGNC:33188	ENSG00000187689	0	0	0	0	0	0	contextual	tissue_restricted_surface	medium	sonnet_only
